 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.028,0.037,0.082,0.208,0.000,0.545,0.108,0.000,0.015,0.296,0.059,0.076,0.000,0.246,0.000
model.000.01.pdb,0.068,0.011,0.412,0.296,0.241,0.396,0.696,0.100,0.125,0.101,0.592,0.540,0.148,0.132,0.193
model.000.02.pdb,0.074,0.366,0.000,0.000,0.000,0.206,0.012,0.024,0.026,0.647,0.036,0.000,0.000,0.604,0.000
model.000.03.pdb,0.393,0.145,0.200,0.333,0.013,0.096,0.105,0.361,0.258,0.000,0.063,0.203,0.027,0.000,0.042
model.000.04.pdb,0.096,0.011,0.352,0.203,0.490,0.230,0.681,0.130,0.177,0.041,0.681,0.472,0.365,0.083,0.438
model.000.05.pdb,0.059,0.012,0.275,0.189,0.275,0.288,0.479,0.077,0.083,0.131,0.511,0.400,0.145,0.207,0.196
model.000.06.pdb,0.417,0.080,0.258,0.333,0.026,0.096,0.135,0.317,0.279,0.000,0.077,0.239,0.070,0.000,0.088
model.000.07.pdb,0.280,0.298,0.000,0.038,0.018,0.000,0.000,0.348,0.188,0.000,0.000,0.000,0.078,0.000,0.019
model.000.08.pdb,0.462,0.162,0.113,0.136,0.000,0.000,0.014,0.423,0.302,0.000,0.000,0.104,0.063,0.000,0.066
model.000.09.pdb,0.158,0.013,0.255,0.056,0.595,0.000,0.226,0.208,0.283,0.000,0.327,0.255,0.629,0.000,0.774
model.000.10.pdb,0.123,0.456,0.000,0.000,0.015,0.000,0.000,0.092,0.048,0.167,0.000,0.000,0.016,0.164,0.000
model.000.11.pdb,0.131,0.522,0.000,0.024,0.000,0.047,0.011,0.069,0.035,0.278,0.022,0.011,0.000,0.292,0.000
model.000.12.pdb,0.386,0.023,0.333,0.489,0.059,0.121,0.182,0.305,0.286,0.000,0.114,0.305,0.077,0.000,0.115
model.000.13.pdb,0.105,0.011,0.510,0.364,0.262,0.362,0.694,0.139,0.149,0.080,0.627,0.577,0.172,0.123,0.197
model.000.14.pdb,0.049,0.000,0.163,0.078,0.390,0.113,0.286,0.069,0.075,0.089,0.432,0.265,0.250,0.127,0.293
