 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.153,0.119,0.271,0.056,0.094,0.078,0.033,0.068,0.483,0.053,0.011,0.603,0.014,0.054,0.048
model.000.01.pdb,0.015,0.188,0.000,0.069,0.309,0.105,0.357,0.423,0.036,0.530,0.586,0.033,0.206,0.597,0.117
model.000.02.pdb,0.288,0.104,0.451,0.471,0.020,0.519,0.033,0.028,0.441,0.021,0.047,0.195,0.233,0.032,0.000
model.000.03.pdb,0.000,0.000,0.045,0.000,0.266,0.000,0.219,0.154,0.110,0.067,0.062,0.239,0.000,0.094,0.196
model.000.04.pdb,0.156,0.038,0.473,0.323,0.067,0.483,0.099,0.084,0.415,0.039,0.078,0.179,0.125,0.095,0.000
model.000.05.pdb,0.000,0.049,0.000,0.048,0.657,0.044,0.522,0.532,0.032,0.500,0.360,0.106,0.062,0.514,0.222
model.000.06.pdb,0.190,0.056,0.434,0.328,0.039,0.527,0.080,0.067,0.403,0.031,0.082,0.146,0.118,0.100,0.000
model.000.07.pdb,0.000,0.074,0.048,0.158,0.410,0.203,0.472,0.564,0.043,0.493,0.537,0.019,0.160,0.667,0.083
model.000.08.pdb,0.304,0.096,0.429,0.421,0.038,0.571,0.065,0.045,0.400,0.040,0.079,0.153,0.194,0.096,0.000
model.000.09.pdb,0.000,0.062,0.000,0.036,0.620,0.057,0.552,0.558,0.032,0.507,0.403,0.108,0.076,0.565,0.188
model.000.10.pdb,0.354,0.333,0.091,0.141,0.097,0.111,0.034,0.070,0.169,0.169,0.048,0.216,0.075,0.044,0.125
model.000.11.pdb,0.000,0.044,0.022,0.067,0.667,0.120,0.701,0.646,0.029,0.429,0.405,0.087,0.067,0.639,0.147
model.000.12.pdb,0.172,0.103,0.293,0.056,0.094,0.078,0.033,0.078,0.536,0.042,0.000,0.632,0.014,0.054,0.031
model.000.13.pdb,0.000,0.050,0.024,0.062,0.562,0.095,0.537,0.526,0.022,0.416,0.389,0.074,0.063,0.597,0.154
model.000.14.pdb,0.055,0.016,0.354,0.000,0.092,0.028,0.024,0.053,0.407,0.034,0.000,0.596,0.000,0.035,0.018
