 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.153,0.016,0.145,0.000,0.178,0.012,0.717,0.034,0.185,0.030,0.108,0.783,0.197,0.022,0.123,0.194,0.711,0.111,0.288,0.143
model.000.01.pdb,0.037,0.048,0.143,0.377,0.101,0.526,0.000,0.438,0.026,0.061,0.028,0.000,0.062,0.533,0.204,0.038,0.013,0.029,0.055,0.048
model.000.02.pdb,0.708,0.231,0.509,0.012,0.667,0.049,0.258,0.047,0.810,0.259,0.145,0.209,0.680,0.034,0.000,0.681,0.226,0.408,0.136,0.145
model.000.03.pdb,0.000,0.000,0.025,0.219,0.000,0.080,0.138,0.117,0.000,0.000,0.264,0.167,0.013,0.089,0.000,0.027,0.143,0.016,0.000,0.000
model.000.04.pdb,0.561,0.076,0.788,0.141,0.736,0.136,0.197,0.128,0.566,0.119,0.322,0.158,0.717,0.066,0.000,0.720,0.169,0.583,0.038,0.061
model.000.05.pdb,0.011,0.027,0.065,0.343,0.032,0.426,0.023,0.478,0.011,0.039,0.064,0.081,0.032,0.437,0.190,0.022,0.060,0.000,0.024,0.014
model.000.06.pdb,0.556,0.065,0.760,0.120,0.740,0.145,0.176,0.136,0.560,0.111,0.237,0.153,0.720,0.057,0.000,0.653,0.147,0.511,0.055,0.083
model.000.07.pdb,0.080,0.069,0.207,0.439,0.153,0.719,0.000,0.635,0.060,0.095,0.037,0.000,0.128,0.515,0.118,0.108,0.000,0.093,0.023,0.027
model.000.08.pdb,0.630,0.148,0.736,0.100,0.750,0.138,0.217,0.116,0.608,0.194,0.167,0.176,0.731,0.067,0.000,0.667,0.188,0.442,0.141,0.150
model.000.09.pdb,0.022,0.014,0.078,0.368,0.055,0.500,0.023,0.507,0.012,0.026,0.025,0.082,0.022,0.485,0.138,0.023,0.061,0.000,0.024,0.014
model.000.10.pdb,0.127,0.127,0.077,0.000,0.107,0.025,0.310,0.000,0.121,0.138,0.000,0.317,0.108,0.035,0.298,0.085,0.370,0.015,0.622,0.419
model.000.11.pdb,0.051,0.012,0.151,0.609,0.093,0.606,0.010,0.657,0.032,0.023,0.165,0.030,0.082,0.480,0.120,0.064,0.010,0.084,0.011,0.012
model.000.12.pdb,0.153,0.016,0.145,0.000,0.178,0.000,0.756,0.034,0.185,0.030,0.143,0.822,0.197,0.000,0.085,0.212,0.750,0.129,0.246,0.143
model.000.13.pdb,0.045,0.000,0.129,0.394,0.080,0.557,0.011,0.639,0.024,0.026,0.052,0.058,0.056,0.471,0.177,0.047,0.049,0.053,0.024,0.014
model.000.14.pdb,0.123,0.000,0.100,0.000,0.152,0.000,0.643,0.013,0.155,0.000,0.148,0.756,0.136,0.013,0.080,0.186,0.675,0.176,0.179,0.019
model.000.15.pdb,0.000,0.022,0.000,0.032,0.000,0.117,0.053,0.091,0.000,0.020,0.000,0.086,0.000,0.161,0.800,0.000,0.074,0.000,0.140,0.071
model.000.16.pdb,0.012,0.097,0.000,0.178,0.000,0.328,0.025,0.288,0.000,0.108,0.014,0.037,0.000,0.621,0.241,0.000,0.013,0.000,0.068,0.081
model.000.17.pdb,0.032,0.026,0.149,0.524,0.088,0.571,0.000,0.600,0.023,0.038,0.090,0.011,0.065,0.486,0.132,0.045,0.000,0.037,0.011,0.013
model.000.18.pdb,0.029,0.048,0.101,0.400,0.069,0.479,0.010,0.527,0.021,0.071,0.080,0.040,0.059,0.507,0.162,0.041,0.031,0.022,0.065,0.049
model.000.19.pdb,0.048,0.129,0.070,0.375,0.034,0.517,0.000,0.433,0.025,0.121,0.055,0.000,0.011,0.574,0.131,0.012,0.000,0.000,0.080,0.078
