 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,1.000,0.012,0.221,0.145,0.169,0.067,0.164,0.011,0.203,0.068,0.350,0.030,0.750,0.057,0.644,0.102,0.048,0.021,0.050,0.000,0.102,0.186,0.033,0.210,0.625,0.164,0.755,0.043,0.059,0.033
model.000.01.pdb,0.012,1.000,0.037,0.039,0.110,0.391,0.117,0.540,0.098,0.418,0.065,0.419,0.000,0.424,0.000,0.179,0.375,0.485,0.486,0.579,0.441,0.063,0.352,0.000,0.000,0.062,0.024,0.121,0.358,0.557
model.000.02.pdb,0.221,0.037,1.000,0.013,0.534,0.022,0.556,0.080,0.600,0.022,0.143,0.020,0.239,0.022,0.177,0.000,0.012,0.043,0.040,0.035,0.055,0.708,0.011,0.088,0.242,0.615,0.232,0.000,0.000,0.033
model.000.03.pdb,0.145,0.039,0.013,1.000,0.049,0.200,0.013,0.046,0.000,0.187,0.013,0.207,0.179,0.173,0.190,0.000,0.093,0.179,0.148,0.077,0.070,0.000,0.200,0.591,0.159,0.039,0.141,0.333,0.197,0.085
model.000.04.pdb,0.169,0.110,0.534,0.049,1.000,0.052,0.784,0.159,0.696,0.064,0.061,0.146,0.184,0.100,0.159,0.000,0.000,0.120,0.077,0.044,0.096,0.679,0.098,0.125,0.183,0.750,0.179,0.000,0.055,0.053
model.000.05.pdb,0.067,0.391,0.022,0.200,0.052,1.000,0.043,0.486,0.042,0.721,0.070,0.575,0.067,0.651,0.076,0.206,0.420,0.612,0.625,0.370,0.440,0.022,0.536,0.089,0.060,0.021,0.078,0.377,0.554,0.382
model.000.06.pdb,0.164,0.117,0.556,0.013,0.784,0.043,1.000,0.169,0.731,0.056,0.079,0.129,0.164,0.106,0.119,0.000,0.000,0.114,0.070,0.047,0.101,0.714,0.079,0.056,0.179,0.720,0.160,0.000,0.058,0.044
model.000.07.pdb,0.011,0.540,0.080,0.046,0.159,0.486,0.169,1.000,0.161,0.559,0.045,0.568,0.000,0.567,0.000,0.132,0.394,0.652,0.616,0.507,0.652,0.118,0.551,0.000,0.000,0.115,0.010,0.164,0.500,0.493
model.000.08.pdb,0.203,0.098,0.600,0.000,0.696,0.042,0.731,0.161,1.000,0.053,0.162,0.112,0.203,0.101,0.145,0.000,0.000,0.097,0.078,0.033,0.109,0.725,0.064,0.053,0.203,0.731,0.197,0.000,0.056,0.053
model.000.09.pdb,0.068,0.418,0.022,0.187,0.064,0.721,0.056,0.559,0.053,1.000,0.058,0.606,0.068,0.635,0.077,0.154,0.426,0.672,0.589,0.394,0.507,0.033,0.544,0.090,0.060,0.022,0.067,0.361,0.613,0.405
model.000.10.pdb,0.350,0.065,0.143,0.013,0.061,0.070,0.079,0.045,0.162,0.058,1.000,0.031,0.306,0.047,0.203,0.292,0.105,0.033,0.084,0.049,0.093,0.127,0.034,0.000,0.250,0.123,0.431,0.077,0.048,0.083
model.000.11.pdb,0.030,0.419,0.020,0.207,0.146,0.575,0.129,0.568,0.112,0.606,0.031,1.000,0.030,0.638,0.022,0.133,0.354,0.721,0.595,0.416,0.539,0.084,0.797,0.105,0.032,0.082,0.029,0.274,0.667,0.407
model.000.12.pdb,0.750,0.000,0.239,0.179,0.184,0.067,0.164,0.000,0.203,0.068,0.306,0.030,1.000,0.045,0.644,0.066,0.012,0.000,0.039,0.000,0.078,0.186,0.011,0.250,0.696,0.181,0.792,0.043,0.023,0.000
model.000.13.pdb,0.057,0.424,0.022,0.173,0.100,0.651,0.106,0.567,0.101,0.635,0.047,0.638,0.045,1.000,0.064,0.194,0.371,0.656,0.513,0.361,0.493,0.045,0.552,0.077,0.036,0.068,0.056,0.323,0.707,0.392
model.000.14.pdb,0.644,0.000,0.177,0.190,0.159,0.076,0.119,0.000,0.145,0.077,0.203,0.022,0.644,0.064,1.000,0.058,0.027,0.012,0.032,0.000,0.074,0.141,0.024,0.275,0.619,0.136,0.652,0.050,0.053,0.000
model.000.15.pdb,0.102,0.179,0.000,0.000,0.000,0.206,0.000,0.132,0.000,0.154,0.292,0.133,0.066,0.194,0.058,1.000,0.259,0.130,0.176,0.129,0.130,0.000,0.118,0.000,0.035,0.000,0.136,0.227,0.164,0.154
