,1190,1276,1262,1269,1202,1266,1267,1268,1245,1260
1190,0,0.249,0.863,0.805,0.317,0.418,0.418,0.937,0.944,0.718
1276,0.249,0,1.014,0.713,0.289,0.382,0.382,0.842,1.003,0.809
1262,0.863,1.014,0,0.535,0.596,0.557,0.556,0.442,0.816,0.85
1269,0.805,0.713,0.535,0,0.755,1.132,1.116,1.044,0.424,0.714
1202,0.317,0.289,0.596,0.755,0,0.838,0.822,0.547,0.706,0.778
1266,0.418,0.382,0.557,1.132,0.838,0,0,0.906,0.553,0.631
1267,0.418,0.382,0.556,1.116,0.822,0,0,0.87,0.557,0.627
1268,0.937,0.842,0.442,1.044,0.547,0.906,0.87,0,0.644,0.805
1245,0.944,1.003,0.816,0.424,0.706,0.553,0.557,0.644,0,0.571
1260,0.718,0.809,0.85,0.714,0.778,0.631,0.627,0.805,0.571,0
