 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.164,0.581,0.069,0.104,0.354,0.627,0.056,0.532,0.130,0.510,0.030,0.027,0.095,0.407,0.644,0.614,0.549,0.652,0.491,0.026,0.070,0.659,0.069,0.596,0.029,0.585,0.083,0.636,0.362,0.119
model.000.01.pdb,0.047,0.163,0.347,0.312,0.038,0.358,0.280,0.130,0.426,0.158,0.094,0.123,0.400,0.083,0.189,0.304,0.133,0.250,0.133,0.131,0.354,0.192,0.347,0.143,0.071,0.197,0.367,0.271,0.079,0.455
model.000.02.pdb,0.066,0.127,0.509,0.711,0.030,0.194,0.368,0.071,0.723,0.081,0.143,0.238,0.750,0.039,0.100,0.175,0.079,0.129,0.051,0.277,0.717,0.056,0.569,0.114,0.138,0.101,0.688,0.190,0.051,0.733
model.000.03.pdb,0.235,0.542,0.064,0.081,0.291,0.618,0.052,0.696,0.120,0.694,0.042,0.038,0.101,0.519,0.739,0.638,0.635,0.519,0.574,0.049,0.079,0.717,0.064,0.588,0.055,0.698,0.063,0.529,0.466,0.125
model.000.04.pdb,0.143,0.667,0.068,0.101,0.457,0.604,0.013,0.480,0.127,0.491,0.000,0.000,0.078,0.418,0.767,0.490,0.620,0.500,0.473,0.012,0.068,0.630,0.026,0.711,0.014,0.564,0.067,0.451,0.473,0.085
model.000.05.pdb,0.139,0.636,0.066,0.130,0.380,0.642,0.026,0.490,0.139,0.500,0.014,0.013,0.104,0.404,0.660,0.596,0.566,0.600,0.509,0.012,0.081,0.674,0.052,0.612,0.014,0.571,0.093,0.617,0.383,0.129
model.000.06.pdb,0.043,0.260,0.333,0.438,0.091,0.345,0.207,0.117,0.521,0.143,0.067,0.077,0.434,0.076,0.190,0.347,0.121,0.291,0.121,0.087,0.449,0.172,0.333,0.207,0.048,0.197,0.460,0.367,0.088,0.489
model.000.07.pdb,0.453,0.000,0.310,0.123,0.000,0.038,0.480,0.145,0.132,0.152,0.789,0.644,0.212,0.210,0.043,0.094,0.130,0.000,0.114,0.491,0.172,0.029,0.288,0.028,0.707,0.107,0.185,0.044,0.114,0.175
model.000.08.pdb,0.038,0.075,0.588,0.696,0.030,0.145,0.411,0.027,0.745,0.038,0.141,0.274,0.735,0.039,0.068,0.136,0.037,0.111,0.025,0.333,0.778,0.041,0.653,0.068,0.172,0.060,0.783,0.152,0.025,0.612
model.000.09.pdb,0.110,0.543,0.026,0.055,0.447,0.458,0.000,0.415,0.066,0.404,0.000,0.000,0.037,0.317,0.674,0.321,0.577,0.436,0.439,0.000,0.026,0.617,0.013,0.696,0.000,0.554,0.025,0.339,0.519,0.026
model.000.10.pdb,0.119,0.077,0.661,0.579,0.013,0.179,0.542,0.073,0.649,0.094,0.250,0.379,0.764,0.070,0.084,0.160,0.067,0.095,0.067,0.433,0.643,0.060,0.632,0.083,0.261,0.099,0.621,0.143,0.056,0.596
model.000.11.pdb,0.044,0.298,0.186,0.340,0.137,0.434,0.153,0.182,0.365,0.228,0.016,0.030,0.321,0.150,0.264,0.422,0.180,0.408,0.180,0.043,0.278,0.245,0.228,0.236,0.000,0.283,0.291,0.512,0.091,0.388
model.000.12.pdb,0.206,0.467,0.103,0.091,0.212,0.688,0.074,0.591,0.169,0.596,0.015,0.028,0.129,0.480,0.600,0.643,0.540,0.480,0.571,0.040,0.104,0.651,0.087,0.460,0.030,0.640,0.101,0.556,0.400,0.159
model.000.13.pdb,0.024,0.072,0.509,0.702,0.014,0.156,0.350,0.026,0.680,0.037,0.087,0.209,0.673,0.038,0.067,0.132,0.037,0.093,0.024,0.284,0.640,0.039,0.566,0.066,0.116,0.059,0.647,0.147,0.024,0.528
