 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.065,0.209,0.013,0.057,0.130,0.058,0.266,0.035,0.076,0.088
model.000.01.pdb,0.275,0.290,0.604,0.281,0.222,0.286,0.096,0.673,0.129,0.352
model.000.02.pdb,0.000,0.000,0.039,0.087,0.129,0.028,0.171,0.035,0.180,0.000
model.000.03.pdb,0.213,0.099,0.062,0.323,0.433,0.266,0.679,0.067,0.411,0.242
model.000.04.pdb,0.419,0.118,0.197,0.605,0.738,0.545,0.617,0.203,0.571,0.468
model.000.05.pdb,0.193,0.221,0.081,0.226,0.311,0.230,0.509,0.098,0.217,0.267
model.000.06.pdb,0.261,0.123,0.077,0.320,0.429,0.300,0.490,0.096,0.312,0.320
model.000.07.pdb,0.277,0.154,0.636,0.308,0.263,0.396,0.136,0.547,0.204,0.333
model.000.08.pdb,0.212,0.219,0.596,0.246,0.210,0.296,0.099,0.604,0.153,0.291
model.000.09.pdb,0.000,0.234,0.206,0.000,0.000,0.029,0.000,0.265,0.000,0.029
