 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.027,0.119,0.231,0.037,0.000,0.013,0.075,0.617,0.266,0.000
model.000.01.pdb,0.689,0.226,0.097,0.673,0.660,0.739,0.246,0.027,0.067,0.519
model.000.02.pdb,0.013,0.031,0.209,0.000,0.000,0.000,0.058,0.069,0.281,0.000
model.000.03.pdb,0.062,0.298,0.600,0.071,0.036,0.060,0.333,0.292,0.679,0.011
model.000.04.pdb,0.180,0.525,0.630,0.164,0.156,0.188,0.675,0.127,0.551,0.087
model.000.05.pdb,0.097,0.333,0.414,0.090,0.052,0.064,0.254,0.472,0.456,0.012
model.000.06.pdb,0.078,0.450,0.500,0.071,0.076,0.058,0.362,0.236,0.553,0.014
model.000.07.pdb,0.578,0.200,0.175,0.426,0.521,0.562,0.320,0.000,0.119,0.451
model.000.08.pdb,0.609,0.167,0.149,0.569,0.689,0.625,0.278,0.043,0.114,0.604
model.000.09.pdb,0.210,0.016,0.000,0.306,0.328,0.234,0.014,0.028,0.000,0.472
