 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.029,0.579,0.078,0.158,0.390,0.364,0.031,0.231,0.167,0.255,0.000,0.000,0.141,0.153,0.467
model.000.01.pdb,0.060,0.245,0.000,0.000,0.349,0.246,0.000,0.250,0.000,0.207,0.000,0.000,0.000,0.211,0.314
model.000.02.pdb,0.396,0.185,0.028,0.014,0.130,0.317,0.076,0.511,0.028,0.490,0.121,0.092,0.041,0.674,0.321
model.000.03.pdb,0.037,0.138,0.660,0.778,0.060,0.219,0.421,0.026,0.826,0.051,0.136,0.266,0.776,0.038,0.096
model.000.04.pdb,0.152,0.435,0.119,0.220,0.189,0.500,0.043,0.373,0.246,0.389,0.015,0.014,0.197,0.321,0.440
model.000.05.pdb,0.062,0.071,0.680,0.653,0.014,0.154,0.547,0.026,0.667,0.050,0.267,0.414,0.760,0.051,0.052
model.000.06.pdb,0.500,0.204,0.028,0.014,0.088,0.290,0.075,0.568,0.027,0.542,0.138,0.108,0.054,0.587,0.315
model.000.07.pdb,0.179,0.030,0.625,0.364,0.000,0.135,0.900,0.074,0.386,0.083,0.458,0.617,0.547,0.100,0.042
model.000.08.pdb,0.108,0.636,0.095,0.130,0.353,0.611,0.039,0.434,0.171,0.446,0.014,0.013,0.133,0.333,0.660
model.000.09.pdb,0.111,0.707,0.097,0.152,0.367,0.635,0.041,0.396,0.194,0.411,0.000,0.000,0.137,0.322,0.689
model.000.10.pdb,0.066,0.651,0.067,0.167,0.478,0.483,0.026,0.316,0.157,0.356,0.000,0.000,0.135,0.215,0.510
model.000.11.pdb,0.039,0.167,0.491,0.652,0.063,0.250,0.351,0.072,0.702,0.097,0.109,0.203,0.660,0.054,0.134
model.000.12.pdb,0.302,0.241,0.000,0.000,0.211,0.243,0.026,0.333,0.000,0.350,0.074,0.053,0.012,0.429,0.322
model.000.13.pdb,0.145,0.605,0.068,0.103,0.435,0.680,0.041,0.521,0.129,0.529,0.014,0.013,0.093,0.426,0.705
model.000.14.pdb,0.026,0.094,0.646,0.767,0.031,0.164,0.426,0.014,0.739,0.026,0.164,0.305,0.729,0.026,0.070
