 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.400,0.164,0.630,0.420,0.339,0.489,0.182,0.574,0.259,0.449,0.000,0.000,0.147,0.298,0.042,0.333,0.083,0.060,0.588,0.164
model.000.01.pdb,0.032,0.129,0.000,0.091,0.188,0.060,0.317,0.024,0.131,0.075,0.000,0.152,0.411,0.000,0.357,0.000,0.519,0.108,0.000,0.075
model.000.02.pdb,0.341,0.321,0.578,0.340,0.268,0.347,0.121,0.528,0.164,0.457,0.000,0.014,0.104,0.228,0.076,0.236,0.057,0.000,0.510,0.047
model.000.03.pdb,0.000,0.164,0.271,0.014,0.014,0.045,0.000,0.349,0.000,0.044,0.138,0.056,0.000,0.423,0.000,0.500,0.000,0.076,0.373,0.127
model.000.04.pdb,0.442,0.283,0.574,0.429,0.370,0.468,0.203,0.500,0.264,0.556,0.000,0.000,0.185,0.217,0.072,0.203,0.100,0.000,0.509,0.045
model.000.05.pdb,0.514,0.092,0.283,0.684,0.659,0.703,0.420,0.258,0.564,0.600,0.000,0.000,0.365,0.136,0.046,0.102,0.224,0.000,0.254,0.085
model.000.06.pdb,0.308,0.383,0.569,0.333,0.290,0.339,0.169,0.636,0.159,0.490,0.000,0.026,0.137,0.215,0.111,0.262,0.122,0.000,0.509,0.056
model.000.07.pdb,0.000,0.175,0.246,0.015,0.014,0.031,0.000,0.328,0.000,0.031,0.107,0.060,0.000,0.429,0.000,0.478,0.000,0.047,0.351,0.098
model.000.08.pdb,0.074,0.014,0.296,0.100,0.077,0.161,0.028,0.356,0.086,0.082,0.130,0.000,0.028,0.533,0.000,0.558,0.000,0.119,0.434,0.222
model.000.09.pdb,0.000,0.141,0.258,0.014,0.026,0.043,0.000,0.354,0.000,0.057,0.190,0.040,0.000,0.400,0.000,0.471,0.000,0.057,0.377,0.104
model.000.10.pdb,0.340,0.114,0.119,0.479,0.630,0.458,0.733,0.118,0.511,0.392,0.000,0.000,0.733,0.057,0.154,0.014,0.529,0.029,0.095,0.029
model.000.11.pdb,0.182,0.702,0.185,0.123,0.085,0.091,0.096,0.208,0.045,0.177,0.000,0.242,0.081,0.056,0.283,0.057,0.111,0.000,0.153,0.000
model.000.12.pdb,0.000,0.179,0.226,0.014,0.013,0.044,0.000,0.323,0.000,0.043,0.117,0.101,0.000,0.339,0.000,0.460,0.000,0.043,0.323,0.091
model.000.13.pdb,0.000,0.000,0.000,0.030,0.058,0.000,0.086,0.000,0.065,0.000,0.185,0.074,0.086,0.000,0.000,0.000,0.056,0.500,0.000,0.255
model.000.14.pdb,0.378,0.242,0.644,0.400,0.345,0.438,0.185,0.615,0.218,0.489,0.000,0.000,0.149,0.304,0.042,0.291,0.085,0.029,0.633,0.094
model.000.15.pdb,0.085,0.179,0.000,0.091,0.134,0.092,0.295,0.036,0.095,0.125,0.000,0.246,0.362,0.000,0.583,0.000,0.580,0.014,0.012,0.000
model.000.16.pdb,0.000,0.063,0.016,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.447,0.143,0.000,0.068,0.000,0.070,0.000,0.017,0.014,0.000
model.000.17.pdb,0.000,0.000,0.115,0.000,0.000,0.016,0.000,0.182,0.017,0.016,0.157,0.000,0.000,0.241,0.000,0.250,0.000,0.488,0.213,0.488
model.000.18.pdb,0.200,0.562,0.333,0.115,0.091,0.117,0.103,0.367,0.032,0.236,0.000,0.059,0.087,0.127,0.241,0.169,0.103,0.000,0.300,0.015
model.000.19.pdb,0.255,0.053,0.086,0.385,0.490,0.340,0.612,0.075,0.468,0.263,0.000,0.041,0.646,0.056,0.134,0.014,0.436,0.075,0.065,0.059
