 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.027,0.689,0.013,0.062,0.180,0.097,0.078,0.578,0.609,0.210,0.214,0.183,0.116,0.065,0.091,0.000,0.042,0.510,0.592,0.000
model.000.01.pdb,0.119,0.226,0.031,0.298,0.525,0.333,0.450,0.200,0.167,0.016,0.462,0.579,0.435,0.315,0.452,0.000,0.312,0.189,0.136,0.068
model.000.02.pdb,0.231,0.097,0.209,0.600,0.630,0.414,0.500,0.175,0.149,0.000,0.479,0.609,0.600,0.604,0.667,0.000,0.638,0.185,0.110,0.242
model.000.03.pdb,0.037,0.673,0.000,0.071,0.164,0.090,0.071,0.426,0.569,0.306,0.175,0.149,0.137,0.060,0.099,0.000,0.053,0.538,0.556,0.000
model.000.04.pdb,0.000,0.660,0.000,0.036,0.156,0.052,0.076,0.521,0.689,0.328,0.207,0.141,0.068,0.050,0.072,0.000,0.056,0.583,0.702,0.000
model.000.05.pdb,0.013,0.739,0.000,0.060,0.188,0.064,0.058,0.562,0.625,0.234,0.220,0.190,0.125,0.075,0.101,0.000,0.068,0.625,0.673,0.000
model.000.06.pdb,0.075,0.246,0.058,0.333,0.675,0.254,0.362,0.320,0.278,0.014,0.658,0.692,0.469,0.351,0.489,0.000,0.408,0.302,0.217,0.062
model.000.07.pdb,0.617,0.027,0.069,0.292,0.127,0.472,0.236,0.000,0.043,0.028,0.063,0.111,0.206,0.227,0.183,0.060,0.159,0.000,0.027,0.177
model.000.08.pdb,0.266,0.067,0.281,0.679,0.551,0.456,0.553,0.119,0.114,0.000,0.385,0.531,0.620,0.720,0.617,0.000,0.733,0.114,0.079,0.300
model.000.09.pdb,0.000,0.519,0.000,0.011,0.087,0.012,0.014,0.451,0.604,0.472,0.127,0.057,0.013,0.012,0.027,0.014,0.013,0.540,0.653,0.000
model.000.10.pdb,0.409,0.082,0.270,0.741,0.517,0.557,0.491,0.115,0.111,0.000,0.377,0.500,0.525,0.633,0.571,0.000,0.607,0.125,0.068,0.324
model.000.11.pdb,0.029,0.327,0.000,0.219,0.444,0.180,0.216,0.422,0.314,0.030,0.488,0.488,0.346,0.230,0.354,0.000,0.241,0.367,0.291,0.015
model.000.12.pdb,0.027,0.644,0.000,0.078,0.207,0.116,0.155,0.408,0.440,0.237,0.200,0.232,0.154,0.096,0.129,0.000,0.091,0.440,0.434,0.000
model.000.13.pdb,0.239,0.065,0.333,0.625,0.529,0.371,0.471,0.116,0.111,0.000,0.370,0.510,0.509,0.725,0.592,0.000,0.739,0.127,0.063,0.333
model.000.14.pdb,0.000,0.646,0.025,0.048,0.154,0.025,0.029,0.609,0.638,0.279,0.224,0.138,0.096,0.076,0.087,0.000,0.069,0.674,0.761,0.000
model.000.15.pdb,0.241,0.060,0.141,0.600,0.558,0.396,0.561,0.138,0.095,0.000,0.432,0.571,0.674,0.604,0.811,0.000,0.568,0.150,0.090,0.169
model.000.16.pdb,0.000,0.207,0.125,0.000,0.015,0.000,0.000,0.204,0.236,0.255,0.051,0.016,0.000,0.000,0.000,0.000,0.000,0.214,0.286,0.030
model.000.17.pdb,0.681,0.013,0.212,0.526,0.233,0.688,0.392,0.000,0.013,0.000,0.077,0.159,0.317,0.424,0.321,0.042,0.333,0.000,0.000,0.382
model.000.18.pdb,0.387,0.076,0.261,0.843,0.528,0.600,0.529,0.127,0.107,0.000,0.375,0.509,0.593,0.750,0.688,0.000,0.627,0.137,0.074,0.339
model.000.19.pdb,0.206,0.136,0.149,0.527,0.732,0.444,0.581,0.207,0.159,0.000,0.523,0.667,0.583,0.558,0.732,0.000,0.553,0.217,0.116,0.177
