 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.286,0.322,0.667,0.291,0.230,0.321,0.114,0.635,0.133,0.392,0.000,0.014,0.099,0.276,0.071,0.333,0.068,0.029,0.620,0.109,0.097,0.167,0.273,0.604,0.644,0.581,0.123,0.442,0.660,0.417
model.000.01.pdb,0.368,0.155,0.208,0.500,0.600,0.595,0.426,0.213,0.357,0.622,0.000,0.000,0.367,0.050,0.085,0.034,0.314,0.000,0.186,0.017,0.326,0.444,0.017,0.375,0.286,0.295,0.476,0.185,0.218,0.425
model.000.02.pdb,0.294,0.095,0.114,0.480,0.625,0.404,0.620,0.114,0.543,0.370,0.000,0.000,0.688,0.069,0.147,0.027,0.473,0.072,0.105,0.088,0.291,0.375,0.000,0.212,0.185,0.224,0.617,0.099,0.095,0.315
model.000.03.pdb,0.278,0.424,0.558,0.242,0.209,0.246,0.120,0.655,0.104,0.375,0.014,0.025,0.105,0.290,0.110,0.322,0.077,0.000,0.582,0.055,0.088,0.169,0.333,0.431,0.538,0.396,0.145,0.500,0.714,0.321
model.000.04.pdb,0.182,0.270,0.604,0.217,0.185,0.241,0.067,0.673,0.094,0.304,0.000,0.013,0.067,0.382,0.041,0.451,0.053,0.043,0.596,0.106,0.061,0.102,0.440,0.436,0.490,0.458,0.103,0.375,0.667,0.273
model.000.05.pdb,0.288,0.262,0.681,0.293,0.234,0.321,0.108,0.679,0.143,0.389,0.000,0.013,0.093,0.368,0.053,0.407,0.051,0.027,0.635,0.103,0.059,0.175,0.345,0.558,0.625,0.532,0.116,0.386,0.640,0.412
model.000.06.pdb,0.487,0.141,0.273,0.692,0.667,0.667,0.460,0.250,0.537,0.650,0.000,0.000,0.404,0.131,0.077,0.081,0.259,0.000,0.226,0.065,0.260,0.487,0.016,0.440,0.380,0.432,0.478,0.167,0.217,0.575
model.000.07.pdb,0.107,0.328,0.042,0.045,0.088,0.078,0.242,0.077,0.031,0.148,0.000,0.233,0.262,0.000,0.762,0.000,0.453,0.000,0.026,0.000,0.489,0.148,0.000,0.056,0.043,0.015,0.286,0.276,0.085,0.000
model.000.08.pdb,0.241,0.079,0.082,0.389,0.519,0.321,0.608,0.085,0.532,0.316,0.000,0.013,0.640,0.054,0.145,0.013,0.491,0.087,0.076,0.103,0.333,0.340,0.000,0.174,0.130,0.180,0.540,0.039,0.051,0.241
model.000.09.pdb,0.100,0.209,0.472,0.121,0.099,0.159,0.013,0.571,0.044,0.175,0.045,0.026,0.025,0.400,0.026,0.596,0.013,0.057,0.585,0.138,0.014,0.031,0.553,0.333,0.375,0.392,0.027,0.279,0.528,0.203
