 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.429,0.381,0.412,0.232,0.101,0.162,0.207,0.125,0.457,0.067,0.684,0.097,0.286,0.489,0.512,0.304,0.037,0.027,0.048,0.031,0.087,0.262,0.641,0.037
f_min.final_model.000.01.det_cont.csv,0.750,0.476,0.652,0.431,0.197,0.317,0.254,0.086,0.479,0.105,0.283,0.186,0.583,0.574,0.568,0.185,0.176,0.080,0.108,0.148,0.274,0.483,0.283,0.061
f_min.final_model.000.02.det_cont.csv,0.149,0.167,0.132,0.175,0.438,0.151,0.339,0.750,0.200,0.466,0.211,0.448,0.055,0.154,0.111,0.500,0.354,0.262,0.388,0.044,0.111,0.101,0.278,0.544
f_min.final_model.000.03.det_cont.csv,0.328,0.255,0.352,0.489,0.419,0.404,0.543,0.237,0.333,0.266,0.226,0.404,0.327,0.164,0.179,0.396,0.377,0.322,0.328,0.288,0.407,0.361,0.250,0.167
f_min.final_model.000.04.det_cont.csv,0.787,0.476,0.810,0.490,0.282,0.361,0.345,0.101,0.578,0.167,0.333,0.258,0.551,0.423,0.533,0.242,0.225,0.141,0.165,0.186,0.317,0.483,0.333,0.101
f_min.final_model.000.05.det_cont.csv,0.313,0.269,0.356,0.571,0.557,0.673,0.368,0.270,0.250,0.443,0.125,0.475,0.333,0.147,0.177,0.306,0.542,0.441,0.524,0.321,0.596,0.385,0.143,0.264
f_min.final_model.000.06.det_cont.csv,0.295,0.239,0.268,0.214,0.246,0.130,0.438,0.392,0.404,0.274,0.465,0.300,0.109,0.302,0.280,0.600,0.188,0.188,0.225,0.048,0.072,0.125,0.537,0.224
f_min.final_model.000.07.det_cont.csv,0.526,0.477,0.580,0.617,0.403,0.564,0.453,0.145,0.396,0.243,0.224,0.344,0.580,0.283,0.309,0.231,0.304,0.254,0.284,0.259,0.414,0.679,0.224,0.139
f_min.final_model.000.08.det_cont.csv,0.273,0.192,0.288,0.377,0.422,0.482,0.451,0.169,0.246,0.312,0.062,0.339,0.288,0.088,0.095,0.185,0.403,0.500,0.484,0.522,0.519,0.365,0.097,0.160
f_min.final_model.000.09.det_cont.csv,0.479,0.633,0.500,0.579,0.219,0.400,0.271,0.125,0.450,0.164,0.250,0.228,0.500,0.356,0.366,0.208,0.194,0.133,0.145,0.163,0.320,0.553,0.250,0.121
f_min.final_model.000.10.det_cont.csv,0.318,0.275,0.362,0.551,0.621,0.654,0.510,0.317,0.276,0.426,0.127,0.483,0.362,0.149,0.180,0.356,0.500,0.424,0.484,0.281,0.519,0.391,0.164,0.268
f_min.final_model.000.11.det_cont.csv,0.128,0.158,0.111,0.149,0.418,0.160,0.279,0.667,0.190,0.443,0.241,0.426,0.053,0.147,0.106,0.473,0.319,0.214,0.352,0.042,0.122,0.071,0.309,0.569
f_min.final_model.000.12.det_cont.csv,0.000,0.000,0.000,0.000,0.143,0.143,0.014,0.106,0.000,0.157,0.000,0.096,0.043,0.000,0.000,0.057,0.167,0.258,0.271,0.340,0.246,0.037,0.000,0.167
