 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.390,0.477,0.449,0.175,0.121,0.405,0.139,0.308,0.447,0.129,0.622,0.082,0.063,0.203,0.538,0.060,0.641,0.026,0.023,0.115,0.276,0.600,0.117,0.411,0.090
f_min.final_model.000.01.det_cont.csv,0.452,0.533,0.667,0.224,0.083,0.465,0.132,0.600,0.500,0.277,0.280,0.122,0.203,0.389,0.488,0.027,0.478,0.091,0.122,0.180,0.164,0.259,0.268,0.482,0.132
f_min.final_model.000.02.det_cont.csv,0.170,0.167,0.101,0.333,0.795,0.123,0.611,0.106,0.159,0.167,0.226,0.500,0.059,0.169,0.083,0.583,0.150,0.269,0.329,0.404,0.580,0.255,0.161,0.091,0.300
f_min.final_model.000.03.det_cont.csv,0.234,0.179,0.286,0.581,0.230,0.224,0.317,0.438,0.255,0.379,0.245,0.311,0.333,0.440,0.173,0.161,0.182,0.306,0.348,0.380,0.389,0.250,0.545,0.111,0.276
f_min.final_model.000.04.det_cont.csv,0.452,0.500,0.786,0.340,0.099,0.465,0.178,0.565,0.600,0.317,0.333,0.186,0.246,0.500,0.561,0.056,0.417,0.151,0.179,0.241,0.219,0.308,0.365,0.339,0.185
f_min.final_model.000.05.det_cont.csv,0.275,0.177,0.254,0.364,0.281,0.218,0.406,0.434,0.246,0.673,0.133,0.500,0.389,0.549,0.172,0.254,0.108,0.517,0.524,0.462,0.323,0.125,0.442,0.130,0.500
f_min.final_model.000.06.det_cont.csv,0.244,0.333,0.250,0.404,0.377,0.137,0.350,0.136,0.314,0.114,0.475,0.300,0.082,0.207,0.255,0.250,0.340,0.179,0.192,0.367,0.622,0.537,0.200,0.147,0.241
f_min.final_model.000.07.det_cont.csv,0.455,0.286,0.500,0.396,0.141,0.435,0.236,0.705,0.389,0.410,0.218,0.265,0.321,0.733,0.314,0.099,0.224,0.261,0.301,0.316,0.209,0.203,0.510,0.303,0.290
f_min.final_model.000.08.det_cont.csv,0.173,0.131,0.210,0.449,0.164,0.145,0.211,0.309,0.200,0.509,0.085,0.339,0.578,0.471,0.085,0.103,0.046,0.500,0.460,0.358,0.182,0.079,0.614,0.051,0.481
f_min.final_model.000.09.det_cont.csv,0.600,0.333,0.512,0.289,0.121,0.562,0.197,0.735,0.475,0.321,0.244,0.186,0.234,0.550,0.342,0.088,0.250,0.127,0.145,0.255,0.182,0.222,0.318,0.321,0.208
