 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.950,0.500,0.472,0.444,0.179,0.163,0.065,0.233,0.273,0.204,0.368,0.148,0.375,0.111,0.349,0.484,0.395,0.364,0.111,0.333,0.289,0.091,0.394,0.163,0.222,0.170
f_min.final_model.000.01.det_cont.csv,0.500,0.605,0.479,0.321,0.120,0.103,0.037,0.183,0.175,0.132,0.273,0.096,0.319,0.073,0.462,0.455,0.614,0.529,0.073,0.707,0.264,0.054,0.362,0.115,0.141,0.111
f_min.final_model.000.02.det_cont.csv,0.500,0.610,0.744,0.595,0.286,0.108,0.157,0.417,0.340,0.213,0.595,0.185,0.283,0.197,0.521,0.605,0.581,0.596,0.164,0.314,0.231,0.136,0.298,0.300,0.186,0.116
f_min.final_model.000.03.det_cont.csv,0.224,0.297,0.328,0.448,0.782,0.483,0.633,0.371,0.544,0.569,0.448,0.741,0.118,0.645,0.286,0.200,0.214,0.373,0.594,0.091,0.266,0.460,0.147,0.262,0.526,0.492
f_min.final_model.000.04.det_cont.csv,0.405,0.488,0.500,0.970,0.411,0.186,0.215,0.435,0.438,0.358,0.757,0.316,0.163,0.277,0.479,0.475,0.347,0.460,0.277,0.182,0.216,0.237,0.180,0.340,0.308,0.210
f_min.final_model.000.05.det_cont.csv,0.245,0.352,0.339,0.423,0.517,0.179,0.354,0.667,0.345,0.446,0.510,0.400,0.082,0.415,0.404,0.259,0.250,0.367,0.460,0.104,0.092,0.414,0.097,0.532,0.305,0.200
f_min.final_model.000.06.det_cont.csv,0.286,0.269,0.360,0.489,0.473,0.309,0.350,0.283,0.919,0.370,0.457,0.481,0.204,0.417,0.281,0.220,0.193,0.389,0.393,0.117,0.362,0.364,0.245,0.327,0.458,0.283
f_min.final_model.000.07.det_cont.csv,0.174,0.119,0.133,0.218,0.473,0.895,0.446,0.097,0.340,0.423,0.155,0.604,0.157,0.466,0.090,0.070,0.062,0.087,0.466,0.081,0.391,0.316,0.196,0.083,0.522,0.711
f_min.final_model.000.08.det_cont.csv,0.421,0.535,0.545,0.675,0.397,0.143,0.227,0.511,0.420,0.298,0.718,0.283,0.180,0.288,0.587,0.452,0.447,0.562,0.269,0.218,0.164,0.230,0.196,0.413,0.250,0.149
f_min.final_model.000.09.det_cont.csv,0.127,0.121,0.134,0.271,0.679,0.569,0.712,0.226,0.386,0.673,0.250,0.848,0.081,0.661,0.125,0.062,0.056,0.153,0.691,0.027,0.263,0.537,0.113,0.217,0.529,0.604
