 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.366,0.429,0.173,0.239,0.429,0.280,0.250,0.432,0.176,0.567,0.260,0.164,0.000,0.085,0.395,0.317,0.032,0.356,0.300,0.311,0.175,0.381,0.256,0.000,0.457,0.156,0.467,0.232,0.308
f_min.final_model.000.01.det_cont.csv,0.388,0.756,0.106,0.302,0.600,0.310,0.196,0.531,0.241,0.639,0.316,0.101,0.000,0.101,0.444,0.222,0.013,0.521,0.571,0.365,0.274,0.458,0.294,0.000,0.575,0.178,0.436,0.174,0.212
f_min.final_model.000.02.det_cont.csv,0.400,0.609,0.154,0.392,0.762,0.345,0.302,0.510,0.298,0.452,0.375,0.130,0.000,0.114,0.558,0.333,0.013,0.705,0.491,0.490,0.306,0.385,0.417,0.000,0.757,0.222,0.487,0.239,0.327
f_min.final_model.000.03.det_cont.csv,0.232,0.431,0.194,0.489,0.490,0.540,0.236,0.652,0.352,0.579,0.617,0.167,0.000,0.262,0.320,0.264,0.085,0.510,0.472,0.532,0.404,0.224,0.426,0.000,0.488,0.318,0.326,0.242,0.185
f_min.final_model.000.04.det_cont.csv,0.107,0.208,0.419,0.424,0.279,0.625,0.262,0.406,0.403,0.254,0.667,0.400,0.135,0.569,0.159,0.306,0.300,0.275,0.296,0.483,0.253,0.076,0.446,0.099,0.258,0.656,0.145,0.455,0.147
f_min.final_model.000.05.det_cont.csv,0.121,0.083,0.795,0.230,0.099,0.281,0.377,0.141,0.164,0.121,0.328,0.708,0.119,0.323,0.109,0.385,0.577,0.097,0.078,0.262,0.076,0.070,0.180,0.231,0.113,0.533,0.088,0.381,0.211
f_min.final_model.000.06.det_cont.csv,0.051,0.115,0.397,0.254,0.192,0.400,0.171,0.250,0.318,0.121,0.406,0.400,0.183,0.492,0.067,0.191,0.400,0.173,0.195,0.323,0.175,0.012,0.306,0.171,0.147,0.629,0.044,0.371,0.114
f_min.final_model.000.07.det_cont.csv,0.111,0.298,0.087,0.392,0.345,0.560,0.078,0.426,0.480,0.326,0.481,0.083,0.203,0.393,0.218,0.115,0.026,0.415,0.386,0.352,0.421,0.125,0.417,0.027,0.354,0.294,0.160,0.258,0.066
f_min.final_model.000.08.det_cont.csv,0.177,0.242,0.368,0.609,0.351,0.397,0.440,0.481,0.481,0.280,0.538,0.286,0.014,0.373,0.228,0.449,0.141,0.368,0.323,0.767,0.292,0.119,0.578,0.013,0.360,0.492,0.196,0.387,0.259
f_min.final_model.000.09.det_cont.csv,0.070,0.159,0.373,0.242,0.212,0.585,0.210,0.297,0.379,0.218,0.509,0.377,0.203,0.448,0.090,0.276,0.292,0.191,0.214,0.317,0.192,0.083,0.321,0.123,0.183,0.593,0.085,0.459,0.092
