 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
model.000.00.det_cont.csv,0.447,0.780,0.522,0.225,0.333,0.262,0.228,0.094,0.400,0.083,0.595,0.667,0.442,0.659,0.375,0.055,0.585,0.133,0.263,0.153,0.362
model.000.01.det_cont.csv,0.818,0.415,0.528,0.263,0.432,0.265,0.375,0.196,0.447,0.145,0.625,0.383,0.424,0.395,0.378,0.127,0.316,0.148,0.326,0.152,0.400
model.000.02.det_cont.csv,0.213,0.136,0.143,0.508,0.228,0.215,0.333,0.846,0.180,0.569,0.190,0.108,0.123,0.094,0.162,0.339,0.081,0.500,0.510,0.094,0.200
model.000.03.det_cont.csv,0.394,0.422,0.298,0.130,0.180,0.097,0.196,0.130,0.196,0.062,0.526,0.340,0.710,0.439,0.153,0.030,0.647,0.027,0.400,0.054,0.719
model.000.04.det_cont.csv,0.153,0.117,0.221,0.695,0.328,0.343,0.431,0.566,0.258,0.750,0.176,0.224,0.071,0.125,0.324,0.429,0.026,0.607,0.328,0.191,0.149
model.000.05.det_cont.csv,0.140,0.087,0.161,0.648,0.296,0.317,0.385,0.600,0.220,0.860,0.131,0.155,0.049,0.061,0.234,0.491,0.015,0.642,0.370,0.167,0.119
model.000.06.det_cont.csv,0.567,0.413,0.722,0.362,0.538,0.408,0.378,0.148,0.590,0.148,0.639,0.532,0.421,0.579,0.468,0.131,0.267,0.203,0.280,0.224,0.302
model.000.07.det_cont.csv,0.250,0.153,0.300,0.464,0.400,0.263,0.806,0.354,0.327,0.404,0.292,0.293,0.188,0.167,0.333,0.412,0.111,0.356,0.457,0.235,0.229
model.000.08.det_cont.csv,0.452,0.575,0.500,0.149,0.289,0.175,0.154,0.053,0.364,0.030,0.583,0.522,0.486,0.611,0.314,0.015,0.571,0.056,0.240,0.094,0.421
model.000.09.det_cont.csv,0.433,0.419,0.487,0.210,0.366,0.250,0.160,0.074,0.450,0.048,0.375,0.417,0.351,0.474,0.413,0.016,0.359,0.090,0.154,0.143,0.268
model.000.10.det_cont.csv,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.018,0.000,0.000,0.000,0.000
model.000.11.det_cont.csv,0.270,0.512,0.442,0.145,0.277,0.190,0.088,0.000,0.319,0.014,0.405,0.500,0.385,0.667,0.327,0.015,0.500,0.069,0.143,0.091,0.273
model.000.12.det_cont.csv,0.107,0.067,0.185,0.621,0.293,0.377,0.400,0.453,0.283,0.667,0.138,0.192,0.030,0.087,0.292,0.556,0.000,0.804,0.317,0.230,0.060
model.000.13.det_cont.csv,0.240,0.194,0.426,0.516,0.442,0.826,0.375,0.185,0.571,0.349,0.298,0.403,0.169,0.293,0.527,0.500,0.091,0.460,0.215,0.531,0.109
model.000.14.det_cont.csv,0.105,0.066,0.238,0.532,0.333,0.545,0.418,0.300,0.322,0.509,0.136,0.239,0.029,0.118,0.371,0.635,0.000,0.603,0.270,0.434,0.059
model.000.15.det_cont.csv,0.000,0.000,0.000,0.068,0.000,0.169,0.016,0.069,0.033,0.111,0.000,0.014,0.000,0.000,0.045,0.255,0.000,0.116,0.032,0.304,0.000
model.000.16.det_cont.csv,0.116,0.082,0.286,0.311,0.298,0.489,0.400,0.105,0.370,0.268,0.176,0.281,0.038,0.130,0.400,0.489,0.000,0.368,0.121,0.564,0.018
model.000.17.det_cont.csv,0.314,0.185,0.488,0.444,0.686,0.388,0.564,0.196,0.488,0.278,0.289,0.392,0.178,0.283,0.545,0.259,0.077,0.333,0.235,0.341,0.122
model.000.18.det_cont.csv,0.417,0.568,0.571,0.203,0.362,0.237,0.179,0.065,0.435,0.042,0.500,0.551,0.487,0.829,0.352,0.014,0.525,0.095,0.214,0.143,0.364
model.000.19.det_cont.csv,0.000,0.027,0.000,0.034,0.000,0.000,0.000,0.106,0.000,0.052,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.060,0.014,0.014,0.000
model.000.20.det_cont.csv,0.260,0.528,0.368,0.131,0.226,0.149,0.147,0.068,0.279,0.024,0.389,0.419,0.429,0.520,0.250,0.000,0.622,0.057,0.212,0.101,0.333
model.000.21.det_cont.csv,0.154,0.099,0.210,0.643,0.352,0.323,0.442,0.630,0.271,0.729,0.161,0.181,0.081,0.106,0.262,0.414,0.029,0.667,0.400,0.197,0.150
model.000.22.det_cont.csv,0.235,0.174,0.345,0.583,0.520,0.635,0.418,0.279,0.500,0.458,0.230,0.354,0.148,0.226,0.518,0.518,0.074,0.632,0.270,0.407,0.108
model.000.23.det_cont.csv,0.095,0.067,0.220,0.182,0.255,0.388,0.220,0.052,0.298,0.169,0.094,0.224,0.082,0.135,0.283,0.360,0.018,0.226,0.068,0.788,0.038
model.000.24.det_cont.csv,0.167,0.523,0.185,0.052,0.127,0.060,0.016,0.000,0.123,0.000,0.271,0.298,0.302,0.378,0.164,0.000,0.553,0.000,0.138,0.033,0.234
