 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv
model.000.00.det_cont.csv,0.440,0.767,0.116,0.259,0.652,0.231,0.268,0.411,0.188,0.432,0.234,0.111,0.000,0.067,0.500,0.273,0.000,0.510,0.473,0.316,0.203,0.644,0.273,0.000,0.523,0.139,0.429,0.197,0.288
model.000.01.det_cont.csv,0.326,0.386,0.192,0.289,0.419,0.300,0.244,0.455,0.245,0.548,0.306,0.182,0.000,0.102,0.385,0.310,0.032,0.409,0.320,0.395,0.214,0.311,0.341,0.000,0.529,0.210,0.406,0.228,0.300
model.000.02.det_cont.csv,0.121,0.114,0.756,0.250,0.130,0.323,0.377,0.174,0.182,0.161,0.373,0.673,0.103,0.344,0.127,0.440,0.491,0.129,0.107,0.283,0.104,0.086,0.220,0.194,0.150,0.614,0.107,0.426,0.232
model.000.03.det_cont.csv,0.703,0.340,0.193,0.231,0.367,0.127,0.476,0.207,0.063,0.227,0.129,0.224,0.000,0.029,0.667,0.386,0.044,0.333,0.200,0.245,0.072,0.413,0.151,0.000,0.381,0.080,0.545,0.288,0.657
model.000.04.det_cont.csv,0.090,0.156,0.525,0.303,0.219,0.431,0.254,0.314,0.328,0.226,0.484,0.525,0.147,0.431,0.123,0.277,0.453,0.200,0.221,0.397,0.200,0.061,0.317,0.182,0.194,0.661,0.058,0.380,0.143
model.000.05.det_cont.csv,0.057,0.114,0.519,0.271,0.164,0.464,0.281,0.227,0.279,0.182,0.421,0.464,0.119,0.519,0.060,0.309,0.414,0.145,0.169,0.328,0.149,0.041,0.263,0.143,0.131,0.643,0.033,0.426,0.131
model.000.06.det_cont.csv,0.280,0.511,0.150,0.383,0.581,0.358,0.235,0.511,0.308,0.486,0.365,0.125,0.000,0.125,0.452,0.265,0.014,0.605,0.404,0.489,0.316,0.294,0.409,0.000,0.686,0.224,0.405,0.203,0.229
model.000.07.det_cont.csv,0.155,0.203,0.358,0.581,0.291,0.316,0.435,0.396,0.420,0.234,0.451,0.271,0.000,0.339,0.185,0.444,0.136,0.286,0.246,0.707,0.219,0.095,0.512,0.000,0.319,0.393,0.170,0.404,0.240
model.000.08.det_cont.csv,0.512,0.535,0.098,0.167,0.571,0.167,0.245,0.353,0.100,0.472,0.169,0.094,0.000,0.014,0.639,0.250,0.000,0.523,0.365,0.226,0.197,0.488,0.176,0.000,0.462,0.081,0.515,0.172,0.326
model.000.09.det_cont.csv,0.364,0.488,0.083,0.196,0.488,0.214,0.093,0.457,0.143,0.645,0.218,0.079,0.000,0.015,0.500,0.137,0.000,0.444,0.438,0.260,0.224,0.348,0.184,0.000,0.447,0.099,0.412,0.106,0.196
model.000.10.det_cont.csv,0.000,0.062,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.065,0.000,0.000,0.000,0.159,0.000,0.088,0.000,0.169,0.175,0.000,0.365,0.000,0.000,0.000,0.000,0.000
model.000.11.det_cont.csv,0.422,0.581,0.030,0.140,0.511,0.161,0.145,0.315,0.097,0.410,0.145,0.029,0.000,0.029,0.525,0.148,0.000,0.468,0.431,0.196,0.190,0.435,0.127,0.000,0.405,0.065,0.444,0.100,0.229
model.000.12.det_cont.csv,0.013,0.122,0.377,0.311,0.186,0.500,0.200,0.265,0.339,0.167,0.458,0.338,0.143,0.526,0.041,0.283,0.318,0.200,0.205,0.323,0.216,0.025,0.328,0.118,0.156,0.796,0.047,0.373,0.088
model.000.13.det_cont.csv,0.113,0.297,0.167,0.379,0.383,0.611,0.130,0.483,0.566,0.346,0.536,0.145,0.231,0.475,0.206,0.167,0.087,0.400,0.419,0.439,0.475,0.125,0.540,0.037,0.370,0.426,0.155,0.333,0.072
model.000.14.det_cont.csv,0.013,0.135,0.250,0.373,0.200,0.544,0.179,0.338,0.527,0.164,0.526,0.222,0.227,0.760,0.055,0.200,0.205,0.232,0.236,0.361,0.300,0.025,0.472,0.049,0.172,0.508,0.046,0.368,0.056
model.000.15.det_cont.csv,0.000,0.000,0.078,0.032,0.000,0.143,0.000,0.029,0.259,0.000,0.076,0.091,0.757,0.241,0.000,0.016,0.161,0.015,0.014,0.000,0.056,0.000,0.069,0.228,0.000,0.108,0.000,0.167,0.000
model.000.16.det_cont.csv,0.000,0.169,0.077,0.347,0.255,0.352,0.103,0.358,0.643,0.191,0.358,0.043,0.179,0.490,0.069,0.105,0.028,0.296,0.276,0.360,0.357,0.031,0.575,0.000,0.224,0.297,0.039,0.200,0.000
model.000.17.det_cont.csv,0.125,0.288,0.172,0.455,0.426,0.543,0.216,0.556,0.426,0.421,0.591,0.145,0.000,0.268,0.176,0.220,0.076,0.388,0.412,0.571,0.370,0.121,0.488,0.000,0.381,0.350,0.186,0.206,0.074
model.000.18.det_cont.csv,0.447,0.674,0.090,0.232,0.565,0.226,0.218,0.389,0.143,0.439,0.230,0.086,0.000,0.027,0.625,0.222,0.000,0.622,0.453,0.268,0.215,0.489,0.200,0.000,0.500,0.103,0.474,0.157,0.286
model.000.19.det_cont.csv,0.000,0.026,0.111,0.000,0.000,0.012,0.014,0.000,0.000,0.000,0.000,0.122,0.118,0.037,0.000,0.014,0.297,0.000,0.063,0.000,0.132,0.116,0.000,0.558,0.000,0.081,0.000,0.000,0.014
model.000.20.det_cont.csv,0.509,0.585,0.118,0.209,0.424,0.158,0.234,0.318,0.091,0.291,0.160,0.114,0.013,0.011,0.453,0.238,0.000,0.417,0.413,0.221,0.230,0.640,0.164,0.036,0.389,0.077,0.478,0.163,0.293
model.000.21.det_cont.csv,0.085,0.157,0.547,0.345,0.191,0.441,0.310,0.254,0.286,0.214,0.448,0.491,0.083,0.466,0.104,0.316,0.417,0.188,0.194,0.379,0.189,0.053,0.293,0.137,0.180,0.696,0.083,0.385,0.161
model.000.22.det_cont.csv,0.111,0.254,0.232,0.421,0.312,0.660,0.162,0.475,0.474,0.340,0.706,0.222,0.141,0.517,0.167,0.219,0.173,0.328,0.348,0.431,0.379,0.108,0.444,0.036,0.293,0.531,0.153,0.310,0.087
model.000.23.det_cont.csv,0.033,0.155,0.030,0.306,0.175,0.340,0.051,0.250,0.523,0.149,0.296,0.029,0.280,0.392,0.071,0.052,0.000,0.236,0.220,0.200,0.276,0.032,0.326,0.030,0.184,0.191,0.062,0.188,0.018
