 ,model.000.00.det_cont.csv,model.000.01.det_cont.csv,model.000.02.det_cont.csv,model.000.03.det_cont.csv,model.000.04.det_cont.csv,model.000.05.det_cont.csv,model.000.06.det_cont.csv,model.000.07.det_cont.csv,model.000.08.det_cont.csv,model.000.09.det_cont.csv,model.000.10.det_cont.csv,model.000.11.det_cont.csv,model.000.12.det_cont.csv,model.000.13.det_cont.csv,model.000.14.det_cont.csv,model.000.15.det_cont.csv,model.000.16.det_cont.csv,model.000.17.det_cont.csv,model.000.18.det_cont.csv,model.000.19.det_cont.csv,model.000.20.det_cont.csv,model.000.21.det_cont.csv,model.000.22.det_cont.csv,model.000.23.det_cont.csv,model.000.24.det_cont.csv,model.000.25.det_cont.csv,model.000.26.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.440,0.326,0.121,0.703,0.090,0.057,0.280,0.155,0.512,0.364,0.000,0.422,0.013,0.113,0.013,0.000,0.000,0.125,0.447,0.000,0.509,0.085,0.111,0.033,0.404,0.056,0.523
f_min.final_model.000.01.det_cont.csv,0.767,0.386,0.114,0.340,0.156,0.114,0.511,0.203,0.535,0.488,0.062,0.581,0.122,0.297,0.135,0.000,0.169,0.288,0.674,0.026,0.585,0.157,0.254,0.155,0.458,0.096,0.578
f_min.final_model.000.02.det_cont.csv,0.116,0.192,0.756,0.193,0.525,0.519,0.150,0.358,0.098,0.083,0.014,0.030,0.377,0.167,0.250,0.078,0.077,0.172,0.090,0.111,0.118,0.547,0.232,0.030,0.029,0.328,0.143
f_min.final_model.000.03.det_cont.csv,0.259,0.289,0.250,0.231,0.303,0.271,0.383,0.581,0.167,0.196,0.000,0.140,0.311,0.379,0.373,0.032,0.347,0.455,0.232,0.000,0.209,0.345,0.421,0.306,0.063,0.283,0.153
f_min.final_model.000.04.det_cont.csv,0.652,0.419,0.130,0.367,0.219,0.164,0.581,0.291,0.571,0.488,0.000,0.511,0.186,0.383,0.200,0.000,0.255,0.426,0.565,0.000,0.424,0.191,0.312,0.175,0.296,0.159,0.449
f_min.final_model.000.05.det_cont.csv,0.231,0.300,0.323,0.127,0.431,0.464,0.358,0.316,0.167,0.214,0.000,0.161,0.500,0.611,0.544,0.143,0.352,0.543,0.226,0.012,0.158,0.441,0.660,0.340,0.072,0.500,0.136
f_min.final_model.000.06.det_cont.csv,0.268,0.244,0.377,0.476,0.254,0.281,0.235,0.435,0.245,0.093,0.000,0.145,0.200,0.130,0.179,0.000,0.103,0.216,0.218,0.014,0.234,0.310,0.162,0.051,0.161,0.230,0.294
f_min.final_model.000.07.det_cont.csv,0.411,0.455,0.174,0.207,0.314,0.227,0.511,0.396,0.353,0.457,0.000,0.315,0.265,0.483,0.338,0.029,0.358,0.556,0.389,0.000,0.318,0.254,0.475,0.250,0.159,0.258,0.276
f_min.final_model.000.08.det_cont.csv,0.188,0.245,0.182,0.063,0.328,0.279,0.308,0.420,0.100,0.143,0.000,0.097,0.339,0.566,0.527,0.259,0.643,0.426,0.143,0.000,0.091,0.286,0.474,0.523,0.000,0.509,0.076
f_min.final_model.000.09.det_cont.csv,0.432,0.548,0.161,0.227,0.226,0.182,0.486,0.234,0.472,0.645,0.000,0.410,0.167,0.346,0.164,0.000,0.191,0.421,0.439,0.000,0.291,0.214,0.340,0.149,0.213,0.175,0.318
f_min.final_model.000.10.det_cont.csv,0.234,0.306,0.373,0.129,0.484,0.421,0.365,0.451,0.169,0.218,0.000,0.145,0.458,0.536,0.526,0.076,0.358,0.591,0.230,0.000,0.160,0.448,0.706,0.296,0.058,0.456,0.138
f_min.final_model.000.11.det_cont.csv,0.111,0.182,0.673,0.224,0.525,0.464,0.125,0.271,0.094,0.079,0.028,0.029,0.338,0.145,0.222,0.091,0.043,0.145,0.086,0.122,0.114,0.491,0.222,0.029,0.042,0.292,0.136
f_min.final_model.000.12.det_cont.csv,0.000,0.000,0.103,0.000,0.147,0.119,0.000,0.000,0.000,0.000,0.065,0.000,0.143,0.231,0.227,0.757,0.179,0.000,0.000,0.118,0.013,0.083,0.141,0.280,0.000,0.283,0.000
f_min.final_model.000.13.det_cont.csv,0.067,0.102,0.344,0.029,0.431,0.519,0.125,0.339,0.014,0.015,0.000,0.029,0.526,0.475,0.760,0.241,0.490,0.268,0.027,0.037,0.011,0.466,0.517,0.392,0.000,0.556,0.014
f_min.final_model.000.14.det_cont.csv,0.500,0.385,0.127,0.667,0.123,0.060,0.452,0.185,0.639,0.500,0.000,0.525,0.041,0.206,0.055,0.000,0.069,0.176,0.625,0.000,0.453,0.104,0.167,0.071,0.312,0.074,0.455
f_min.final_model.000.15.det_cont.csv,0.273,0.310,0.440,0.386,0.277,0.309,0.265,0.444,0.250,0.137,0.000,0.148,0.283,0.167,0.200,0.016,0.105,0.220,0.222,0.014,0.238,0.316,0.219,0.052,0.164,0.276,0.300
f_min.final_model.000.16.det_cont.csv,0.000,0.032,0.491,0.044,0.453,0.414,0.014,0.136,0.000,0.000,0.159,0.000,0.318,0.087,0.205,0.161,0.028,0.076,0.000,0.297,0.000,0.417,0.173,0.000,0.000,0.235,0.000
f_min.final_model.000.17.det_cont.csv,0.510,0.409,0.129,0.333,0.200,0.145,0.605,0.286,0.523,0.444,0.000,0.468,0.200,0.400,0.232,0.015,0.296,0.388,0.622,0.000,0.417,0.188,0.328,0.236,0.224,0.174,0.385
