 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv
model.000.00.det_cont.csv,0.372,0.432,0.164,0.224,0.500,0.264,0.234,0.435,0.167,0.562,0.245,0.155,0.000,0.081,0.400,0.295,0.031,0.391,0.333,0.292,0.186,0.419,0.239,0.000,0.459,0.149,0.469,0.220,0.286
model.000.01.det_cont.csv,0.533,0.659,0.138,0.186,0.553,0.185,0.308,0.333,0.123,0.395,0.188,0.132,0.000,0.041,0.500,0.314,0.000,0.451,0.393,0.241,0.159,0.732,0.196,0.000,0.455,0.115,0.462,0.224,0.333
model.000.02.det_cont.csv,0.121,0.114,0.756,0.250,0.130,0.323,0.377,0.174,0.182,0.161,0.373,0.673,0.103,0.344,0.127,0.440,0.491,0.129,0.107,0.283,0.104,0.086,0.220,0.194,0.150,0.614,0.107,0.426,0.232
model.000.03.det_cont.csv,0.703,0.340,0.193,0.231,0.367,0.127,0.476,0.207,0.063,0.227,0.129,0.224,0.000,0.029,0.667,0.386,0.044,0.333,0.200,0.245,0.072,0.413,0.151,0.000,0.381,0.080,0.545,0.288,0.657
model.000.04.det_cont.csv,0.055,0.110,0.519,0.258,0.174,0.441,0.267,0.235,0.286,0.172,0.400,0.466,0.114,0.491,0.057,0.293,0.417,0.155,0.178,0.333,0.158,0.039,0.271,0.153,0.143,0.667,0.032,0.406,0.125
model.000.05.det_cont.csv,0.190,0.217,0.370,0.591,0.327,0.328,0.447,0.407,0.431,0.250,0.462,0.283,0.000,0.328,0.222,0.457,0.132,0.298,0.258,0.756,0.231,0.127,0.523,0.000,0.362,0.403,0.188,0.414,0.255
model.000.06.det_cont.csv,0.439,0.465,0.123,0.224,0.432,0.241,0.137,0.500,0.145,0.613,0.245,0.117,0.000,0.031,0.474,0.188,0.015,0.422,0.333,0.292,0.250,0.326,0.213,0.000,0.459,0.116,0.469,0.143,0.256
model.000.07.det_cont.csv,0.308,0.565,0.123,0.408,0.714,0.382,0.196,0.562,0.286,0.475,0.389,0.118,0.000,0.118,0.477,0.245,0.000,0.622,0.510,0.479,0.317,0.321,0.435,0.000,0.703,0.194,0.436,0.209,0.260
model.000.08.det_cont.csv,0.476,0.535,0.155,0.260,0.610,0.228,0.356,0.353,0.179,0.432,0.255,0.148,0.000,0.045,0.639,0.364,0.000,0.558,0.340,0.327,0.197,0.488,0.277,0.000,0.583,0.143,0.515,0.250,0.390
model.000.09.det_cont.csv,0.093,0.162,0.526,0.339,0.229,0.452,0.266,0.290,0.303,0.237,0.435,0.500,0.137,0.406,0.129,0.290,0.429,0.208,0.230,0.393,0.192,0.063,0.290,0.173,0.203,0.695,0.061,0.418,0.167
model.000.10.det_cont.csv,0.333,0.600,0.125,0.400,0.739,0.400,0.230,0.627,0.333,0.457,0.407,0.105,0.013,0.167,0.490,0.254,0.012,0.688,0.667,0.491,0.381,0.368,0.480,0.000,0.578,0.237,0.362,0.219,0.246
model.000.11.det_cont.csv,0.016,0.113,0.061,0.245,0.150,0.431,0.016,0.241,0.380,0.120,0.358,0.074,0.320,0.490,0.051,0.050,0.074,0.186,0.194,0.172,0.288,0.000,0.312,0.044,0.132,0.277,0.060,0.279,0.000
