 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.188,0.136,0.143,0.435,0.186,0.162,0.286,0.756,0.161,0.481,0.169,0.108,0.164,0.094,0.129,0.254,0.117,0.426,0.451,0.061,0.245
f_min.final_model.000.01.det_cont.csv,0.196,0.141,0.321,0.450,0.511,0.571,0.429,0.186,0.489,0.393,0.218,0.311,0.107,0.193,0.510,0.453,0.032,0.491,0.220,0.447,0.067
f_min.final_model.000.02.det_cont.csv,0.351,0.388,0.275,0.139,0.189,0.108,0.204,0.161,0.204,0.090,0.476,0.293,0.629,0.370,0.161,0.059,0.538,0.039,0.396,0.050,0.735
f_min.final_model.000.03.det_cont.csv,0.245,0.197,0.188,0.409,0.213,0.153,0.357,0.652,0.169,0.448,0.304,0.162,0.283,0.138,0.153,0.239,0.203,0.400,0.660,0.072,0.400
f_min.final_model.000.04.det_cont.csv,0.213,0.165,0.348,0.710,0.475,0.500,0.413,0.435,0.413,0.565,0.229,0.320,0.157,0.225,0.455,0.477,0.077,0.651,0.319,0.279,0.137
f_min.final_model.000.05.det_cont.csv,0.421,0.440,0.683,0.284,0.426,0.310,0.327,0.113,0.533,0.116,0.610,0.549,0.605,0.558,0.434,0.086,0.455,0.151,0.340,0.218,0.465
f_min.final_model.000.06.det_cont.csv,0.148,0.100,0.197,0.645,0.297,0.373,0.417,0.491,0.269,0.691,0.155,0.203,0.100,0.107,0.296,0.484,0.053,0.667,0.359,0.277,0.129
f_min.final_model.000.07.det_cont.csv,0.250,0.259,0.186,0.261,0.214,0.116,0.373,0.346,0.167,0.238,0.367,0.212,0.378,0.214,0.132,0.185,0.300,0.197,0.600,0.062,0.488
f_min.final_model.000.08.det_cont.csv,0.486,0.921,0.400,0.160,0.283,0.185,0.186,0.111,0.321,0.083,0.523,0.509,0.409,0.545,0.305,0.055,0.625,0.090,0.286,0.097,0.362
f_min.final_model.000.09.det_cont.csv,0.405,0.321,0.595,0.424,0.806,0.451,0.426,0.155,0.718,0.250,0.362,0.481,0.255,0.413,0.644,0.194,0.216,0.302,0.211,0.300,0.196
f_min.final_model.000.10.det_cont.csv,0.425,0.562,0.636,0.328,0.489,0.317,0.333,0.108,0.532,0.143,0.568,0.708,0.422,0.707,0.549,0.113,0.457,0.176,0.254,0.207,0.320
f_min.final_model.000.11.det_cont.csv,0.020,0.015,0.083,0.206,0.105,0.358,0.140,0.102,0.161,0.259,0.016,0.119,0.018,0.033,0.161,0.412,0.000,0.270,0.063,0.400,0.000
f_min.final_model.000.12.det_cont.csv,0.154,0.099,0.271,0.333,0.327,0.464,0.415,0.136,0.364,0.277,0.161,0.308,0.063,0.159,0.414,0.464,0.029,0.364,0.149,0.698,0.062
f_min.final_model.000.13.det_cont.csv,0.304,0.569,0.544,0.265,0.387,0.338,0.275,0.073,0.492,0.103,0.393,0.661,0.290,0.564,0.508,0.118,0.407,0.184,0.169,0.229,0.224
f_min.final_model.000.14.det_cont.csv,0.314,0.306,0.245,0.182,0.180,0.133,0.326,0.245,0.173,0.150,0.487,0.246,0.472,0.255,0.115,0.133,0.366,0.118,0.537,0.073,0.528
f_min.final_model.000.15.det_cont.csv,0.500,0.575,0.429,0.149,0.289,0.196,0.154,0.071,0.333,0.046,0.583,0.458,0.625,0.611,0.264,0.015,0.528,0.056,0.292,0.094,0.543
f_min.final_model.000.16.det_cont.csv,0.138,0.108,0.290,0.656,0.381,0.477,0.459,0.413,0.348,0.565,0.178,0.303,0.095,0.176,0.433,0.500,0.024,0.705,0.282,0.359,0.107
f_min.final_model.000.17.det_cont.csv,0.000,0.014,0.000,0.011,0.000,0.013,0.000,0.076,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.036,0.014,0.062,0.000
f_min.final_model.000.18.det_cont.csv,0.245,0.197,0.407,0.409,0.370,0.383,0.652,0.226,0.434,0.312,0.352,0.433,0.259,0.254,0.431,0.361,0.183,0.358,0.393,0.396,0.296
f_min.final_model.000.19.det_cont.csv,0.017,0.000,0.000,0.278,0.074,0.065,0.136,0.500,0.014,0.361,0.014,0.000,0.015,0.000,0.038,0.206,0.000,0.304,0.222,0.000,0.095
f_min.final_model.000.20.det_cont.csv,0.018,0.000,0.000,0.250,0.060,0.053,0.106,0.460,0.000,0.328,0.000,0.000,0.016,0.000,0.026,0.159,0.000,0.257,0.172,0.000,0.098
f_min.final_model.000.21.det_cont.csv,0.000,0.015,0.031,0.012,0.049,0.028,0.000,0.000,0.031,0.000,0.000,0.027,0.018,0.032,0.043,0.043,0.000,0.013,0.000,0.123,0.000
f_min.final_model.000.22.det_cont.csv,0.000,0.000,0.029,0.101,0.046,0.242,0.029,0.077,0.077,0.114,0.000,0.053,0.016,0.030,0.100,0.262,0.000,0.149,0.043,0.308,0.000
f_min.final_model.000.23.det_cont.csv,0.154,0.114,0.119,0.373,0.141,0.139,0.271,0.705,0.103,0.456,0.161,0.090,0.155,0.074,0.093,0.224,0.111,0.364,0.400,0.043,0.255
f_min.final_model.000.24.det_cont.csv,0.037,0.028,0.145,0.222,0.169,0.418,0.164,0.076,0.224,0.234,0.046,0.174,0.033,0.095,0.219,0.393,0.000,0.284,0.058,0.568,0.000
f_min.final_model.000.25.det_cont.csv,0.211,0.231,0.173,0.182,0.113,0.046,0.245,0.271,0.109,0.169,0.318,0.183,0.432,0.204,0.062,0.097,0.333,0.101,0.500,0.054,0.618
f_min.final_model.000.26.det_cont.csv,0.288,0.393,0.519,0.320,0.509,0.348,0.323,0.108,0.519,0.154,0.339,0.484,0.213,0.379,0.561,0.171,0.262,0.212,0.167,0.231,0.152
f_min.final_model.000.27.det_cont.csv,0.273,0.194,0.420,0.419,0.438,0.300,0.614,0.291,0.420,0.317,0.333,0.350,0.312,0.232,0.322,0.300,0.179,0.323,0.490,0.278,0.354
f_min.final_model.000.28.det_cont.csv,0.000,0.000,0.000,0.086,0.000,0.147,0.014,0.109,0.029,0.145,0.000,0.013,0.000,0.000,0.026,0.219,0.000,0.132,0.028,0.232,0.000
f_min.final_model.000.29.det_cont.csv,0.382,0.383,0.292,0.145,0.176,0.113,0.240,0.170,0.192,0.094,0.513,0.286,0.543,0.333,0.150,0.095,0.500,0.069,0.455,0.053,0.647
