 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.361,0.191,0.400,0.200,0.229,0.486,0.194,0.164,0.160,0.273,0.000,0.469,0.472,0.018,0.462,0.357,0.226,0.314,0.000,0.382,0.051,0.000,0.415,0.268,0.593,0.222,0.326,0.250
f_min.final_model.000.01.det_cont.csv,0.396,0.138,0.451,0.143,0.203,0.872,0.150,0.127,0.101,0.298,0.000,0.512,0.365,0.000,0.744,0.271,0.239,0.306,0.027,0.383,0.026,0.027,0.382,0.561,0.386,0.216,0.415,0.182
f_min.final_model.000.02.det_cont.csv,0.280,0.145,0.690,0.327,0.194,0.373,0.348,0.265,0.237,0.224,0.049,0.476,0.659,0.000,0.532,0.600,0.356,0.245,0.000,0.292,0.027,0.043,0.698,0.483,0.611,0.180,0.565,0.364
f_min.final_model.000.03.det_cont.csv,0.141,0.443,0.294,0.458,0.400,0.160,0.710,0.689,0.364,0.275,0.174,0.179,0.417,0.239,0.271,0.459,0.426,0.182,0.011,0.145,0.324,0.011,0.385,0.287,0.339,0.206,0.219,0.704
f_min.final_model.000.04.det_cont.csv,0.192,0.169,0.408,0.523,0.200,0.283,0.450,0.377,0.365,0.232,0.069,0.304,0.737,0.062,0.429,0.750,0.322,0.180,0.000,0.176,0.103,0.060,0.511,0.377,0.600,0.118,0.373,0.490
f_min.final_model.000.05.det_cont.csv,0.092,0.164,0.300,0.551,0.157,0.167,0.500,0.476,0.404,0.114,0.315,0.190,0.442,0.054,0.295,0.519,0.359,0.133,0.013,0.113,0.077,0.067,0.429,0.348,0.383,0.065,0.295,0.439
f_min.final_model.000.06.det_cont.csv,0.208,0.268,0.340,0.438,0.370,0.186,0.435,0.387,0.490,0.392,0.103,0.240,0.447,0.092,0.286,0.500,0.569,0.326,0.000,0.240,0.149,0.014,0.460,0.284,0.318,0.283,0.220,0.471
f_min.final_model.000.07.det_cont.csv,0.164,0.732,0.109,0.169,0.644,0.111,0.435,0.410,0.217,0.365,0.085,0.088,0.153,0.449,0.108,0.143,0.270,0.245,0.072,0.170,0.510,0.000,0.123,0.075,0.160,0.311,0.043,0.471
f_min.final_model.000.08.det_cont.csv,0.208,0.145,0.511,0.500,0.156,0.296,0.435,0.365,0.327,0.183,0.123,0.348,0.700,0.000,0.469,0.714,0.404,0.173,0.000,0.192,0.055,0.074,0.587,0.458,0.657,0.113,0.500,0.364
f_min.final_model.000.09.det_cont.csv,0.091,0.491,0.113,0.375,0.439,0.083,0.540,0.621,0.350,0.254,0.220,0.045,0.226,0.317,0.111,0.250,0.354,0.150,0.025,0.094,0.417,0.000,0.174,0.133,0.138,0.196,0.053,0.566
