 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.188,0.136,0.143,0.435,0.186,0.162,0.286,0.756,0.161,0.481,0.169,0.108,0.164,0.094,0.129,0.254,0.117,0.426,0.451,0.061,0.245
f_min.final_model.000.01.det_cont.csv,0.250,0.200,0.190,0.415,0.217,0.155,0.364,0.667,0.172,0.456,0.309,0.164,0.264,0.141,0.155,0.242,0.207,0.406,0.638,0.074,0.380
f_min.final_model.000.02.det_cont.csv,0.222,0.159,0.346,0.450,0.545,0.571,0.400,0.167,0.522,0.368,0.218,0.333,0.127,0.214,0.540,0.426,0.048,0.466,0.200,0.447,0.085
f_min.final_model.000.03.det_cont.csv,0.351,0.388,0.275,0.139,0.189,0.108,0.204,0.161,0.204,0.090,0.476,0.293,0.629,0.370,0.161,0.059,0.538,0.039,0.396,0.050,0.735
f_min.final_model.000.04.det_cont.csv,0.421,0.440,0.683,0.284,0.426,0.310,0.327,0.113,0.533,0.116,0.610,0.549,0.605,0.558,0.434,0.086,0.455,0.151,0.340,0.218,0.465
f_min.final_model.000.05.det_cont.csv,0.175,0.136,0.271,0.710,0.381,0.455,0.435,0.483,0.348,0.644,0.211,0.269,0.125,0.176,0.391,0.477,0.050,0.733,0.338,0.261,0.137
f_min.final_model.000.06.det_cont.csv,0.256,0.263,0.190,0.246,0.218,0.101,0.380,0.380,0.169,0.242,0.375,0.215,0.386,0.218,0.134,0.188,0.306,0.183,0.578,0.063,0.537
f_min.final_model.000.07.det_cont.csv,0.153,0.103,0.203,0.639,0.306,0.364,0.407,0.509,0.277,0.717,0.159,0.192,0.103,0.110,0.286,0.475,0.054,0.661,0.371,0.246,0.132
f_min.final_model.000.08.det_cont.csv,0.378,0.769,0.320,0.107,0.208,0.123,0.138,0.082,0.245,0.042,0.465,0.462,0.450,0.561,0.237,0.014,0.743,0.038,0.259,0.085,0.395
f_min.final_model.000.09.det_cont.csv,0.385,0.309,0.605,0.433,0.811,0.462,0.438,0.150,0.683,0.242,0.347,0.491,0.245,0.396,0.652,0.206,0.208,0.312,0.203,0.314,0.189
