 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.424,0.814,0.653,0.190,0.152,0.340,0.387,0.129,0.152,0.123,0.164,0.103,0.113,0.409,0.134,0.250,0.117,0.015,0.100,0.436,0.474,0.246,0.295,0.111,0.074,0.538,0.072,0.783,0.069,0.101
f_min.final_model.000.01.det_cont.csv,0.381,0.653,0.953,0.309,0.254,0.510,0.348,0.188,0.162,0.152,0.213,0.068,0.123,0.371,0.162,0.447,0.186,0.014,0.152,0.367,0.611,0.355,0.390,0.074,0.041,0.383,0.108,0.667,0.111,0.053
f_min.final_model.000.02.det_cont.csv,0.491,0.134,0.145,0.081,0.254,0.131,0.500,0.242,0.805,0.449,0.131,0.490,0.481,0.422,0.542,0.145,0.121,0.047,0.229,0.055,0.262,0.411,0.375,0.062,0.203,0.099,0.279,0.111,0.271,0.000
f_min.final_model.000.03.det_cont.csv,0.149,0.224,0.345,0.938,0.500,0.455,0.068,0.333,0.045,0.179,0.422,0.015,0.043,0.036,0.169,0.526,0.579,0.000,0.306,0.075,0.328,0.276,0.241,0.000,0.000,0.074,0.224,0.230,0.321,0.000
f_min.final_model.000.04.det_cont.csv,0.286,0.154,0.238,0.500,0.921,0.236,0.169,0.551,0.237,0.458,0.417,0.161,0.169,0.111,0.431,0.348,0.524,0.000,0.545,0.013,0.286,0.368,0.407,0.000,0.014,0.013,0.433,0.145,0.510,0.000
f_min.final_model.000.05.det_cont.csv,0.712,0.439,0.420,0.089,0.240,0.205,0.717,0.215,0.431,0.324,0.114,0.333,0.297,0.667,0.388,0.171,0.105,0.012,0.180,0.297,0.443,0.361,0.455,0.130,0.125,0.347,0.233,0.456,0.160,0.057
f_min.final_model.000.06.det_cont.csv,0.209,0.389,0.592,0.500,0.281,0.838,0.186,0.246,0.141,0.148,0.308,0.029,0.118,0.154,0.159,0.632,0.333,0.000,0.197,0.169,0.446,0.393,0.434,0.000,0.000,0.185,0.147,0.411,0.194,0.014
f_min.final_model.000.07.det_cont.csv,0.532,0.459,0.415,0.096,0.192,0.262,0.764,0.154,0.359,0.254,0.108,0.323,0.324,0.651,0.279,0.188,0.083,0.013,0.125,0.286,0.557,0.373,0.364,0.157,0.120,0.338,0.149,0.453,0.100,0.036
f_min.final_model.000.08.det_cont.csv,0.114,0.125,0.172,0.465,0.373,0.250,0.067,0.622,0.061,0.241,0.857,0.030,0.058,0.012,0.186,0.283,0.564,0.000,0.608,0.000,0.219,0.172,0.141,0.000,0.000,0.000,0.482,0.118,0.392,0.029
f_min.final_model.000.09.det_cont.csv,0.421,0.119,0.164,0.200,0.460,0.153,0.361,0.434,0.521,0.892,0.259,0.309,0.382,0.268,0.872,0.216,0.255,0.015,0.417,0.027,0.209,0.418,0.490,0.000,0.045,0.055,0.410,0.113,0.423,0.000
f_min.final_model.000.10.det_cont.csv,0.458,0.111,0.153,0.203,0.472,0.141,0.397,0.446,0.592,0.829,0.259,0.351,0.446,0.301,0.950,0.196,0.255,0.014,0.429,0.025,0.211,0.482,0.500,0.000,0.087,0.051,0.468,0.105,0.463,0.000
f_min.final_model.000.11.det_cont.csv,0.349,0.113,0.188,0.346,0.571,0.241,0.243,0.667,0.351,0.609,0.500,0.246,0.270,0.175,0.540,0.294,0.511,0.000,0.589,0.000,0.269,0.414,0.429,0.000,0.014,0.013,0.579,0.107,0.560,0.000
f_min.final_model.000.12.det_cont.csv,0.299,0.095,0.120,0.059,0.197,0.121,0.391,0.171,0.549,0.357,0.088,0.500,1.000,0.391,0.463,0.133,0.061,0.108,0.167,0.025,0.208,0.500,0.344,0.197,0.310,0.051,0.227,0.090,0.176,0.068
f_min.final_model.000.13.det_cont.csv,0.238,0.143,0.071,0.000,0.061,0.000,0.311,0.043,0.186,0.098,0.000,0.500,0.352,0.299,0.148,0.017,0.000,0.189,0.038,0.141,0.200,0.154,0.106,0.524,0.523,0.156,0.107,0.134,0.076,0.148
f_min.final_model.000.14.det_cont.csv,0.194,0.104,0.185,0.512,0.565,0.288,0.093,0.562,0.161,0.353,0.558,0.076,0.103,0.035,0.309,0.326,0.703,0.000,0.556,0.000,0.212,0.222,0.230,0.000,0.015,0.000,0.466,0.099,0.622,0.000
f_min.final_model.000.15.det_cont.csv,0.177,0.288,0.458,0.611,0.354,0.622,0.119,0.283,0.121,0.148,0.364,0.016,0.115,0.093,0.161,0.862,0.400,0.000,0.222,0.079,0.431,0.373,0.360,0.000,0.000,0.078,0.164,0.315,0.222,0.000
f_min.final_model.000.16.det_cont.csv,0.295,0.067,0.126,0.265,0.431,0.143,0.184,0.655,0.274,0.429,0.492,0.179,0.200,0.134,0.409,0.206,0.377,0.049,0.750,0.000,0.148,0.256,0.280,0.000,0.047,0.000,0.828,0.065,0.446,0.081
f_min.final_model.000.17.det_cont.csv,0.348,0.239,0.365,0.321,0.473,0.382,0.400,0.292,0.473,0.368,0.226,0.290,0.474,0.361,0.473,0.429,0.220,0.014,0.292,0.077,0.459,0.870,0.615,0.014,0.083,0.090,0.288,0.261,0.281,0.000
f_min.final_model.000.18.det_cont.csv,0.348,0.886,0.654,0.213,0.157,0.382,0.379,0.120,0.125,0.083,0.152,0.081,0.091,0.380,0.095,0.296,0.125,0.042,0.094,0.500,0.508,0.246,0.292,0.154,0.099,0.545,0.068,0.891,0.065,0.110
f_min.final_model.000.19.det_cont.csv,0.377,0.472,0.653,0.438,0.310,0.614,0.323,0.234,0.169,0.159,0.268,0.119,0.129,0.257,0.169,0.585,0.288,0.000,0.189,0.197,0.714,0.397,0.386,0.061,0.058,0.250,0.141,0.464,0.149,0.013
f_min.final_model.000.20.det_cont.csv,0.239,0.464,0.371,0.058,0.026,0.172,0.268,0.000,0.067,0.027,0.000,0.053,0.037,0.329,0.039,0.078,0.000,0.123,0.000,0.844,0.239,0.090,0.137,0.276,0.116,0.826,0.000,0.483,0.000,0.311
f_min.final_model.000.21.det_cont.csv,0.217,0.472,0.306,0.062,0.027,0.109,0.211,0.000,0.027,0.014,0.000,0.056,0.013,0.274,0.013,0.048,0.000,0.131,0.000,0.837,0.200,0.066,0.082,0.321,0.141,0.778,0.000,0.491,0.000,0.310
f_min.final_model.000.22.det_cont.csv,0.609,0.386,0.370,0.073,0.218,0.200,0.694,0.181,0.532,0.353,0.084,0.403,0.400,0.750,0.439,0.151,0.075,0.023,0.176,0.289,0.355,0.449,0.485,0.113,0.165,0.320,0.227,0.384,0.200,0.056
f_min.final_model.000.23.det_cont.csv,0.025,0.100,0.053,0.000,0.000,0.014,0.024,0.000,0.000,0.000,0.014,0.042,0.068,0.057,0.000,0.000,0.000,0.333,0.048,0.300,0.012,0.000,0.000,0.278,0.161,0.274,0.060,0.125,0.000,0.875
f_min.final_model.000.24.det_cont.csv,0.235,0.099,0.038,0.000,0.101,0.000,0.344,0.082,0.310,0.159,0.014,0.630,0.491,0.348,0.226,0.016,0.031,0.190,0.086,0.097,0.167,0.246,0.162,0.429,0.553,0.111,0.141,0.093,0.149,0.134
f_min.final_model.000.25.det_cont.csv,0.135,0.114,0.052,0.000,0.013,0.000,0.178,0.013,0.152,0.043,0.000,0.339,0.295,0.208,0.086,0.000,0.000,0.353,0.035,0.129,0.105,0.095,0.026,0.458,0.921,0.127,0.035,0.108,0.085,0.169
f_min.final_model.000.26.det_cont.csv,0.305,0.145,0.156,0.265,0.500,0.164,0.197,0.532,0.302,0.610,0.391,0.133,0.220,0.117,0.533,0.234,0.364,0.000,0.500,0.029,0.185,0.254,0.333,0.000,0.031,0.043,0.414,0.136,0.489,0.000
f_min.final_model.000.27.det_cont.csv,0.492,0.281,0.393,0.237,0.481,0.389,0.385,0.339,0.481,0.453,0.210,0.274,0.361,0.347,0.538,0.408,0.224,0.000,0.296,0.107,0.419,0.700,0.930,0.000,0.041,0.120,0.329,0.303,0.306,0.000
f_min.final_model.000.28.det_cont.csv,0.167,0.345,0.446,0.500,0.267,0.732,0.147,0.254,0.086,0.106,0.315,0.014,0.097,0.107,0.118,0.548,0.340,0.000,0.205,0.162,0.377,0.328,0.295,0.000,0.000,0.176,0.156,0.367,0.203,0.041
f_min.final_model.000.29.det_cont.csv,0.107,0.149,0.053,0.000,0.000,0.000,0.133,0.000,0.056,0.000,0.000,0.276,0.238,0.179,0.014,0.000,0.000,0.333,0.000,0.238,0.122,0.039,0.000,0.683,0.500,0.274,0.011,0.141,0.027,0.316
