 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.711,0.302,0.228,0.245,0.353,0.123,0.488,0.220,0.062,0.244,0.125,0.237,0.000,0.028,0.676,0.400,0.058,0.321,0.175,0.259,0.086,0.367,0.145,0.000,0.395,0.092,0.559,0.300,0.667
f_min.final_model.000.01.det_cont.csv,0.175,0.099,0.795,0.250,0.114,0.262,0.377,0.141,0.114,0.121,0.306,0.783,0.103,0.262,0.164,0.385,0.519,0.113,0.064,0.262,0.049,0.118,0.180,0.212,0.150,0.508,0.148,0.403,0.278
f_min.final_model.000.02.det_cont.csv,0.468,0.780,0.088,0.148,0.490,0.203,0.236,0.357,0.123,0.463,0.188,0.085,0.000,0.041,0.435,0.241,0.000,0.451,0.444,0.200,0.194,0.690,0.155,0.000,0.391,0.115,0.390,0.171,0.255
f_min.final_model.000.03.det_cont.csv,0.490,0.571,0.147,0.396,0.638,0.266,0.286,0.481,0.242,0.488,0.290,0.157,0.000,0.095,0.707,0.340,0.013,0.660,0.464,0.462,0.292,0.339,0.340,0.000,0.789,0.197,0.525,0.246,0.388
f_min.final_model.000.04.det_cont.csv,0.090,0.242,0.164,0.423,0.305,0.558,0.161,0.481,0.510,0.333,0.600,0.125,0.138,0.500,0.148,0.164,0.095,0.322,0.344,0.462,0.474,0.087,0.511,0.000,0.283,0.400,0.130,0.246,0.046
f_min.final_model.000.05.det_cont.csv,0.267,0.143,0.688,0.328,0.194,0.217,0.596,0.169,0.159,0.136,0.297,0.615,0.041,0.273,0.259,0.644,0.355,0.174,0.104,0.339,0.087,0.164,0.233,0.123,0.246,0.469,0.231,0.483,0.420
f_min.final_model.000.06.det_cont.csv,0.096,0.203,0.433,0.333,0.267,0.500,0.233,0.361,0.357,0.262,0.531,0.414,0.136,0.478,0.143,0.309,0.338,0.263,0.266,0.424,0.275,0.081,0.369,0.141,0.246,0.817,0.113,0.368,0.147
f_min.final_model.000.07.det_cont.csv,0.057,0.164,0.197,0.389,0.238,0.414,0.217,0.350,0.696,0.226,0.421,0.155,0.250,0.577,0.092,0.241,0.108,0.254,0.258,0.400,0.308,0.056,0.469,0.053,0.211,0.415,0.088,0.299,0.078
f_min.final_model.000.08.det_cont.csv,0.440,0.206,0.453,0.352,0.267,0.159,0.919,0.179,0.152,0.145,0.215,0.404,0.000,0.176,0.408,0.667,0.176,0.242,0.125,0.364,0.078,0.254,0.228,0.013,0.264,0.268,0.277,0.466,0.595
f_min.final_model.000.09.det_cont.csv,0.091,0.173,0.391,0.417,0.239,0.614,0.239,0.400,0.397,0.230,0.685,0.373,0.149,0.586,0.125,0.281,0.296,0.254,0.274,0.426,0.267,0.062,0.414,0.098,0.215,0.672,0.125,0.426,0.129
f_min.final_model.000.10.det_cont.csv,0.000,0.045,0.092,0.117,0.077,0.276,0.000,0.123,0.296,0.036,0.197,0.121,0.558,0.321,0.000,0.032,0.156,0.109,0.103,0.095,0.132,0.000,0.164,0.220,0.052,0.235,0.019,0.215,0.000
f_min.final_model.000.11.det_cont.csv,0.472,0.822,0.107,0.254,0.608,0.284,0.242,0.491,0.206,0.500,0.269,0.103,0.000,0.089,0.442,0.246,0.012,0.596,0.554,0.328,0.290,0.600,0.267,0.000,0.521,0.171,0.435,0.197,0.259
f_min.final_model.000.12.det_cont.csv,0.537,0.457,0.133,0.231,0.558,0.183,0.319,0.346,0.136,0.385,0.186,0.145,0.000,0.014,0.765,0.326,0.000,0.478,0.309,0.294,0.194,0.444,0.220,0.000,0.611,0.110,0.545,0.226,0.450
f_min.final_model.000.13.det_cont.csv,0.242,0.446,0.123,0.444,0.528,0.545,0.152,0.867,0.500,0.581,0.615,0.104,0.040,0.288,0.298,0.190,0.049,0.547,0.593,0.538,0.467,0.215,0.562,0.000,0.469,0.319,0.275,0.200,0.143
f_min.final_model.000.14.det_cont.csv,0.042,0.000,0.463,0.071,0.000,0.123,0.141,0.025,0.026,0.016,0.125,0.491,0.172,0.206,0.014,0.161,0.745,0.000,0.000,0.069,0.000,0.000,0.014,0.455,0.000,0.314,0.016,0.160,0.113
f_min.final_model.000.15.det_cont.csv,0.429,0.208,0.327,0.386,0.255,0.153,0.595,0.196,0.143,0.186,0.175,0.308,0.000,0.079,0.462,0.568,0.079,0.250,0.095,0.340,0.060,0.265,0.234,0.000,0.341,0.164,0.333,0.377,0.486
f_min.final_model.000.16.det_cont.csv,0.250,0.273,0.269,0.653,0.424,0.354,0.436,0.475,0.474,0.224,0.475,0.239,0.052,0.333,0.328,0.444,0.086,0.417,0.328,0.627,0.282,0.171,0.660,0.000,0.415,0.361,0.259,0.431,0.316
f_min.final_model.000.17.det_cont.csv,0.400,0.760,0.085,0.250,0.571,0.260,0.203,0.468,0.189,0.415,0.264,0.082,0.000,0.082,0.446,0.206,0.000,0.561,0.576,0.299,0.301,0.623,0.262,0.000,0.491,0.146,0.385,0.169,0.234
f_min.final_model.000.18.det_cont.csv,0.068,0.025,0.585,0.143,0.037,0.192,0.219,0.075,0.078,0.061,0.194,0.582,0.159,0.261,0.041,0.242,0.812,0.024,0.035,0.139,0.023,0.025,0.069,0.417,0.028,0.426,0.031,0.260,0.156
f_min.final_model.000.19.det_cont.csv,0.316,0.491,0.143,0.462,0.756,0.431,0.233,0.640,0.386,0.435,0.491,0.122,0.000,0.186,0.469,0.281,0.012,0.667,0.585,0.592,0.365,0.328,0.553,0.000,0.667,0.257,0.432,0.275,0.273
f_min.final_model.000.20.det_cont.csv,0.345,0.182,0.491,0.364,0.238,0.302,0.587,0.209,0.147,0.182,0.350,0.491,0.056,0.242,0.340,0.756,0.242,0.215,0.122,0.351,0.076,0.206,0.220,0.039,0.302,0.353,0.292,0.611,0.500
f_min.final_model.000.21.det_cont.csv,0.537,0.241,0.259,0.306,0.288,0.145,0.442,0.207,0.081,0.227,0.148,0.246,0.000,0.060,0.500,0.525,0.076,0.283,0.143,0.294,0.057,0.300,0.173,0.000,0.349,0.125,0.545,0.382,0.706
f_min.final_model.000.22.det_cont.csv,0.242,0.421,0.224,0.418,0.528,0.545,0.206,0.680,0.397,0.478,0.585,0.197,0.054,0.308,0.321,0.250,0.104,0.519,0.458,0.538,0.354,0.234,0.500,0.025,0.469,0.338,0.327,0.286,0.161
f_min.final_model.000.23.det_cont.csv,0.000,0.051,0.077,0.000,0.000,0.000,0.013,0.000,0.025,0.000,0.000,0.087,0.143,0.036,0.000,0.013,0.261,0.000,0.060,0.000,0.125,0.125,0.000,0.518,0.000,0.066,0.000,0.000,0.014
f_min.final_model.000.24.det_cont.csv,0.057,0.040,0.026,0.056,0.026,0.038,0.000,0.095,0.068,0.048,0.052,0.025,0.293,0.079,0.029,0.000,0.065,0.053,0.107,0.013,0.328,0.070,0.059,0.311,0.030,0.022,0.033,0.000,0.000
f_min.final_model.000.25.det_cont.csv,0.179,0.092,0.787,0.270,0.107,0.225,0.368,0.117,0.107,0.094,0.265,0.812,0.143,0.243,0.169,0.426,0.526,0.105,0.048,0.242,0.034,0.110,0.149,0.232,0.156,0.516,0.155,0.415,0.298
f_min.final_model.000.26.det_cont.csv,0.271,0.327,0.222,0.512,0.327,0.380,0.277,0.417,0.300,0.368,0.417,0.211,0.000,0.169,0.349,0.283,0.062,0.404,0.296,0.488,0.241,0.167,0.372,0.000,0.474,0.254,0.361,0.233,0.191
f_min.final_model.000.27.det_cont.csv,0.462,0.600,0.095,0.375,0.667,0.355,0.250,0.537,0.270,0.457,0.361,0.091,0.013,0.120,0.587,0.233,0.000,0.841,0.545,0.386,0.338,0.345,0.370,0.000,0.614,0.205,0.455,0.187,0.315
f_min.final_model.000.28.det_cont.csv,0.230,0.295,0.311,0.767,0.436,0.383,0.396,0.519,0.463,0.320,0.547,0.277,0.000,0.277,0.333,0.404,0.107,0.429,0.355,0.814,0.284,0.132,0.587,0.000,0.489,0.388,0.235,0.397,0.273
f_min.final_model.000.29.det_cont.csv,0.364,0.123,0.413,0.326,0.164,0.079,0.595,0.117,0.085,0.109,0.155,0.388,0.000,0.133,0.326,0.487,0.172,0.161,0.062,0.286,0.029,0.170,0.184,0.031,0.250,0.200,0.333,0.377,0.571
