 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.164,0.125,0.172,0.400,0.346,0.250,0.111,0.659,0.111,0.288,0.857,0.062,0.106,0.048,0.250,0.283,0.525,0.000,0.608,0.000,0.219,0.190,0.159,0.000,0.000,0.014,0.482,0.118,0.420,0.029
f_min.final_model.000.01.det_cont.csv,0.344,0.143,0.186,0.340,0.592,0.217,0.222,0.800,0.322,0.596,0.587,0.185,0.246,0.145,0.500,0.288,0.468,0.000,0.667,0.013,0.246,0.339,0.397,0.000,0.014,0.025,0.655,0.135,0.463,0.000
f_min.final_model.000.02.det_cont.csv,0.178,0.176,0.258,0.543,0.592,0.304,0.086,0.500,0.130,0.316,0.431,0.055,0.066,0.033,0.258,0.396,0.500,0.060,0.452,0.038,0.284,0.258,0.286,0.000,0.027,0.038,0.400,0.183,0.436,0.013
f_min.final_model.000.03.det_cont.csv,0.390,0.810,0.681,0.218,0.175,0.353,0.333,0.132,0.138,0.109,0.169,0.058,0.100,0.358,0.121,0.286,0.140,0.015,0.103,0.453,0.439,0.254,0.328,0.097,0.060,0.472,0.074,0.778,0.071,0.104
f_min.final_model.000.04.det_cont.csv,0.393,0.286,0.364,0.370,0.591,0.383,0.290,0.404,0.321,0.426,0.300,0.211,0.237,0.192,0.400,0.475,0.326,0.000,0.344,0.074,0.368,0.562,0.587,0.000,0.031,0.088,0.297,0.288,0.291,0.000
f_min.final_model.000.05.det_cont.csv,0.333,0.114,0.141,0.078,0.246,0.145,0.410,0.197,0.617,0.404,0.127,0.500,0.837,0.409,0.520,0.182,0.098,0.062,0.189,0.026,0.235,0.558,0.411,0.148,0.237,0.053,0.254,0.108,0.203,0.041
f_min.final_model.000.06.det_cont.csv,0.547,0.206,0.234,0.196,0.423,0.190,0.424,0.375,0.542,0.732,0.255,0.304,0.328,0.319,0.721,0.212,0.250,0.015,0.365,0.085,0.302,0.386,0.481,0.000,0.044,0.130,0.381,0.176,0.389,0.000
f_min.final_model.000.07.det_cont.csv,0.177,0.063,0.129,0.450,0.477,0.224,0.087,0.545,0.121,0.348,0.463,0.085,0.062,0.025,0.300,0.286,0.647,0.000,0.453,0.000,0.177,0.148,0.172,0.000,0.016,0.000,0.393,0.060,0.571,0.000
f_min.final_model.000.08.det_cont.csv,0.365,0.127,0.203,0.315,0.625,0.197,0.313,0.528,0.444,0.596,0.377,0.328,0.350,0.234,0.660,0.264,0.408,0.000,0.475,0.000,0.303,0.537,0.528,0.014,0.056,0.012,0.468,0.120,0.491,0.000
f_min.final_model.000.09.det_cont.csv,0.574,0.364,0.388,0.141,0.294,0.277,0.690,0.230,0.571,0.417,0.137,0.381,0.400,0.567,0.517,0.222,0.129,0.000,0.220,0.230,0.412,0.550,0.596,0.038,0.104,0.260,0.263,0.343,0.236,0.023
f_min.final_model.000.10.det_cont.csv,0.355,0.279,0.397,0.302,0.382,0.420,0.410,0.254,0.434,0.327,0.224,0.293,0.436,0.348,0.434,0.444,0.196,0.015,0.222,0.082,0.474,0.884,0.580,0.014,0.090,0.111,0.236,0.281,0.242,0.000
f_min.final_model.000.11.det_cont.csv,0.642,0.286,0.292,0.180,0.362,0.175,0.561,0.344,0.491,0.520,0.233,0.418,0.344,0.412,0.519,0.214,0.228,0.014,0.300,0.123,0.475,0.333,0.390,0.123,0.134,0.186,0.314,0.250,0.290,0.000
f_min.final_model.000.12.det_cont.csv,0.349,0.097,0.155,0.321,0.604,0.200,0.243,0.600,0.351,0.574,0.412,0.267,0.270,0.175,0.604,0.269,0.447,0.000,0.589,0.000,0.197,0.390,0.404,0.000,0.057,0.000,0.552,0.092,0.733,0.000
f_min.final_model.000.13.det_cont.csv,0.224,0.382,0.580,0.489,0.276,0.816,0.200,0.242,0.138,0.127,0.302,0.028,0.116,0.167,0.138,0.575,0.327,0.000,0.194,0.167,0.464,0.386,0.426,0.000,0.000,0.182,0.145,0.404,0.210,0.014
f_min.final_model.000.14.det_cont.csv,0.645,0.524,0.500,0.130,0.237,0.254,0.625,0.198,0.343,0.282,0.141,0.274,0.244,0.632,0.306,0.221,0.133,0.012,0.165,0.347,0.500,0.356,0.448,0.143,0.096,0.400,0.202,0.538,0.159,0.068
