 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.410,0.111,0.153,0.224,0.500,0.141,0.313,0.558,0.472,0.829,0.352,0.305,0.350,0.234,0.773,0.196,0.302,0.014,0.525,0.013,0.211,0.407,0.500,0.000,0.056,0.038,0.517,0.105,0.491,0.000
f_min.final_model.000.01.det_cont.csv,0.149,0.145,0.206,0.522,0.481,0.286,0.048,0.509,0.100,0.276,0.469,0.041,0.026,0.011,0.222,0.375,0.545,0.077,0.483,0.026,0.232,0.188,0.212,0.000,0.042,0.025,0.406,0.137,0.444,0.013
f_min.final_model.000.02.det_cont.csv,0.362,0.159,0.226,0.362,0.578,0.245,0.246,0.644,0.315,0.581,0.535,0.207,0.254,0.158,0.511,0.333,0.512,0.000,0.509,0.014,0.295,0.382,0.396,0.000,0.000,0.027,0.500,0.149,0.469,0.000
f_min.final_model.000.03.det_cont.csv,0.679,0.275,0.300,0.215,0.410,0.191,0.548,0.348,0.564,0.537,0.246,0.393,0.369,0.431,0.593,0.230,0.262,0.000,0.324,0.113,0.424,0.422,0.483,0.081,0.122,0.169,0.356,0.243,0.318,0.000
f_min.final_model.000.04.det_cont.csv,0.333,0.830,0.589,0.222,0.167,0.339,0.324,0.115,0.120,0.095,0.145,0.064,0.087,0.312,0.105,0.281,0.119,0.055,0.091,0.582,0.460,0.254,0.299,0.182,0.080,0.630,0.066,0.837,0.062,0.167
f_min.final_model.000.05.det_cont.csv,0.407,0.262,0.333,0.259,0.442,0.373,0.393,0.279,0.442,0.412,0.186,0.321,0.368,0.333,0.471,0.391,0.200,0.015,0.261,0.099,0.383,0.702,0.696,0.000,0.075,0.097,0.294,0.286,0.310,0.000
f_min.final_model.000.06.det_cont.csv,0.456,0.674,0.569,0.115,0.119,0.273,0.417,0.099,0.190,0.143,0.111,0.121,0.147,0.438,0.154,0.185,0.065,0.030,0.074,0.500,0.407,0.212,0.279,0.131,0.091,0.580,0.073,0.653,0.041,0.136
f_min.final_model.000.07.det_cont.csv,0.227,0.389,0.560,0.500,0.281,0.838,0.186,0.246,0.141,0.129,0.308,0.029,0.118,0.154,0.141,0.550,0.333,0.000,0.197,0.152,0.446,0.393,0.407,0.000,0.000,0.185,0.147,0.386,0.194,0.014
f_min.final_model.000.08.det_cont.csv,0.540,0.379,0.446,0.171,0.271,0.312,0.707,0.179,0.534,0.344,0.120,0.397,0.394,0.606,0.435,0.238,0.111,0.000,0.174,0.227,0.492,0.567,0.586,0.064,0.117,0.257,0.214,0.377,0.200,0.023
f_min.final_model.000.09.det_cont.csv,0.618,0.258,0.303,0.138,0.328,0.246,0.569,0.254,0.558,0.472,0.152,0.333,0.424,0.485,0.588,0.250,0.161,0.000,0.240,0.151,0.369,0.564,0.615,0.014,0.083,0.164,0.306,0.261,0.262,0.013
f_min.final_model.000.10.det_cont.csv,0.297,0.100,0.127,0.030,0.136,0.111,0.417,0.130,0.562,0.286,0.061,0.510,0.814,0.438,0.389,0.103,0.048,0.097,0.115,0.054,0.221,0.429,0.300,0.211,0.309,0.082,0.173,0.095,0.152,0.071
f_min.final_model.000.11.det_cont.csv,0.680,0.279,0.246,0.095,0.267,0.183,0.686,0.254,0.583,0.431,0.145,0.471,0.386,0.476,0.490,0.161,0.136,0.000,0.205,0.145,0.400,0.373,0.436,0.111,0.123,0.212,0.271,0.242,0.203,0.013
f_min.final_model.000.12.det_cont.csv,0.120,0.164,0.066,0.000,0.000,0.000,0.162,0.000,0.101,0.000,0.000,0.316,0.295,0.224,0.027,0.000,0.000,0.327,0.000,0.197,0.135,0.066,0.000,0.667,0.659,0.231,0.011,0.155,0.027,0.226
f_min.final_model.000.13.det_cont.csv,0.369,0.092,0.147,0.233,0.473,0.134,0.247,0.585,0.373,0.529,0.434,0.250,0.273,0.181,0.528,0.167,0.358,0.014,0.632,0.000,0.187,0.323,0.377,0.000,0.054,0.012,0.679,0.087,0.464,0.038
f_min.final_model.000.14.det_cont.csv,0.393,0.180,0.210,0.312,0.628,0.204,0.231,0.490,0.346,0.634,0.383,0.169,0.259,0.160,0.591,0.311,0.386,0.000,0.439,0.043,0.258,0.339,0.460,0.000,0.015,0.057,0.431,0.169,0.420,0.000
f_min.final_model.000.15.det_cont.csv,0.500,0.220,0.293,0.286,0.556,0.275,0.290,0.377,0.458,0.489,0.250,0.232,0.327,0.225,0.522,0.405,0.298,0.000,0.323,0.043,0.279,0.500,0.622,0.000,0.031,0.072,0.317,0.226,0.291,0.000
f_min.final_model.000.16.det_cont.csv,0.367,0.118,0.179,0.288,0.542,0.169,0.312,0.481,0.423,0.614,0.380,0.327,0.328,0.230,0.644,0.235,0.383,0.000,0.483,0.000,0.262,0.463,0.481,0.000,0.044,0.013,0.500,0.111,0.500,0.000
f_min.final_model.000.17.det_cont.csv,0.279,0.723,0.714,0.286,0.197,0.451,0.290,0.108,0.082,0.056,0.138,0.040,0.065,0.315,0.068,0.333,0.148,0.043,0.083,0.519,0.475,0.273,0.281,0.123,0.086,0.482,0.045,0.771,0.067,0.113
f_min.final_model.000.18.det_cont.csv,0.382,0.796,0.655,0.234,0.178,0.397,0.433,0.127,0.132,0.107,0.157,0.104,0.099,0.411,0.117,0.316,0.132,0.039,0.101,0.435,0.567,0.282,0.328,0.159,0.107,0.500,0.076,0.840,0.074,0.103
f_min.final_model.000.19.det_cont.csv,0.435,0.258,0.265,0.028,0.095,0.169,0.542,0.077,0.446,0.182,0.027,0.509,0.500,0.633,0.266,0.094,0.000,0.042,0.069,0.183,0.348,0.365,0.292,0.190,0.279,0.250,0.119,0.225,0.093,0.038
f_min.final_model.000.20.det_cont.csv,0.175,0.133,0.224,0.639,0.535,0.356,0.086,0.533,0.119,0.286,0.605,0.066,0.078,0.025,0.269,0.410,0.839,0.000,0.444,0.000,0.254,0.224,0.211,0.000,0.000,0.000,0.362,0.125,0.523,0.000
f_min.final_model.000.21.det_cont.csv,0.087,0.191,0.105,0.000,0.000,0.000,0.085,0.000,0.013,0.000,0.000,0.054,0.038,0.116,0.000,0.000,0.000,0.500,0.022,0.344,0.074,0.000,0.000,0.377,0.226,0.361,0.057,0.181,0.000,0.519
f_min.final_model.000.22.det_cont.csv,0.426,0.227,0.183,0.059,0.145,0.121,0.508,0.139,0.436,0.267,0.104,0.529,0.519,0.433,0.339,0.133,0.061,0.108,0.110,0.123,0.338,0.312,0.281,0.327,0.357,0.169,0.179,0.197,0.111,0.082
f_min.final_model.000.23.det_cont.csv,0.192,0.061,0.084,0.164,0.308,0.081,0.131,0.467,0.197,0.390,0.333,0.120,0.114,0.062,0.328,0.121,0.267,0.164,0.540,0.000,0.107,0.125,0.173,0.000,0.065,0.000,0.556,0.058,0.365,0.118
f_min.final_model.000.24.det_cont.csv,0.230,0.169,0.220,0.463,0.457,0.319,0.132,0.628,0.175,0.333,0.676,0.082,0.129,0.063,0.314,0.400,0.611,0.000,0.491,0.014,0.271,0.241,0.250,0.000,0.000,0.029,0.404,0.159,0.478,0.000
f_min.final_model.000.25.det_cont.csv,0.388,0.426,0.525,0.345,0.288,0.429,0.397,0.205,0.214,0.188,0.231,0.273,0.239,0.325,0.181,0.423,0.246,0.013,0.169,0.173,0.788,0.406,0.375,0.179,0.139,0.236,0.153,0.422,0.147,0.012
f_min.final_model.000.26.det_cont.csv,0.097,0.106,0.152,0.422,0.315,0.222,0.052,0.609,0.044,0.214,0.692,0.014,0.042,0.000,0.164,0.250,0.476,0.049,0.596,0.000,0.179,0.134,0.104,0.000,0.000,0.000,0.527,0.100,0.358,0.092
f_min.final_model.000.27.det_cont.csv,0.217,0.114,0.191,0.500,0.617,0.291,0.147,0.549,0.226,0.431,0.479,0.154,0.145,0.094,0.434,0.327,0.634,0.015,0.571,0.000,0.217,0.306,0.295,0.000,0.058,0.000,0.435,0.108,0.750,0.000
