 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.310,0.569,0.125,0.426,0.569,0.448,0.154,0.804,0.379,0.634,0.509,0.105,0.000,0.217,0.327,0.194,0.037,0.558,0.635,0.519,0.426,0.300,0.480,0.000,0.511,0.270,0.333,0.187,0.164
f_min.final_model.000.01.det_cont.csv,0.744,0.436,0.143,0.206,0.411,0.137,0.298,0.323,0.068,0.347,0.155,0.153,0.013,0.012,0.600,0.281,0.025,0.429,0.333,0.238,0.229,0.481,0.123,0.013,0.400,0.069,0.500,0.222,0.429
f_min.final_model.000.02.det_cont.csv,0.408,0.587,0.156,0.400,0.659,0.375,0.259,0.583,0.304,0.622,0.382,0.149,0.000,0.167,0.435,0.288,0.027,0.574,0.500,0.469,0.311,0.420,0.426,0.000,0.641,0.243,0.500,0.262,0.280
f_min.final_model.000.03.det_cont.csv,0.217,0.354,0.290,0.417,0.443,0.673,0.221,0.569,0.443,0.415,0.685,0.260,0.090,0.415,0.286,0.302,0.165,0.483,0.431,0.526,0.377,0.178,0.491,0.034,0.436,0.522,0.286,0.366,0.179
f_min.final_model.000.04.det_cont.csv,0.171,0.089,0.812,0.258,0.103,0.216,0.373,0.127,0.103,0.106,0.254,0.837,0.153,0.233,0.162,0.404,0.607,0.101,0.058,0.269,0.045,0.105,0.159,0.313,0.149,0.449,0.148,0.377,0.262
f_min.final_model.000.05.det_cont.csv,0.217,0.283,0.279,1.000,0.351,0.373,0.358,0.455,0.400,0.306,0.509,0.266,0.028,0.306,0.321,0.365,0.095,0.418,0.323,0.652,0.292,0.119,0.543,0.000,0.447,0.338,0.245,0.344,0.259
f_min.final_model.000.06.det_cont.csv,0.090,0.085,0.696,0.213,0.100,0.286,0.333,0.143,0.185,0.143,0.311,0.620,0.121,0.328,0.094,0.365,0.558,0.099,0.093,0.246,0.091,0.056,0.183,0.254,0.115,0.542,0.070,0.344,0.172
f_min.final_model.000.07.det_cont.csv,0.420,0.190,0.462,0.333,0.250,0.145,0.944,0.164,0.154,0.127,0.219,0.411,0.000,0.179,0.388,0.605,0.179,0.226,0.111,0.370,0.079,0.237,0.232,0.013,0.245,0.254,0.255,0.424,0.571
f_min.final_model.000.08.det_cont.csv,0.145,0.197,0.438,0.571,0.264,0.532,0.344,0.403,0.422,0.219,0.649,0.357,0.086,0.557,0.183,0.371,0.250,0.296,0.280,0.552,0.256,0.072,0.466,0.057,0.262,0.591,0.154,0.429,0.206
f_min.final_model.000.09.det_cont.csv,0.145,0.258,0.273,0.538,0.339,0.526,0.258,0.509,0.482,0.321,0.654,0.243,0.039,0.426,0.206,0.305,0.160,0.424,0.375,0.547,0.343,0.095,0.540,0.024,0.345,0.540,0.175,0.296,0.194
