 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.310,0.744,0.408,0.217,0.171,0.217,0.090,0.420,0.145,0.145,0.014,0.104,0.000,0.295,0.360,0.259,0.286,0.242,0.183,0.026,0.600,0.000,0.055,0.277,0.444,0.277,0.468,0.542,0.027,0.051
f_min.final_model.000.01.det_cont.csv,0.569,0.436,0.587,0.354,0.089,0.283,0.085,0.190,0.197,0.258,0.132,0.258,0.000,0.596,0.500,0.385,0.520,0.066,0.100,0.078,0.478,0.000,0.141,0.475,0.533,0.160,0.587,0.529,0.176,0.024
f_min.final_model.000.02.det_cont.csv,0.125,0.143,0.156,0.290,0.812,0.279,0.696,0.462,0.438,0.273,0.114,0.274,0.129,0.120,0.177,0.281,0.132,0.745,0.780,0.273,0.131,0.171,0.224,0.060,0.167,0.419,0.104,0.113,0.174,0.500
f_min.final_model.000.03.det_cont.csv,0.426,0.206,0.400,0.417,0.258,1.000,0.213,0.333,0.571,0.538,0.321,0.389,0.027,0.356,0.408,0.568,0.460,0.279,0.269,0.290,0.226,0.000,0.238,0.167,0.245,0.355,0.111,0.339,0.305,0.092
f_min.final_model.000.04.det_cont.csv,0.569,0.411,0.659,0.443,0.103,0.351,0.100,0.250,0.264,0.339,0.203,0.345,0.000,0.694,0.532,0.440,0.727,0.095,0.128,0.122,0.545,0.000,0.209,0.338,0.533,0.225,0.404,0.560,0.250,0.024
f_min.final_model.000.05.det_cont.csv,0.448,0.137,0.375,0.673,0.216,0.373,0.286,0.145,0.532,0.526,0.421,0.673,0.155,0.359,0.357,0.407,0.455,0.164,0.260,0.450,0.180,0.062,0.545,0.213,0.237,0.422,0.116,0.262,0.585,0.169
f_min.final_model.000.06.det_cont.csv,0.154,0.298,0.259,0.221,0.373,0.358,0.333,0.944,0.344,0.258,0.125,0.197,0.000,0.182,0.218,0.340,0.203,0.434,0.407,0.200,0.370,0.000,0.134,0.093,0.333,0.439,0.236,0.304,0.071,0.174
f_min.final_model.000.07.det_cont.csv,0.804,0.323,0.583,0.569,0.127,0.455,0.143,0.164,0.403,0.509,0.356,0.446,0.025,0.564,0.630,0.531,0.646,0.091,0.138,0.246,0.315,0.000,0.312,0.385,0.358,0.200,0.246,0.446,0.339,0.047
f_min.final_model.000.08.det_cont.csv,0.379,0.068,0.304,0.443,0.103,0.400,0.185,0.154,0.422,0.482,0.674,0.444,0.219,0.317,0.333,0.440,0.357,0.080,0.114,0.482,0.133,0.013,0.500,0.130,0.169,0.261,0.043,0.182,0.404,0.049
f_min.final_model.000.09.det_cont.csv,0.634,0.347,0.622,0.415,0.106,0.306,0.143,0.127,0.219,0.321,0.185,0.354,0.000,0.458,0.735,0.405,0.465,0.062,0.103,0.111,0.375,0.000,0.214,0.423,0.436,0.175,0.277,0.383,0.175,0.028
f_min.final_model.000.10.det_cont.csv,0.509,0.155,0.382,0.685,0.254,0.509,0.311,0.219,0.649,0.654,0.429,0.723,0.080,0.344,0.389,0.471,0.491,0.200,0.282,0.433,0.203,0.024,0.474,0.216,0.241,0.343,0.101,0.306,0.482,0.171
f_min.final_model.000.11.det_cont.csv,0.105,0.153,0.149,0.260,0.837,0.266,0.620,0.411,0.357,0.243,0.095,0.262,0.171,0.087,0.169,0.206,0.111,0.735,0.736,0.243,0.161,0.214,0.214,0.058,0.159,0.444,0.100,0.139,0.183,0.552
f_min.final_model.000.12.det_cont.csv,0.000,0.013,0.000,0.090,0.153,0.028,0.121,0.000,0.086,0.039,0.276,0.103,0.974,0.013,0.000,0.015,0.000,0.114,0.149,0.270,0.000,0.300,0.345,0.012,0.000,0.200,0.000,0.014,0.283,0.221
f_min.final_model.000.13.det_cont.csv,0.217,0.012,0.167,0.415,0.233,0.306,0.328,0.179,0.557,0.426,0.588,0.464,0.262,0.176,0.152,0.226,0.194,0.214,0.260,0.933,0.014,0.049,0.466,0.058,0.058,0.338,0.000,0.065,0.500,0.233
