 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv,finalmodel.000.15.det_cont.csv,finalmodel.000.16.det_cont.csv,finalmodel.000.17.det_cont.csv,finalmodel.000.18.det_cont.csv,finalmodel.000.19.det_cont.csv,finalmodel.000.20.det_cont.csv,finalmodel.000.21.det_cont.csv,finalmodel.000.22.det_cont.csv,finalmodel.000.23.det_cont.csv,finalmodel.000.24.det_cont.csv,finalmodel.000.25.det_cont.csv,finalmodel.000.26.det_cont.csv,finalmodel.000.27.det_cont.csv,finalmodel.000.28.det_cont.csv,finalmodel.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.134,0.654,0.323,0.411,0.254,0.147,0.291,0.066,0.410,0.603,0.373,0.134,0.660,0.119,0.390,0.270,0.382,0.200,0.290,0.076,0.077,0.013,0.118,0.468,0.097,0.351,0.190,0.373,0.286,0.203
f_min.final_model.000.01.det_cont.csv,0.400,0.197,0.232,0.347,0.333,0.413,0.381,0.478,0.327,0.073,0.333,0.615,0.172,0.000,0.327,0.558,0.400,0.365,0.241,0.000,0.000,0.000,0.016,0.026,0.667,0.049,0.409,0.193,0.360,0.561
f_min.final_model.000.02.det_cont.csv,0.488,0.121,0.207,0.264,0.375,0.375,0.283,0.683,0.254,0.047,0.302,0.488,0.101,0.000,0.250,0.447,0.255,0.440,0.214,0.000,0.014,0.045,0.016,0.013,0.647,0.016,0.370,0.131,0.353,0.413
f_min.final_model.000.03.det_cont.csv,0.439,0.169,0.204,0.319,0.333,0.356,0.350,0.488,0.302,0.063,0.306,0.595,0.164,0.000,0.300,0.575,0.372,0.314,0.235,0.000,0.000,0.000,0.000,0.028,0.700,0.034,0.415,0.185,0.362,0.579
f_min.final_model.000.04.det_cont.csv,0.242,0.381,0.092,0.569,0.452,0.068,0.333,0.344,0.554,0.244,0.608,0.305,0.309,0.101,0.297,0.446,0.510,0.491,0.025,0.029,0.037,0.051,0.100,0.211,0.190,0.322,0.152,0.390,0.123,0.345
f_min.final_model.000.05.det_cont.csv,0.578,0.286,0.100,0.510,0.647,0.217,0.347,0.382,0.473,0.143,0.583,0.511,0.239,0.045,0.283,0.531,0.420,0.519,0.087,0.000,0.000,0.041,0.029,0.117,0.340,0.180,0.207,0.288,0.206,0.565
f_min.final_model.000.06.det_cont.csv,0.396,0.453,0.123,0.707,0.538,0.113,0.442,0.309,0.750,0.227,0.714,0.367,0.362,0.082,0.377,0.479,0.634,0.442,0.060,0.016,0.000,0.014,0.063,0.206,0.255,0.308,0.245,0.440,0.180,0.417
f_min.final_model.000.07.det_cont.csv,0.104,0.680,0.250,0.426,0.261,0.134,0.302,0.053,0.448,0.571,0.362,0.088,0.536,0.217,0.429,0.238,0.345,0.155,0.200,0.150,0.051,0.000,0.233,0.534,0.082,0.471,0.217,0.436,0.295,0.154
f_min.final_model.000.08.det_cont.csv,0.075,0.464,0.164,0.293,0.149,0.104,0.196,0.000,0.323,0.492,0.262,0.043,0.400,0.420,0.393,0.169,0.263,0.081,0.134,0.264,0.053,0.055,0.358,0.526,0.049,0.521,0.183,0.540,0.185,0.106
f_min.final_model.000.09.det_cont.csv,0.214,0.322,0.542,0.203,0.157,0.429,0.286,0.197,0.238,0.368,0.177,0.193,0.429,0.015,0.480,0.263,0.283,0.169,0.532,0.050,0.041,0.000,0.046,0.297,0.333,0.150,0.523,0.259,0.659,0.255
f_min.final_model.000.10.det_cont.csv,0.092,0.246,0.674,0.104,0.050,0.327,0.200,0.070,0.141,0.412,0.070,0.044,0.383,0.045,0.242,0.087,0.164,0.097,0.596,0.100,0.215,0.027,0.060,0.303,0.145,0.091,0.228,0.152,0.407,0.091
f_min.final_model.000.11.det_cont.csv,0.155,0.203,0.698,0.094,0.081,0.500,0.216,0.200,0.116,0.314,0.075,0.175,0.317,0.015,0.327,0.203,0.136,0.087,0.775,0.069,0.154,0.029,0.047,0.224,0.341,0.030,0.404,0.143,0.565,0.193
