 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
finalmodel.000.00.det_cont.csv,0.134,0.400,0.488,0.439,0.242,0.578,0.396,0.104,0.075,0.214,0.092,0.155,0.048,0.362,0.156,0.861,0.800,0.182,0.245,0.182,0.000,0.450,0.000,0.500,0.575,0.083,0.000,0.119,0.381,0.164
finalmodel.000.01.det_cont.csv,0.654,0.197,0.121,0.169,0.381,0.286,0.453,0.680,0.464,0.322,0.246,0.203,0.056,0.345,0.448,0.185,0.141,0.119,0.551,0.293,0.152,0.133,0.203,0.164,0.259,0.492,0.309,0.188,0.133,0.500
finalmodel.000.02.det_cont.csv,0.323,0.232,0.207,0.204,0.092,0.100,0.123,0.250,0.164,0.542,0.674,0.698,0.000,0.148,0.270,0.123,0.131,0.420,0.161,0.543,0.091,0.231,0.074,0.110,0.150,0.448,0.133,0.756,0.333,0.328
finalmodel.000.03.det_cont.csv,0.411,0.347,0.264,0.319,0.569,0.510,0.707,0.426,0.293,0.203,0.104,0.094,0.097,0.523,0.400,0.346,0.294,0.115,0.568,0.214,0.000,0.245,0.029,0.322,0.467,0.328,0.102,0.078,0.196,0.480
finalmodel.000.04.det_cont.csv,0.254,0.333,0.375,0.333,0.452,0.647,0.538,0.261,0.149,0.157,0.050,0.081,0.114,0.481,0.261,0.569,0.520,0.114,0.411,0.147,0.000,0.291,0.026,0.492,0.520,0.182,0.056,0.053,0.224,0.292
finalmodel.000.05.det_cont.csv,0.147,0.413,0.375,0.356,0.068,0.217,0.113,0.134,0.104,0.429,0.327,0.500,0.000,0.245,0.333,0.255,0.275,0.718,0.079,0.396,0.000,0.500,0.000,0.132,0.300,0.212,0.000,0.447,0.579,0.281
finalmodel.000.06.det_cont.csv,0.291,0.381,0.283,0.350,0.333,0.347,0.442,0.302,0.196,0.286,0.200,0.216,0.091,0.405,0.408,0.292,0.261,0.250,0.326,0.277,0.000,0.325,0.033,0.228,0.381,0.237,0.000,0.220,0.359,0.535
finalmodel.000.07.det_cont.csv,0.066,0.478,0.683,0.488,0.344,0.382,0.309,0.053,0.000,0.197,0.070,0.200,0.207,0.353,0.162,0.469,0.478,0.186,0.183,0.167,0.000,0.432,0.029,0.455,0.360,0.037,0.000,0.127,0.312,0.188
finalmodel.000.08.det_cont.csv,0.410,0.327,0.254,0.302,0.554,0.473,0.750,0.448,0.323,0.238,0.141,0.116,0.087,0.510,0.448,0.328,0.281,0.119,0.583,0.230,0.027,0.236,0.041,0.328,0.431,0.313,0.143,0.101,0.193,0.528
finalmodel.000.09.det_cont.csv,0.603,0.073,0.047,0.063,0.244,0.143,0.227,0.571,0.492,0.368,0.412,0.314,0.023,0.171,0.478,0.070,0.048,0.216,0.319,0.364,0.182,0.064,0.211,0.053,0.128,0.746,0.299,0.379,0.122,0.391
