 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.000,0.000,0.097,0.090,0.138,0.230,0.097,0.000,0.153,0.086
f_min.final_model.000.01.det_cont.csv,0.238,0.522,0.218,0.077,0.121,0.072,0.136,0.081,0.155,0.027
f_min.final_model.000.02.det_cont.csv,0.037,0.028,0.164,0.173,0.190,0.368,0.203,0.014,0.246,0.145
f_min.final_model.000.03.det_cont.csv,0.000,0.014,0.060,0.048,0.062,0.164,0.044,0.000,0.109,0.026
f_min.final_model.000.04.det_cont.csv,0.191,0.121,0.127,0.467,0.190,0.164,0.365,0.775,0.164,0.519
f_min.final_model.000.05.det_cont.csv,0.104,0.164,0.259,0.149,0.269,0.230,0.133,0.000,0.308,0.056
f_min.final_model.000.06.det_cont.csv,0.042,0.030,0.182,0.171,0.189,0.385,0.182,0.016,0.250,0.123
f_min.final_model.000.07.det_cont.csv,0.000,0.013,0.000,0.034,0.000,0.000,0.000,0.104,0.000,0.051
f_min.final_model.000.08.det_cont.csv,0.213,0.190,0.440,0.369,0.458,0.612,0.358,0.091,0.565,0.212
f_min.final_model.000.09.det_cont.csv,0.120,0.088,0.092,0.375,0.150,0.114,0.268,0.732,0.092,0.436
