 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.000,0.238,0.037,0.000,0.191,0.104,0.042,0.000,0.213,0.120
f_min.final_model.000.01.det_cont.csv,0.000,0.522,0.028,0.014,0.121,0.164,0.030,0.013,0.190,0.088
f_min.final_model.000.02.det_cont.csv,0.097,0.218,0.164,0.060,0.127,0.259,0.182,0.000,0.440,0.092
f_min.final_model.000.03.det_cont.csv,0.090,0.077,0.173,0.048,0.467,0.149,0.171,0.034,0.369,0.375
f_min.final_model.000.04.det_cont.csv,0.138,0.121,0.190,0.062,0.190,0.269,0.189,0.000,0.458,0.150
f_min.final_model.000.05.det_cont.csv,0.230,0.072,0.368,0.164,0.164,0.230,0.385,0.000,0.612,0.114
f_min.final_model.000.06.det_cont.csv,0.097,0.136,0.203,0.044,0.365,0.133,0.182,0.000,0.358,0.268
f_min.final_model.000.07.det_cont.csv,0.000,0.081,0.014,0.000,0.775,0.000,0.016,0.104,0.091,0.732
f_min.final_model.000.08.det_cont.csv,0.153,0.155,0.246,0.109,0.164,0.308,0.250,0.000,0.565,0.092
f_min.final_model.000.09.det_cont.csv,0.086,0.027,0.145,0.026,0.519,0.056,0.123,0.051,0.212,0.436
