 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.096,0.082,0.153,0.051,0.431,0.159,0.149,0.036,0.400,0.339
f_min.final_model.000.01.det_cont.csv,0.000,0.141,0.000,0.000,0.791,0.000,0.000,0.127,0.054,0.711
f_min.final_model.000.02.det_cont.csv,0.000,0.206,0.013,0.000,0.702,0.000,0.014,0.092,0.095,0.739
f_min.final_model.000.03.det_cont.csv,0.000,0.524,0.000,0.000,0.214,0.083,0.000,0.000,0.113,0.236
f_min.final_model.000.04.det_cont.csv,0.059,0.340,0.119,0.042,0.154,0.220,0.131,0.000,0.357,0.154
f_min.final_model.000.05.det_cont.csv,0.000,0.294,0.000,0.000,0.400,0.000,0.000,0.014,0.060,0.458
f_min.final_model.000.06.det_cont.csv,0.155,0.013,0.232,0.090,0.393,0.155,0.234,0.035,0.323,0.349
f_min.final_model.000.07.det_cont.csv,0.042,0.480,0.083,0.054,0.114,0.250,0.091,0.000,0.295,0.083
f_min.final_model.000.08.det_cont.csv,0.263,0.000,0.389,0.172,0.172,0.286,0.353,0.000,0.551,0.119
f_min.final_model.000.09.det_cont.csv,0.131,0.133,0.200,0.075,0.125,0.353,0.200,0.000,0.490,0.091
