 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.029,0.057,0.000,0.164,0.072,0.200,0.000,0.167,0.276,0.034
f_min.final_model.000.01.det_cont.csv,0.568,0.404,0.138,0.148,0.327,0.085,0.308,0.169,0.028,0.176
f_min.final_model.000.02.det_cont.csv,0.000,0.116,0.000,0.233,0.149,0.227,0.014,0.250,0.481,0.103
f_min.final_model.000.03.det_cont.csv,0.043,0.041,0.000,0.088,0.041,0.125,0.000,0.111,0.242,0.032
f_min.final_model.000.04.det_cont.csv,0.177,0.100,0.857,0.276,0.116,0.266,0.440,0.159,0.149,0.123
f_min.final_model.000.05.det_cont.csv,0.186,0.276,0.000,0.246,0.233,0.200,0.000,0.375,0.156,0.245
f_min.final_model.000.06.det_cont.csv,0.015,0.127,0.000,0.259,0.145,0.271,0.015,0.233,0.511,0.094
f_min.final_model.000.07.det_cont.csv,0.000,0.013,0.125,0.000,0.000,0.012,0.014,0.000,0.013,0.000
f_min.final_model.000.08.det_cont.csv,0.121,0.322,0.082,0.364,0.418,0.439,0.106,0.500,0.592,0.383
f_min.final_model.000.09.det_cont.csv,0.197,0.055,0.773,0.298,0.085,0.209,0.440,0.111,0.116,0.085
