 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.118,0.071,0.197,0.082,0.295,0.152,0.197,0.012,0.455,0.215
f_min.final_model.000.01.det_cont.csv,0.169,0.133,0.241,0.108,0.180,0.302,0.245,0.000,0.521,0.143
f_min.final_model.000.02.det_cont.csv,0.098,0.035,0.177,0.045,0.476,0.111,0.176,0.067,0.270,0.431
f_min.final_model.000.03.det_cont.csv,0.031,0.294,0.077,0.000,0.373,0.047,0.067,0.014,0.164,0.373
f_min.final_model.000.04.det_cont.csv,0.033,0.245,0.102,0.032,0.182,0.216,0.113,0.000,0.347,0.121
f_min.final_model.000.05.det_cont.csv,0.327,0.000,0.469,0.286,0.059,0.150,0.467,0.087,0.352,0.043
f_min.final_model.000.06.det_cont.csv,0.127,0.228,0.156,0.104,0.194,0.291,0.193,0.000,0.389,0.175
f_min.final_model.000.07.det_cont.csv,0.274,0.040,0.367,0.206,0.302,0.129,0.382,0.012,0.431,0.242
f_min.final_model.000.08.det_cont.csv,0.150,0.236,0.180,0.091,0.075,0.353,0.222,0.000,0.460,0.043
f_min.final_model.000.09.det_cont.csv,0.000,0.639,0.000,0.000,0.145,0.071,0.000,0.000,0.067,0.105
