 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.515,0.250,0.191,0.432,0.312,0.238,0.406,0.279,0.395,0.103
f_min.final_model.000.01.det_cont.csv,0.789,0.182,0.138,0.340,0.558,0.273,0.235,0.460,0.322,0.069
f_min.final_model.000.02.det_cont.csv,0.383,0.364,0.145,0.659,0.560,0.196,0.463,0.296,0.630,0.200
f_min.final_model.000.03.det_cont.csv,0.155,0.643,0.419,0.417,0.250,0.217,0.328,0.115,0.460,0.621
f_min.final_model.000.04.det_cont.csv,0.286,0.553,0.190,0.784,0.462,0.161,0.487,0.193,0.698,0.294
f_min.final_model.000.05.det_cont.csv,0.180,0.608,0.182,0.442,0.269,0.088,0.314,0.100,0.439,0.448
f_min.final_model.000.06.det_cont.csv,0.182,0.442,0.340,0.417,0.258,0.314,0.429,0.148,0.442,0.385
f_min.final_model.000.07.det_cont.csv,0.102,0.293,0.775,0.133,0.068,0.340,0.224,0.077,0.154,0.452
f_min.final_model.000.08.det_cont.csv,0.327,0.531,0.145,0.659,0.444,0.136,0.463,0.228,0.705,0.286
f_min.final_model.000.09.det_cont.csv,0.074,0.509,0.463,0.226,0.117,0.210,0.172,0.026,0.258,0.690
