 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
finalmodel.000.00.det_cont.csv,0.515,0.789,0.383,0.155,0.286,0.180,0.182,0.102,0.327,0.074
finalmodel.000.01.det_cont.csv,0.250,0.182,0.364,0.643,0.553,0.608,0.442,0.293,0.531,0.509
finalmodel.000.02.det_cont.csv,0.191,0.138,0.145,0.419,0.190,0.182,0.340,0.775,0.145,0.463
finalmodel.000.03.det_cont.csv,0.432,0.340,0.659,0.417,0.784,0.442,0.417,0.133,0.659,0.226
finalmodel.000.04.det_cont.csv,0.312,0.558,0.560,0.250,0.462,0.269,0.258,0.068,0.444,0.117
finalmodel.000.05.det_cont.csv,0.238,0.273,0.196,0.217,0.161,0.088,0.314,0.340,0.136,0.210
finalmodel.000.06.det_cont.csv,0.406,0.235,0.463,0.328,0.487,0.314,0.429,0.224,0.463,0.172
finalmodel.000.07.det_cont.csv,0.279,0.460,0.296,0.115,0.193,0.100,0.148,0.077,0.228,0.026
finalmodel.000.08.det_cont.csv,0.395,0.322,0.630,0.460,0.698,0.439,0.442,0.154,0.705,0.258
finalmodel.000.09.det_cont.csv,0.103,0.069,0.200,0.621,0.294,0.448,0.385,0.452,0.286,0.690
