 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.271,0.421,0.119,0.333,0.621,0.019,0.436,0.164,0.385,0.324
f_min.final_model.000.01.det_cont.csv,0.197,0.286,0.094,0.273,0.444,0.014,0.345,0.108,0.385,0.615
f_min.final_model.000.02.det_cont.csv,0.382,0.568,0.233,0.314,0.590,0.113,0.614,0.197,0.643,0.277
f_min.final_model.000.03.det_cont.csv,0.632,0.433,0.726,0.355,0.317,0.211,0.313,0.500,0.265,0.069
f_min.final_model.000.04.det_cont.csv,0.510,0.718,0.313,0.327,0.538,0.136,0.533,0.283,0.523,0.137
f_min.final_model.000.05.det_cont.csv,0.660,0.490,0.386,0.233,0.353,0.382,0.345,0.483,0.407,0.081
f_min.final_model.000.06.det_cont.csv,0.434,0.468,0.429,0.489,0.348,0.150,0.365,0.436,0.302,0.154
f_min.final_model.000.07.det_cont.csv,0.310,0.190,0.500,0.340,0.170,0.078,0.164,0.339,0.062,0.091
f_min.final_model.000.08.det_cont.csv,0.490,0.683,0.286,0.288,0.590,0.211,0.578,0.317,0.605,0.176
f_min.final_model.000.09.det_cont.csv,0.500,0.222,0.719,0.339,0.129,0.262,0.129,0.500,0.116,0.030
