 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.642,0.455,0.629,0.300,0.281,0.231,0.281,0.475,0.311,0.060
f_min.final_model.000.01.det_cont.csv,0.233,0.340,0.114,0.413,0.500,0.000,0.500,0.100,0.396,0.381
f_min.final_model.000.02.det_cont.csv,0.136,0.214,0.072,0.347,0.386,0.000,0.346,0.083,0.283,0.553
f_min.final_model.000.03.det_cont.csv,0.186,0.286,0.105,0.386,0.474,0.000,0.444,0.090,0.340,0.421
f_min.final_model.000.04.det_cont.csv,0.375,0.588,0.229,0.197,0.423,0.157,0.456,0.247,0.558,0.143
f_min.final_model.000.05.det_cont.csv,0.302,0.415,0.171,0.237,0.478,0.087,0.426,0.149,0.500,0.467
f_min.final_model.000.06.det_cont.csv,0.444,0.614,0.278,0.255,0.600,0.145,0.521,0.266,0.543,0.240
f_min.final_model.000.07.det_cont.csv,0.635,0.418,0.571,0.288,0.224,0.322,0.270,0.544,0.279,0.045
f_min.final_model.000.08.det_cont.csv,0.383,0.357,0.366,0.254,0.169,0.462,0.200,0.654,0.188,0.031
f_min.final_model.000.09.det_cont.csv,0.339,0.263,0.409,0.591,0.250,0.091,0.298,0.344,0.161,0.235
