 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.096,0.000,0.000,0.000,0.059,0.000,0.155,0.042,0.263,0.131,0.000,0.340,0.364,0.203,0.180
f_min.final_model.000.01.det_cont.csv,0.082,0.141,0.206,0.524,0.340,0.294,0.013,0.480,0.000,0.133,0.571,0.000,0.014,0.011,0.109
f_min.final_model.000.02.det_cont.csv,0.153,0.000,0.013,0.000,0.119,0.000,0.232,0.083,0.389,0.200,0.014,0.451,0.625,0.296,0.271
f_min.final_model.000.03.det_cont.csv,0.051,0.000,0.000,0.000,0.042,0.000,0.090,0.054,0.172,0.075,0.000,0.254,0.345,0.122,0.103
f_min.final_model.000.04.det_cont.csv,0.431,0.791,0.702,0.214,0.154,0.400,0.393,0.114,0.172,0.125,0.148,0.088,0.114,0.394,0.136
f_min.final_model.000.05.det_cont.csv,0.159,0.000,0.000,0.083,0.220,0.000,0.155,0.250,0.286,0.353,0.136,0.224,0.190,0.171,0.333
f_min.final_model.000.06.det_cont.csv,0.149,0.000,0.014,0.000,0.131,0.000,0.234,0.091,0.353,0.200,0.016,0.545,0.636,0.303,0.278
f_min.final_model.000.07.det_cont.csv,0.036,0.127,0.092,0.000,0.000,0.014,0.035,0.000,0.000,0.000,0.000,0.027,0.038,0.092,0.000
f_min.final_model.000.08.det_cont.csv,0.400,0.054,0.095,0.113,0.357,0.060,0.323,0.295,0.551,0.490,0.164,0.500,0.549,0.329,0.551
f_min.final_model.000.09.det_cont.csv,0.339,0.711,0.739,0.236,0.154,0.458,0.349,0.083,0.119,0.091,0.111,0.072,0.099,0.373,0.103
f_min.final_model.000.10.det_cont.csv,0.500,0.141,0.105,0.091,0.295,0.042,0.459,0.262,0.519,0.407,0.138,0.696,0.491,0.412,0.491
f_min.final_model.000.11.det_cont.csv,0.045,0.147,0.113,0.000,0.000,0.026,0.056,0.036,0.000,0.000,0.039,0.000,0.024,0.110,0.000
f_min.final_model.000.12.det_cont.csv,0.393,0.059,0.071,0.145,0.429,0.048,0.290,0.377,0.489,0.675,0.204,0.380,0.352,0.243,0.707
f_min.final_model.000.13.det_cont.csv,0.012,0.070,0.026,0.000,0.000,0.000,0.012,0.055,0.000,0.000,0.062,0.000,0.000,0.034,0.000
f_min.final_model.000.14.det_cont.csv,0.057,0.000,0.000,0.040,0.076,0.013,0.080,0.128,0.149,0.123,0.067,0.217,0.257,0.097,0.149
