 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.341,0.460,0.321,0.145,0.214,0.132,0.186,0.129,0.250,0.068,0.457,0.356,0.632,0.417,0.222
f_min.final_model.000.01.det_cont.csv,0.405,0.674,0.574,0.264,0.412,0.306,0.254,0.088,0.510,0.108,0.479,0.615,0.375,0.674,0.446
f_min.final_model.000.02.det_cont.csv,0.176,0.130,0.136,0.438,0.177,0.155,0.339,0.744,0.154,0.482,0.200,0.104,0.175,0.090,0.123
f_min.final_model.000.03.det_cont.csv,0.244,0.194,0.449,0.419,0.468,0.368,0.578,0.246,0.479,0.274,0.333,0.397,0.260,0.255,0.368
f_min.final_model.000.04.det_cont.csv,0.405,0.540,0.644,0.358,0.469,0.350,0.370,0.104,0.574,0.155,0.578,0.787,0.435,0.636,0.558
f_min.final_model.000.05.det_cont.csv,0.286,0.191,0.393,0.583,0.551,0.635,0.418,0.279,0.529,0.458,0.250,0.375,0.186,0.246,0.518
f_min.final_model.000.06.det_cont.csv,0.256,0.286,0.211,0.284,0.218,0.118,0.408,0.408,0.169,0.283,0.404,0.234,0.386,0.218,0.134
f_min.final_model.000.07.det_cont.csv,0.409,0.356,0.604,0.446,0.630,0.474,0.510,0.149,0.711,0.232,0.396,0.611,0.278,0.442,0.750
f_min.final_model.000.08.det_cont.csv,0.180,0.132,0.298,0.400,0.358,0.500,0.510,0.175,0.396,0.302,0.246,0.333,0.100,0.180,0.446
f_min.final_model.000.09.det_cont.csv,0.533,0.422,0.605,0.300,0.595,0.360,0.298,0.130,0.564,0.169,0.450,0.449,0.293,0.372,0.545
f_min.final_model.000.10.det_cont.csv,0.265,0.194,0.400,0.621,0.596,0.556,0.571,0.328,0.540,0.441,0.276,0.403,0.190,0.250,0.585
f_min.final_model.000.11.det_cont.csv,0.167,0.125,0.130,0.397,0.152,0.149,0.279,0.660,0.130,0.458,0.190,0.100,0.207,0.086,0.104
f_min.final_model.000.12.det_cont.csv,0.000,0.000,0.000,0.100,0.000,0.200,0.014,0.109,0.029,0.162,0.000,0.013,0.000,0.000,0.040
f_min.final_model.000.13.det_cont.csv,0.086,0.052,0.147,0.484,0.267,0.441,0.368,0.322,0.258,0.536,0.087,0.173,0.029,0.056,0.288
f_min.final_model.000.14.det_cont.csv,0.405,0.458,0.489,0.217,0.300,0.213,0.241,0.117,0.367,0.071,0.641,0.481,0.735,0.585,0.321
