 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.155,0.265,0.403,0.407,0.344,0.667,0.246,0.435,0.365,0.352,0.618,0.364,0.107,0.452,0.197
f_min.final_model.000.01.det_cont.csv,0.188,0.096,0.884,0.262,0.111,0.254,0.389,0.137,0.111,0.117,0.297,0.909,0.149,0.254,0.177
f_min.final_model.000.02.det_cont.csv,0.274,0.137,0.714,0.333,0.186,0.243,0.592,0.178,0.153,0.148,0.284,0.642,0.053,0.261,0.267
f_min.final_model.000.03.det_cont.csv,0.718,0.315,0.241,0.259,0.365,0.154,0.500,0.233,0.076,0.261,0.138,0.250,0.000,0.027,0.684
f_min.final_model.000.04.det_cont.csv,0.480,0.529,0.179,0.442,0.592,0.281,0.304,0.500,0.258,0.512,0.306,0.171,0.000,0.108,0.651
f_min.final_model.000.05.det_cont.csv,0.380,0.177,0.396,0.373,0.237,0.149,0.789,0.169,0.141,0.132,0.206,0.375,0.000,0.167,0.375
f_min.final_model.000.06.det_cont.csv,0.063,0.173,0.348,0.393,0.239,0.614,0.203,0.379,0.375,0.230,0.625,0.353,0.164,0.559,0.095
f_min.final_model.000.07.det_cont.csv,0.481,0.800,0.123,0.279,0.653,0.269,0.267,0.500,0.209,0.511,0.273,0.118,0.000,0.090,0.480
f_min.final_model.000.08.det_cont.csv,0.072,0.238,0.162,0.442,0.345,0.519,0.159,0.558,0.592,0.300,0.620,0.123,0.103,0.464,0.145
f_min.final_model.000.09.det_cont.csv,0.268,0.500,0.118,0.412,0.562,0.491,0.148,0.773,0.389,0.676,0.500,0.097,0.000,0.197,0.308
f_min.final_model.000.10.det_cont.csv,0.500,0.622,0.156,0.186,0.521,0.185,0.308,0.310,0.123,0.364,0.188,0.149,0.000,0.041,0.500
f_min.final_model.000.11.det_cont.csv,0.028,0.167,0.083,0.321,0.222,0.500,0.043,0.311,0.510,0.185,0.455,0.080,0.321,0.528,0.077
f_min.final_model.000.12.det_cont.csv,0.041,0.174,0.108,0.368,0.266,0.417,0.134,0.424,0.800,0.214,0.400,0.090,0.300,0.518,0.088
f_min.final_model.000.13.det_cont.csv,0.022,0.105,0.371,0.333,0.159,0.478,0.169,0.273,0.377,0.123,0.463,0.338,0.211,0.650,0.048
f_min.final_model.000.14.det_cont.csv,0.213,0.418,0.129,0.471,0.529,0.547,0.159,0.841,0.500,0.548,0.620,0.108,0.027,0.281,0.291
