 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.155,0.188,0.274,0.718,0.480,0.380,0.063,0.481,0.072,0.268,0.500,0.028,0.041,0.022,0.213
f_min.final_model.000.01.det_cont.csv,0.265,0.096,0.137,0.315,0.529,0.177,0.173,0.800,0.238,0.500,0.622,0.167,0.174,0.105,0.418
f_min.final_model.000.02.det_cont.csv,0.403,0.884,0.714,0.241,0.179,0.396,0.348,0.123,0.162,0.118,0.156,0.083,0.108,0.371,0.129
f_min.final_model.000.03.det_cont.csv,0.407,0.262,0.333,0.259,0.442,0.373,0.393,0.279,0.442,0.412,0.186,0.321,0.368,0.333,0.471
f_min.final_model.000.04.det_cont.csv,0.344,0.111,0.186,0.365,0.592,0.237,0.239,0.653,0.345,0.562,0.521,0.222,0.266,0.159,0.529
f_min.final_model.000.05.det_cont.csv,0.667,0.254,0.243,0.154,0.281,0.149,0.614,0.269,0.519,0.491,0.185,0.500,0.417,0.478,0.547
f_min.final_model.000.06.det_cont.csv,0.246,0.389,0.592,0.500,0.304,0.789,0.203,0.267,0.159,0.148,0.308,0.043,0.134,0.169,0.159
f_min.final_model.000.07.det_cont.csv,0.435,0.137,0.178,0.233,0.500,0.169,0.379,0.500,0.558,0.773,0.310,0.311,0.424,0.273,0.841
f_min.final_model.000.08.det_cont.csv,0.365,0.111,0.153,0.076,0.258,0.141,0.375,0.209,0.592,0.389,0.123,0.510,0.800,0.377,0.500
f_min.final_model.000.09.det_cont.csv,0.352,0.117,0.148,0.261,0.512,0.132,0.230,0.511,0.300,0.676,0.364,0.185,0.214,0.123,0.548
f_min.final_model.000.10.det_cont.csv,0.618,0.297,0.284,0.138,0.306,0.206,0.625,0.273,0.620,0.500,0.188,0.455,0.400,0.463,0.620
f_min.final_model.000.11.det_cont.csv,0.364,0.909,0.642,0.250,0.171,0.375,0.353,0.118,0.123,0.097,0.149,0.080,0.090,0.338,0.108
f_min.final_model.000.12.det_cont.csv,0.107,0.149,0.053,0.000,0.000,0.000,0.164,0.000,0.103,0.000,0.000,0.321,0.300,0.211,0.027
f_min.final_model.000.13.det_cont.csv,0.452,0.254,0.261,0.027,0.108,0.167,0.559,0.090,0.464,0.197,0.041,0.528,0.518,0.650,0.281
f_min.final_model.000.14.det_cont.csv,0.197,0.177,0.267,0.684,0.651,0.375,0.095,0.480,0.145,0.308,0.500,0.077,0.088,0.048,0.291
