 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.457,0.116,0.217,0.250,0.379,0.438,0.292,0.636,0.262,0.045,0.263,0.558,0.097,0.000,0.217
f_min.final_model.000.01.det_cont.csv,0.690,0.266,0.100,0.480,0.714,0.197,0.347,0.407,0.473,0.129,0.520,0.511,0.239,0.029,0.262
f_min.final_model.000.02.det_cont.csv,0.125,0.262,0.814,0.119,0.076,0.423,0.241,0.132,0.155,0.386,0.100,0.108,0.377,0.044,0.322
f_min.final_model.000.03.det_cont.csv,0.153,0.393,0.276,0.420,0.246,0.346,0.465,0.177,0.393,0.368,0.404,0.236,0.429,0.117,0.762
f_min.final_model.000.04.det_cont.csv,0.479,0.350,0.132,0.574,0.647,0.237,0.320,0.333,0.588,0.185,0.617,0.578,0.317,0.045,0.375
f_min.final_model.000.05.det_cont.csv,0.190,0.771,0.286,0.500,0.313,0.116,0.321,0.111,0.518,0.515,0.455,0.172,0.582,0.194,0.397
f_min.final_model.000.06.det_cont.csv,0.269,0.169,0.440,0.150,0.197,0.789,0.271,0.246,0.169,0.213,0.127,0.294,0.238,0.000,0.440
f_min.final_model.000.07.det_cont.csv,0.321,0.527,0.159,0.750,0.526,0.152,0.468,0.295,0.750,0.303,0.681,0.345,0.410,0.106,0.455
f_min.final_model.000.08.det_cont.csv,0.109,0.446,0.132,0.396,0.217,0.123,0.269,0.041,0.397,0.412,0.357,0.109,0.383,0.321,0.426
f_min.final_model.000.09.det_cont.csv,0.381,0.360,0.123,0.649,0.479,0.132,0.395,0.312,0.581,0.153,0.575,0.415,0.296,0.000,0.255
f_min.final_model.000.10.det_cont.csv,0.175,0.750,0.311,0.510,0.318,0.188,0.408,0.129,0.585,0.500,0.436,0.175,0.623,0.141,0.509
f_min.final_model.000.11.det_cont.csv,0.119,0.250,0.761,0.099,0.060,0.426,0.228,0.143,0.133,0.351,0.081,0.119,0.359,0.057,0.286
f_min.final_model.000.12.det_cont.csv,0.000,0.147,0.088,0.000,0.000,0.000,0.000,0.014,0.013,0.177,0.014,0.000,0.081,0.595,0.028
f_min.final_model.000.13.det_cont.csv,0.042,0.441,0.266,0.200,0.114,0.132,0.167,0.013,0.250,0.613,0.176,0.014,0.500,0.321,0.328
f_min.final_model.000.14.det_cont.csv,0.455,0.175,0.186,0.340,0.400,0.404,0.372,0.500,0.321,0.072,0.353,0.778,0.169,0.000,0.296
