 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.147,0.281,0.277,0.339,0.344,0.755,0.185,0.441,0.439,0.380,0.574,0.265,0.162,0.410,0.190
f_min.final_model.000.01.det_cont.csv,0.224,0.389,0.169,0.500,0.471,0.549,0.207,0.660,0.415,0.512,0.560,0.145,0.029,0.274,0.333
f_min.final_model.000.02.det_cont.csv,0.070,0.157,0.448,0.368,0.231,0.471,0.247,0.303,0.371,0.186,0.478,0.429,0.120,0.471,0.113
f_min.final_model.000.03.det_cont.csv,0.353,0.217,0.370,0.429,0.304,0.328,0.581,0.288,0.237,0.250,0.333,0.375,0.014,0.262,0.375
f_min.final_model.000.04.det_cont.csv,0.362,0.545,0.169,0.383,0.581,0.333,0.212,0.578,0.283,0.667,0.365,0.161,0.000,0.108,0.488
f_min.final_model.000.05.det_cont.csv,0.000,0.071,0.086,0.180,0.103,0.317,0.014,0.164,0.364,0.069,0.238,0.113,0.532,0.436,0.000
f_min.final_model.000.06.det_cont.csv,0.352,0.426,0.219,0.542,0.481,0.350,0.263,0.538,0.283,0.488,0.404,0.191,0.014,0.157,0.489
f_min.final_model.000.07.det_cont.csv,0.066,0.149,0.284,0.323,0.214,0.561,0.194,0.333,0.635,0.180,0.517,0.254,0.302,0.679,0.083
f_min.final_model.000.08.det_cont.csv,0.315,0.500,0.086,0.385,0.596,0.411,0.129,0.560,0.250,0.550,0.368,0.082,0.014,0.162,0.388
f_min.final_model.000.09.det_cont.csv,0.476,0.467,0.155,0.145,0.404,0.094,0.326,0.190,0.065,0.205,0.095,0.148,0.000,0.000,0.439
f_min.final_model.000.10.det_cont.csv,0.000,0.000,0.117,0.000,0.000,0.167,0.000,0.000,0.119,0.000,0.078,0.167,0.575,0.167,0.000
f_min.final_model.000.11.det_cont.csv,0.000,0.028,0.103,0.060,0.057,0.258,0.000,0.100,0.276,0.034,0.185,0.130,0.614,0.300,0.000
f_min.final_model.000.12.det_cont.csv,0.234,0.277,0.273,0.600,0.407,0.426,0.345,0.536,0.537,0.321,0.536,0.225,0.067,0.359,0.310
f_min.final_model.000.13.det_cont.csv,0.230,0.179,0.569,0.357,0.254,0.361,0.480,0.262,0.234,0.222,0.390,0.509,0.070,0.317,0.263
f_min.final_model.000.14.det_cont.csv,0.025,0.037,0.458,0.123,0.076,0.328,0.159,0.143,0.214,0.075,0.313,0.508,0.262,0.413,0.000
