 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.387,0.369,0.149,0.312,0.197,0.621,0.279,0.474,0.421,0.162,0.361,0.299,0.507,0.474,0.197,0.172,0.013,0.231,0.225
f_min.final_model.000.01.det_cont.csv,0.387,1.000,0.627,0.224,0.164,0.352,0.375,0.125,0.130,0.103,0.159,0.085,0.095,0.357,0.114,0.288,0.131,0.044,0.098,0.473
f_min.final_model.000.02.det_cont.csv,0.369,0.627,1.000,0.345,0.266,0.551,0.338,0.183,0.157,0.147,0.206,0.067,0.120,0.361,0.157,0.458,0.200,0.014,0.148,0.355
f_min.final_model.000.03.det_cont.csv,0.149,0.224,0.345,1.000,0.533,0.455,0.068,0.358,0.062,0.200,0.455,0.015,0.059,0.024,0.190,0.568,0.622,0.000,0.328,0.059
f_min.final_model.000.04.det_cont.csv,0.312,0.164,0.266,0.533,1.000,0.268,0.178,0.549,0.267,0.490,0.392,0.154,0.197,0.120,0.462,0.383,0.489,0.000,0.544,0.026
f_min.final_model.000.05.det_cont.csv,0.197,0.352,0.551,0.455,0.268,1.000,0.209,0.233,0.127,0.133,0.294,0.029,0.121,0.158,0.145,0.622,0.319,0.000,0.186,0.156
f_min.final_model.000.06.det_cont.csv,0.621,0.375,0.338,0.068,0.178,0.209,1.000,0.171,0.509,0.317,0.095,0.441,0.391,0.689,0.410,0.136,0.069,0.013,0.153,0.236
f_min.final_model.000.07.det_cont.csv,0.279,0.125,0.183,0.358,0.549,0.233,0.171,1.000,0.234,0.490,0.682,0.147,0.171,0.091,0.411,0.308,0.522,0.014,0.784,0.000
f_min.final_model.000.08.det_cont.csv,0.474,0.130,0.157,0.062,0.267,0.127,0.509,0.234,1.000,0.490,0.109,0.442,0.549,0.453,0.617,0.140,0.098,0.045,0.239,0.053
f_min.final_model.000.09.det_cont.csv,0.421,0.103,0.147,0.200,0.490,0.133,0.317,0.490,0.490,1.000,0.283,0.286,0.357,0.233,0.825,0.192,0.280,0.015,0.466,0.013
f_min.final_model.000.10.det_cont.csv,0.162,0.159,0.206,0.455,0.392,0.294,0.095,0.682,0.109,0.283,1.000,0.045,0.088,0.035,0.246,0.364,0.590,0.000,0.596,0.000
f_min.final_model.000.11.det_cont.csv,0.361,0.085,0.067,0.015,0.154,0.029,0.441,0.147,0.442,0.286,0.045,1.000,0.500,0.438,0.364,0.032,0.065,0.062,0.145,0.040
f_min.final_model.000.12.det_cont.csv,0.299,0.095,0.120,0.059,0.197,0.121,0.391,0.171,0.549,0.357,0.088,0.500,1.000,0.391,0.463,0.133,0.061,0.108,0.167,0.025
f_min.final_model.000.13.det_cont.csv,0.507,0.357,0.361,0.024,0.120,0.158,0.689,0.091,0.453,0.233,0.035,0.438,0.391,1.000,0.310,0.093,0.024,0.024,0.094,0.297
f_min.final_model.000.14.det_cont.csv,0.474,0.114,0.157,0.190,0.462,0.145,0.410,0.411,0.617,0.825,0.246,0.364,0.463,0.310,1.000,0.204,0.241,0.015,0.397,0.026
f_min.final_model.000.15.det_cont.csv,0.197,0.288,0.458,0.568,0.383,0.622,0.136,0.308,0.140,0.192,0.364,0.032,0.133,0.093,0.204,1.000,0.400,0.000,0.242,0.079
f_min.final_model.000.16.det_cont.csv,0.172,0.131,0.200,0.622,0.489,0.319,0.069,0.522,0.098,0.280,0.590,0.065,0.061,0.024,0.241,0.400,1.000,0.000,0.436,0.000
f_min.final_model.000.17.det_cont.csv,0.013,0.044,0.014,0.000,0.000,0.000,0.013,0.014,0.045,0.015,0.000,0.062,0.108,0.024,0.015,0.000,0.000,1.000,0.025,0.108
f_min.final_model.000.18.det_cont.csv,0.231,0.098,0.148,0.328,0.544,0.186,0.153,0.784,0.239,0.466,0.596,0.145,0.167,0.094,0.397,0.242,0.436,0.025,1.000,0.000
f_min.final_model.000.19.det_cont.csv,0.225,0.473,0.355,0.059,0.026,0.156,0.236,0.000,0.053,0.013,0.000,0.040,0.025,0.297,0.026,0.079,0.000,0.108,0.000,1.000
