 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,1.000,0.434,0.185,0.217,0.407,0.159,0.420,0.317,0.070,0.340,0.145,0.212,0.000,0.026,0.643,0.321,0.053,0.400,0.266,0.250
f_min.final_model.000.01.det_cont.csv,0.434,1.000,0.095,0.283,0.633,0.273,0.210,0.509,0.212,0.523,0.277,0.091,0.000,0.091,0.460,0.213,0.000,0.588,0.574,0.339
f_min.final_model.000.02.det_cont.csv,0.185,0.095,1.000,0.279,0.125,0.250,0.462,0.151,0.141,0.115,0.292,0.809,0.114,0.288,0.175,0.471,0.518,0.108,0.075,0.333
f_min.final_model.000.03.det_cont.csv,0.217,0.283,0.279,1.000,0.351,0.373,0.358,0.455,0.400,0.306,0.509,0.266,0.028,0.306,0.321,0.365,0.095,0.418,0.323,0.652
f_min.final_model.000.04.det_cont.csv,0.407,0.633,0.125,0.351,1.000,0.355,0.271,0.596,0.311,0.489,0.361,0.105,0.000,0.135,0.521,0.276,0.012,0.723,0.604,0.491
f_min.final_model.000.05.det_cont.csv,0.159,0.273,0.250,0.373,0.355,1.000,0.162,0.475,0.424,0.365,0.642,0.239,0.157,0.467,0.185,0.219,0.173,0.393,0.391,0.431
f_min.final_model.000.06.det_cont.csv,0.420,0.210,0.462,0.358,0.271,0.162,1.000,0.182,0.172,0.148,0.238,0.411,0.000,0.197,0.388,0.643,0.179,0.246,0.127,0.396
f_min.final_model.000.07.det_cont.csv,0.317,0.509,0.151,0.455,0.596,0.475,0.182,1.000,0.456,0.591,0.564,0.130,0.026,0.261,0.333,0.222,0.048,0.556,0.600,0.577
f_min.final_model.000.08.det_cont.csv,0.070,0.212,0.141,0.400,0.311,0.424,0.172,0.456,1.000,0.264,0.456,0.105,0.222,0.500,0.141,0.175,0.050,0.328,0.328,0.491
f_min.final_model.000.09.det_cont.csv,0.340,0.523,0.115,0.306,0.489,0.365,0.148,0.591,0.264,1.000,0.346,0.109,0.000,0.127,0.395,0.196,0.029,0.478,0.500,0.375
f_min.final_model.000.10.det_cont.csv,0.145,0.277,0.292,0.509,0.361,0.642,0.238,0.564,0.456,0.346,1.000,0.279,0.081,0.426,0.206,0.305,0.176,0.400,0.375,0.577
f_min.final_model.000.11.det_cont.csv,0.212,0.091,0.809,0.266,0.105,0.239,0.411,0.130,0.105,0.109,0.279,1.000,0.157,0.239,0.203,0.393,0.571,0.104,0.060,0.258
f_min.final_model.000.12.det_cont.csv,0.000,0.000,0.114,0.028,0.000,0.157,0.000,0.026,0.222,0.000,0.081,0.157,1.000,0.266,0.000,0.029,0.227,0.013,0.012,0.000
f_min.final_model.000.13.det_cont.csv,0.026,0.091,0.288,0.306,0.135,0.467,0.197,0.261,0.500,0.127,0.426,0.239,0.266,1.000,0.027,0.219,0.239,0.149,0.171,0.297
f_min.final_model.000.14.det_cont.csv,0.643,0.460,0.175,0.321,0.521,0.185,0.388,0.333,0.141,0.395,0.206,0.203,0.000,0.027,1.000,0.340,0.027,0.510,0.322,0.358
f_min.final_model.000.15.det_cont.csv,0.321,0.213,0.471,0.365,0.276,0.219,0.643,0.222,0.175,0.196,0.305,0.393,0.029,0.219,0.340,1.000,0.182,0.230,0.145,0.377
f_min.final_model.000.16.det_cont.csv,0.053,0.000,0.518,0.095,0.012,0.173,0.179,0.048,0.050,0.029,0.176,0.571,0.227,0.239,0.027,0.182,1.000,0.000,0.011,0.107
f_min.final_model.000.17.det_cont.csv,0.400,0.588,0.108,0.418,0.723,0.393,0.246,0.556,0.328,0.478,0.400,0.104,0.013,0.149,0.510,0.230,0.000,1.000,0.564,0.455
f_min.final_model.000.18.det_cont.csv,0.266,0.574,0.075,0.323,0.604,0.391,0.127,0.600,0.328,0.500,0.375,0.060,0.012,0.171,0.322,0.145,0.011,0.564,1.000,0.400
f_min.final_model.000.19.det_cont.csv,0.250,0.339,0.333,0.652,0.491,0.431,0.396,0.577,0.491,0.375,0.577,0.258,0.000,0.297,0.358,0.377,0.107,0.455,0.400,1.000
