 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.147,0.281,0.277,0.339,0.344,0.755,0.185,0.441,0.439,0.380,0.574,0.265,0.162,0.410,0.190,0.226,0.194,0.383,0.359,0.473
f_min.final_model.000.01.det_cont.csv,0.224,0.389,0.169,0.500,0.471,0.549,0.207,0.660,0.415,0.512,0.560,0.145,0.029,0.274,0.333,0.232,0.068,0.551,0.509,0.542
f_min.final_model.000.02.det_cont.csv,0.070,0.157,0.448,0.368,0.231,0.471,0.247,0.303,0.371,0.186,0.478,0.429,0.120,0.471,0.113,0.286,0.370,0.228,0.232,0.418
f_min.final_model.000.03.det_cont.csv,0.353,0.217,0.370,0.429,0.304,0.328,0.581,0.288,0.237,0.250,0.333,0.375,0.014,0.262,0.375,0.558,0.149,0.321,0.200,0.469
f_min.final_model.000.04.det_cont.csv,0.362,0.545,0.169,0.383,0.581,0.333,0.212,0.578,0.283,0.667,0.365,0.161,0.000,0.108,0.488,0.265,0.029,0.533,0.431,0.457
f_min.final_model.000.05.det_cont.csv,0.000,0.071,0.086,0.180,0.103,0.317,0.014,0.164,0.364,0.069,0.238,0.113,0.532,0.436,0.000,0.030,0.145,0.134,0.143,0.121
f_min.final_model.000.06.det_cont.csv,0.352,0.426,0.219,0.542,0.481,0.350,0.263,0.538,0.283,0.488,0.404,0.191,0.014,0.157,0.489,0.291,0.038,0.560,0.414,0.520
f_min.final_model.000.07.det_cont.csv,0.066,0.149,0.284,0.323,0.214,0.561,0.194,0.333,0.635,0.180,0.517,0.254,0.302,0.679,0.083,0.234,0.171,0.229,0.216,0.377
f_min.final_model.000.08.det_cont.csv,0.315,0.500,0.086,0.385,0.596,0.411,0.129,0.560,0.250,0.550,0.368,0.082,0.014,0.162,0.388,0.169,0.000,0.652,0.569,0.370
f_min.final_model.000.09.det_cont.csv,0.476,0.467,0.155,0.145,0.404,0.094,0.326,0.190,0.065,0.205,0.095,0.148,0.000,0.000,0.439,0.333,0.000,0.314,0.268,0.161
f_min.final_model.000.10.det_cont.csv,0.000,0.000,0.117,0.000,0.000,0.167,0.000,0.000,0.119,0.000,0.078,0.167,0.575,0.167,0.000,0.034,0.273,0.000,0.000,0.000
f_min.final_model.000.11.det_cont.csv,0.000,0.028,0.103,0.060,0.057,0.258,0.000,0.100,0.276,0.034,0.185,0.130,0.614,0.300,0.000,0.030,0.182,0.056,0.068,0.090
f_min.final_model.000.12.det_cont.csv,0.234,0.277,0.273,0.600,0.407,0.426,0.345,0.536,0.537,0.321,0.536,0.225,0.067,0.359,0.310,0.351,0.074,0.400,0.375,0.708
f_min.final_model.000.13.det_cont.csv,0.230,0.179,0.569,0.357,0.254,0.361,0.480,0.262,0.234,0.222,0.390,0.509,0.070,0.317,0.263,0.587,0.297,0.231,0.167,0.444
f_min.final_model.000.14.det_cont.csv,0.025,0.037,0.458,0.123,0.076,0.328,0.159,0.143,0.214,0.075,0.313,0.508,0.262,0.413,0.000,0.197,0.508,0.062,0.084,0.167
f_min.final_model.000.15.det_cont.csv,0.491,0.886,0.105,0.311,0.660,0.299,0.238,0.509,0.203,0.489,0.284,0.101,0.000,0.101,0.490,0.242,0.000,0.615,0.571,0.344
f_min.final_model.000.16.det_cont.csv,0.125,0.288,0.132,0.367,0.371,0.648,0.096,0.517,0.574,0.333,0.571,0.141,0.224,0.435,0.200,0.129,0.072,0.410,0.406,0.424
f_min.final_model.000.17.det_cont.csv,0.000,0.000,0.101,0.043,0.000,0.179,0.000,0.040,0.230,0.000,0.099,0.145,0.800,0.254,0.000,0.030,0.215,0.027,0.026,0.014
f_min.final_model.000.18.det_cont.csv,0.109,0.000,0.551,0.108,0.000,0.145,0.207,0.013,0.014,0.016,0.147,0.681,0.180,0.215,0.079,0.211,0.580,0.000,0.000,0.088
f_min.final_model.000.19.det_cont.csv,0.051,0.012,0.544,0.120,0.024,0.182,0.206,0.059,0.074,0.042,0.184,0.542,0.200,0.264,0.026,0.227,0.784,0.011,0.022,0.132
