 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.271,0.421,0.119,0.333,0.621,0.019,0.436,0.164,0.385,0.324,0.000,0.000,0.292,0.318,0.049,0.378,0.231,0.000,0.019,0.048,0.121,0.286,0.085,0.061,0.213,0.192,0.000,0.472,0.158,0.291
f_min.final_model.000.01.det_cont.csv,0.197,0.286,0.094,0.273,0.444,0.014,0.345,0.108,0.385,0.615,0.000,0.000,0.231,0.226,0.025,0.702,0.188,0.000,0.000,0.024,0.078,0.220,0.062,0.035,0.172,0.127,0.000,0.543,0.120,0.618
f_min.final_model.000.02.det_cont.csv,0.382,0.568,0.233,0.314,0.590,0.113,0.614,0.197,0.643,0.277,0.000,0.046,0.426,0.281,0.053,0.604,0.411,0.000,0.000,0.025,0.176,0.255,0.222,0.104,0.161,0.149,0.015,0.619,0.125,0.458
f_min.final_model.000.03.det_cont.csv,0.632,0.433,0.726,0.355,0.317,0.211,0.313,0.500,0.265,0.069,0.116,0.197,0.446,0.525,0.433,0.253,0.500,0.117,0.303,0.324,0.590,0.365,0.258,0.500,0.328,0.516,0.371,0.250,0.400,0.212
f_min.final_model.000.04.det_cont.csv,0.510,0.718,0.313,0.327,0.538,0.136,0.533,0.283,0.523,0.137,0.000,0.065,0.415,0.291,0.149,0.415,0.426,0.015,0.047,0.097,0.279,0.288,0.255,0.203,0.186,0.210,0.065,0.467,0.162,0.333
f_min.final_model.000.05.det_cont.csv,0.660,0.490,0.386,0.233,0.353,0.382,0.345,0.483,0.407,0.081,0.175,0.271,0.474,0.250,0.229,0.333,0.792,0.206,0.070,0.100,0.450,0.188,0.460,0.373,0.129,0.200,0.210,0.316,0.173,0.274
f_min.final_model.000.06.det_cont.csv,0.434,0.468,0.429,0.489,0.348,0.150,0.365,0.436,0.302,0.154,0.000,0.097,0.674,0.490,0.197,0.242,0.362,0.030,0.113,0.157,0.429,0.500,0.269,0.308,0.358,0.305,0.133,0.236,0.286,0.194
f_min.final_model.000.07.det_cont.csv,0.310,0.190,0.500,0.340,0.170,0.078,0.164,0.339,0.062,0.091,0.091,0.079,0.222,0.587,0.463,0.085,0.145,0.095,0.500,0.528,0.404,0.438,0.065,0.441,0.565,0.638,0.388,0.115,0.620,0.075
f_min.final_model.000.08.det_cont.csv,0.490,0.683,0.286,0.288,0.590,0.211,0.578,0.317,0.605,0.176,0.034,0.097,0.510,0.237,0.113,0.510,0.519,0.045,0.015,0.052,0.270,0.232,0.347,0.197,0.143,0.167,0.062,0.545,0.125,0.365
f_min.final_model.000.09.det_cont.csv,0.500,0.222,0.719,0.339,0.129,0.262,0.129,0.500,0.116,0.030,0.153,0.267,0.308,0.473,0.611,0.104,0.318,0.185,0.426,0.413,0.630,0.375,0.213,0.632,0.379,0.545,0.551,0.086,0.435,0.080
