 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.00.det_cont.csv,0.031,0.310,0.185,0.000,0.000,0.075,0.044,0.778,0.511,0.103,0.037,0.194,0.000,0.132,0.328,0.404,0.087,0.014,0.571,0.264,0.156,0.051,0.000,0.016,0.134,0.298,0.000,0.078,0.161,0.000
f_min.final_model.000.01.det_cont.csv,0.148,0.509,0.095,0.025,0.027,0.226,0.056,0.333,0.674,0.097,0.085,0.054,0.054,0.227,0.191,0.185,0.254,0.118,0.489,0.315,0.238,0.103,0.044,0.079,0.159,0.413,0.015,0.058,0.188,0.000
f_min.final_model.000.02.det_cont.csv,0.060,0.157,0.907,0.155,0.055,0.000,0.000,0.211,0.141,0.739,0.324,0.681,0.053,0.390,0.577,0.418,0.143,0.116,0.092,0.358,0.000,0.024,0.029,0.062,0.373,0.200,0.000,0.000,0.571,0.098
f_min.final_model.000.03.det_cont.csv,0.288,0.453,0.300,0.000,0.000,0.327,0.125,0.226,0.169,0.226,0.024,0.210,0.000,0.500,0.368,0.298,0.357,0.237,0.175,0.511,0.190,0.000,0.133,0.204,0.351,0.292,0.082,0.045,0.377,0.050
f_min.final_model.000.04.det_cont.csv,0.186,0.569,0.125,0.000,0.000,0.246,0.056,0.388,0.500,0.129,0.011,0.083,0.000,0.306,0.246,0.222,0.317,0.188,0.591,0.392,0.200,0.024,0.060,0.115,0.231,0.512,0.030,0.028,0.267,0.000
f_min.final_model.000.05.det_cont.csv,0.451,0.474,0.232,0.024,0.000,0.356,0.162,0.125,0.169,0.339,0.081,0.171,0.038,0.604,0.308,0.110,0.537,0.481,0.175,0.364,0.171,0.000,0.210,0.385,0.474,0.327,0.141,0.027,0.379,0.186
f_min.final_model.000.06.det_cont.csv,0.016,0.190,0.462,0.013,0.000,0.014,0.000,0.500,0.288,0.345,0.105,0.377,0.000,0.333,0.551,0.714,0.104,0.060,0.275,0.435,0.000,0.052,0.000,0.000,0.316,0.250,0.000,0.000,0.449,0.000
f_min.final_model.000.07.det_cont.csv,0.281,0.886,0.151,0.000,0.000,0.362,0.164,0.224,0.293,0.171,0.000,0.095,0.000,0.448,0.235,0.143,0.439,0.295,0.327,0.451,0.373,0.000,0.121,0.203,0.317,0.545,0.075,0.101,0.295,0.030
f_min.final_model.000.08.det_cont.csv,0.373,0.404,0.141,0.000,0.041,0.583,0.293,0.062,0.108,0.197,0.000,0.099,0.040,0.421,0.174,0.116,0.549,0.462,0.094,0.340,0.238,0.012,0.340,0.388,0.481,0.300,0.302,0.058,0.288,0.222
f_min.final_model.000.09.det_cont.csv,0.163,0.595,0.115,0.000,0.000,0.235,0.033,0.250,0.341,0.179,0.000,0.066,0.000,0.283,0.214,0.123,0.294,0.125,0.390,0.450,0.226,0.000,0.018,0.078,0.218,0.625,0.000,0.071,0.235,0.000
