,JE11_CDRH1,CC7.1_CDRH1,Ab12.2_CDRH1,FH4.1_CDRH1,LA5_CDRH1,BG9.1_CDRH1,BH7.2_CDRH1,EE11_CDRH1,JF11_CDRH1,JE10_CDRH1,EB2.1_CDRH1,JA11.2_CDRH1
JE11_CDRH1,100.00,100.00,80.00,30.00,30.00,20.00,20.00,30.00,30.00,30.00,40.00,30.00
CC7.1_CDRH1,100.00,100.00,80.00,30.00,30.00,20.00,20.00,30.00,30.00,30.00,40.00,30.00
Ab12.2_CDRH1,80.00,80.00,100.00,30.00,30.00,20.00,20.00,30.00,30.00,30.00,40.00,30.00
FH4.1_CDRH1,30.00,30.00,30.00,100.00,80.00,40.00,40.00,50.00,50.00,50.00,60.00,50.00
LA5_CDRH1,30.00,30.00,30.00,80.00,100.00,40.00,40.00,60.00,60.00,60.00,70.00,60.00
BG9.1_CDRH1,20.00,20.00,20.00,40.00,40.00,100.00,100.00,80.00,70.00,70.00,70.00,80.00
BH7.2_CDRH1,20.00,20.00,20.00,40.00,40.00,100.00,100.00,80.00,70.00,70.00,70.00,80.00
EE11_CDRH1,30.00,30.00,30.00,50.00,60.00,80.00,80.00,100.00,80.00,80.00,90.00,80.00
JF11_CDRH1,30.00,30.00,30.00,50.00,60.00,70.00,70.00,80.00,100.00,100.00,90.00,90.00
JE10_CDRH1,30.00,30.00,30.00,50.00,60.00,70.00,70.00,80.00,100.00,100.00,90.00,90.00
EB2.1_CDRH1,40.00,40.00,40.00,60.00,70.00,70.00,70.00,90.00,90.00,90.00,100.00,90.00
JA11.2_CDRH1,30.00,30.00,30.00,50.00,60.00,80.00,80.00,80.00,90.00,90.00,90.00,100.00
