Antibody,JE11,CC71,AB122,JE10,EB21,BH72,BG91,JF11,JA112,EE11,FH41,LA5
JE11,0.0,0.475,0.675,0.375,0.375,0.4,0.725,0.525,0.35,0.325,0.4,0.425
CC71,0.475,0.0,0.15,0.65,0.475,0.5,0.475,0.525,0.6,0.45,0.4,0.3
AB122,0.675,0.15,0.0,0.7,0.7,0.4,0.425,0.525,0.475,0.55,0.325,0.45
JE10,0.375,0.65,0.7,0.0,0.275,0.5,0.4,0.225,0.15,0.375,0.2,0.225
EB21,0.375,0.475,0.7,0.275,0.0,0.375,0.275,0.375,0.25,0.325,0.4,0.3
BH72,0.4,0.5,0.4,0.5,0.375,0.0,0.425,0.325,0.25,0.325,0.275,0.275
BG91,0.725,0.475,0.425,0.4,0.275,0.425,0.0,0.325,0.325,0.425,0.35,0.25
JF11,0.525,0.525,0.525,0.225,0.375,0.325,0.325,0.0,0.375,0.35,0.125,0.3
JA112,0.35,0.6,0.475,0.15,0.25,0.25,0.325,0.375,0.0,0.45,0.2,0.275
EE11,0.325,0.45,0.55,0.375,0.325,0.325,0.425,0.35,0.45,0.0,0.3,0.4
FH41,0.4,0.4,0.325,0.2,0.4,0.275,0.35,0.125,0.2,0.3,0.0,0.2
LA5,0.425,0.3,0.45,0.225,0.3,0.275,0.25,0.3,0.275,0.4,0.2,0.0
