,JE10_CDRL1,Ab12.2_CDRL1,CC7.1_CDRL1,BH7.2_CDRL1,BG9.1_CDRL1,JF11_CDRL1,JA11.2_CDRL1,EE11_CDRL1,EB2.1_CDRL1,JE11_CDRL1,FH4.1_CDRL1,LA5_CDRL1
JE10_CDRL1,100.00,45.45,36.36,9.09,9.09,9.09,9.09,11.11,11.11,11.11,0.00,11.11
Ab12.2_CDRL1,45.45,100.00,81.82,18.18,18.18,18.18,18.18,11.11,11.11,11.11,0.00,11.11
CC7.1_CDRL1,36.36,81.82,100.00,27.27,27.27,27.27,27.27,11.11,11.11,11.11,0.00,11.11
BH7.2_CDRL1,9.09,18.18,27.27,100.00,91.67,91.67,83.33,10.00,30.00,20.00,28.57,30.00
BG9.1_CDRL1,9.09,18.18,27.27,91.67,100.00,100.00,91.67,20.00,30.00,20.00,28.57,30.00
JF11_CDRL1,9.09,18.18,27.27,91.67,100.00,100.00,91.67,20.00,30.00,20.00,28.57,30.00
JA11.2_CDRL1,9.09,18.18,27.27,83.33,91.67,91.67,100.00,20.00,20.00,10.00,28.57,20.00
EE11_CDRL1,11.11,11.11,11.11,10.00,20.00,20.00,20.00,100.00,60.00,60.00,71.43,70.00
EB2.1_CDRL1,11.11,11.11,11.11,30.00,30.00,30.00,20.00,60.00,100.00,80.00,85.71,90.00
JE11_CDRL1,11.11,11.11,11.11,20.00,20.00,20.00,10.00,60.00,80.00,100.00,85.71,90.00
FH4.1_CDRL1,0.00,0.00,0.00,28.57,28.57,28.57,28.57,71.43,85.71,85.71,100.00,100.00
LA5_CDRL1,11.11,11.11,11.11,30.00,30.00,30.00,20.00,70.00,90.00,90.00,100.00,100.00
