Ab pair,CDRH1 Seq ID,CDRH2 Seq ID,CDRH3 Seq ID,CDRL1 Seq ID,CDRL2 Seq ID,CDRL3 Seq ID,All CDR Avg Seq ID
1190_1190,100,100,100,100,100,100,100
1190_1276,100,84.61538462,100,93.75,85.71428571,66.66666667,88.45772283
1190_1262,23.07692308,30.76923077,29.41176471,25,28.57142857,16.66666667,25.58266897
1190_1269,46.15384615,38.46153846,11.76470588,25,28.57142857,8.333333333,26.38080873
1190_1202,61.53846154,23.07692308,29.41176471,50,71.42857143,41.66666667,46.18706457
1190_1266,15.38461538,15.38461538,17.64705882,43.75,71.42857143,33.33333333,32.82136573
1190_1267,15.38461538,15.38461538,23.52941176,43.75,71.42857143,33.33333333,33.80175788
1190_1268,53.84615385,23.07692308,11.76470588,31.25,28.57142857,16.66666667,27.52931301
1190_1245,15.38461538,7.692307692,41.17647059,12.5,42.85714286,0,19.93508942
1190_1260,61.53846154,46.15384615,23.52941176,12.5,42.85714286,0,31.09647705
1276_1276,100,100,100,100,100,100,100
1276_1262,23.07692308,30.76923077,29.41176471,18.75,28.57142857,25,25.92989119
1276_1269,46.15384615,38.46153846,11.76470588,18.75,28.57142857,16.66666667,26.72803096
1276_1202,61.53846154,23.07692308,29.41176471,50,71.42857143,41.66666667,46.18706457
1276_1266,15.38461538,23.07692308,17.64705882,43.75,71.42857143,25,32.71452812
1276_1267,15.38461538,23.07692308,23.52941176,43.75,71.42857143,25,33.69492028
1276_1268,53.84615385,30.76923077,11.76470588,25,28.57142857,25,29.15858651
1276_1245,15.38461538,15.38461538,41.17647059,6.25,42.85714286,8.333333333,21.56436292
1276_1260,61.53846154,46.15384615,23.52941176,6.25,42.85714286,8.333333333,31.44369927
1262_1262,100,100,100,100,100,100,100
1262_1269,30.76923077,61.53846154,5.882352941,62.5,42.85714286,58.33333333,43.64675357
1262_1202,38.46153846,46.15384615,35.29411765,25,28.57142857,33.33333333,34.46904403
1262_1266,53.84615385,7.692307692,29.41176471,25,42.85714286,16.66666667,29.24567263
1262_1267,53.84615385,7.692307692,35.29411765,25,42.85714286,16.66666667,30.22606478
1262_1268,30.76923077,30.76923077,23.52941176,87.5,85.71428571,83.33333333,56.93591539
1262_1245,15.38461538,7.692307692,29.41176471,31.25,42.85714286,41.66666667,28.04374955
1262_1260,38.46153846,38.46153846,17.64705882,31.25,42.85714286,41.66666667,35.05732421
1269_1269,100,100,100,100,100,100,100
1269_1202,76.92307692,61.53846154,5.882352941,18.75,28.57142857,33.33333333,37.49977555
1269_1266,38.46153846,15.38461538,11.76470588,18.75,42.85714286,8.333333333,22.59188932
1269_1267,38.46153846,15.38461538,11.76470588,18.75,42.85714286,8.333333333,22.59188932
1269_1268,84.61538462,46.15384615,35.29411765,62.5,42.85714286,50,53.57008188
1269_1245,7.692307692,15.38461538,5.882352941,37.5,42.85714286,33.33333333,23.7749587
1269_1260,38.46153846,38.46153846,29.41176471,37.5,42.85714286,33.33333333,36.6708863
1202_1202,100,100,100,100,100,100,100
1202_1266,30.76923077,7.692307692,35.29411765,75,85.71428571,33.33333333,44.63387919
1202_1267,30.76923077,7.692307692,41.17647059,75,85.71428571,33.33333333,45.61427135
1202_1268,76.92307692,61.53846154,23.52941176,18.75,28.57142857,33.33333333,40.44095202
1202_1245,23.07692308,15.38461538,29.41176471,18.75,42.85714286,25,25.746741
1202_1260,38.46153846,38.46153846,23.52941176,12.5,42.85714286,25,30.13493859
1266_1266,100,100,100,100,100,100,100
1266_1267,100,100,70.58823529,100,100,100,95.09803922
1266_1268,30.76923077,30.76923077,41.17647059,18.75,42.85714286,25,31.55367916
1266_1245,7.692307692,0,23.52941176,6.25,57.14285714,8.333333333,17.15798499
1266_1260,23.07692308,15.38461538,17.64705882,6.25,57.14285714,8.333333333,21.30579796
1267_1267,100,100,100,100,100,100,100
1267_1268,30.76923077,30.76923077,35.29411765,18.75,42.85714286,25,30.57328701
1267_1245,7.692307692,0,23.52941176,6.25,57.14285714,8.333333333,17.15798499
1267_1260,23.07692308,15.38461538,17.64705882,6.25,57.14285714,8.333333333,21.30579796
1268_1268,100,100,100,100,100,100,100
1268_1245,7.692307692,15.38461538,17.64705882,18.75,42.85714286,50,25.38852079
1268_1260,46.15384615,30.76923077,29.41176471,18.75,42.85714286,50,36.32366408
1245_1245,100,100,100,100,100,100,100
1245_1260,7.692307692,7.692307692,11.76470588,93.75,100,83.33333333,50.70544243
1260_1260,100,100,100,100,100,100,100
