,JE11_CDRH2,Ab12.2_CDRH2,CC7.1_CDRH2,FH4.1_CDRH2,LA5_CDRH2,EB2.1_CDRH2,JF11_CDRH2,EE11_CDRH2,BG9.1_CDRH2,JE10_CDRH2,BH7.2_CDRH2,JA11.2_CDRH2
JE11_CDRH2,100.00,83.33,83.33,33.33,33.33,33.33,16.67,16.67,16.67,16.67,16.67,16.67
Ab12.2_CDRH2,83.33,100.00,100.00,33.33,33.33,33.33,16.67,16.67,16.67,16.67,16.67,16.67
CC7.1_CDRH2,83.33,100.00,100.00,33.33,33.33,33.33,16.67,16.67,16.67,16.67,16.67,16.67
FH4.1_CDRH2,33.33,33.33,33.33,100.00,100.00,33.33,50.00,50.00,50.00,50.00,50.00,50.00
LA5_CDRH2,33.33,33.33,33.33,100.00,100.00,33.33,50.00,50.00,50.00,50.00,50.00,50.00
EB2.1_CDRH2,33.33,33.33,33.33,33.33,33.33,100.00,83.33,83.33,83.33,85.71,83.33,83.33
JF11_CDRH2,16.67,16.67,16.67,50.00,50.00,83.33,100.00,100.00,100.00,100.00,100.00,100.00
EE11_CDRH2,16.67,16.67,16.67,50.00,50.00,83.33,100.00,100.00,100.00,100.00,100.00,100.00
BG9.1_CDRH2,16.67,16.67,16.67,50.00,50.00,83.33,100.00,100.00,100.00,100.00,100.00,100.00
JE10_CDRH2,16.67,16.67,16.67,50.00,50.00,85.71,100.00,100.00,100.00,100.00,100.00,100.00
BH7.2_CDRH2,16.67,16.67,16.67,50.00,50.00,83.33,100.00,100.00,100.00,100.00,100.00,100.00
JA11.2_CDRH2,16.67,16.67,16.67,50.00,50.00,83.33,100.00,100.00,100.00,100.00,100.00,100.00
