SARS-Cov2 RBD-binding antibodies,10977_VK,10989_VL,10933_VK,10964_VK,10984_VL,10986_VL,10954_VK,10987_VL
REGN10977_VK,100,45.79,67.29,69.16,46.67,49.53,65.42,44.86
REGN10989_VL,45.79,100,48.11,48.11,66.67,70,44.34,90.91
REGN10933_VK,67.29,48.11,100,85.05,48.08,50.94,90.65,48.11
REGN10964_VK,69.16,48.11,85.05,100,46.15,48.11,81.31,47.17
REGN10984_VL,46.67,66.67,48.08,46.15,100,80.91,47.12,67.59
REGN10986_VL,49.53,70,50.94,48.11,80.91,100,49.06,67.27
REGN10954_VK,65.42,44.34,90.65,81.31,47.12,49.06,100,44.34
REGN10987_VL,44.86,90.91,48.11,47.17,67.59,67.27,44.34,100
