SARS-Cov2 RBD-binding antibodies,10977_VH,10989_VH,10933_VH,10964_VH,10984_VH,10986_VH,10954_VH,10987_VH
REGN10977_VH,100,71.54,55.46,49.57,51.79,55.93,55.08,58.82
REGN10989_VH,71.54,100,52.94,47.01,50.89,53.39,51.69,54.62
REGN10933_VH,55.46,52.94,100,55.93,76.99,80.67,80.67,76.67
REGN10964_VH,49.57,47.01,55.93,100,53.57,55.93,54.24,54.24
REGN10984_VH,51.79,50.89,76.99,53.57,100,84.96,87.61,76.11
REGN10986_VH,55.93,53.39,80.67,55.93,84.96,100,87.39,79.83
REGN10954_VH,55.08,51.69,80.67,54.24,87.61,87.39,100,77.31
RENG10987_VH,58.82,54.62,76.67,54.24,76.11,79.83,77.31,100
