Antibodies,BG9.1,JA11.2,JF11,BH7.2,EE11,EB2.1,JE11,FH4.1,LA5,JE10,Ab12.2,CC7.1
BG9.1,100.00,98.17,98.17,97.25,53.77,59.43,61.32,63.46,61.68,57.01,50.47,50.47
JA11.2,98.17,100.00,98.17,97.25,53.77,59.43,61.32,62.50,60.75,56.07,51.40,51.40
JF11,98.17,98.17,100.00,97.25,53.77,60.38,61.32,62.50,60.75,57.01,52.34,52.34
BH7.2,97.25,97.25,97.25,100.00,51.89,58.49,60.38,61.54,59.81,55.14,52.34,51.40
EE11,53.77,53.77,53.77,51.89,100.00,83.18,83.96,84.47,83.96,55.24,56.19,55.24
EB2.1,59.43,59.43,60.38,58.49,83.18,100.00,88.68,87.38,87.74,60.00,59.05,59.05
JE11,61.32,61.32,61.32,60.38,83.96,88.68,100.00,89.32,89.62,60.00,59.05,58.10
FH4.1,63.46,62.50,62.50,61.54,84.47,87.38,89.32,100.00,100.00,61.76,58.82,57.84
LA5,61.68,60.75,60.75,59.81,83.96,87.74,89.62,100.00,100.00,61.90,59.05,58.10
JE10,57.01,56.07,57.01,55.14,55.24,60.00,60.00,61.76,61.90,100.00,58.88,57.01
Ab12.2,50.47,51.40,52.34,52.34,56.19,59.05,59.05,58.82,59.05,58.88,100.00,95.33
CC7.1,50.47,51.40,52.34,51.40,55.24,59.05,58.10,57.84,58.10,57.01,95.33,100.00
