,BG9.1_CDRH3,FH4.1_CDRH3,LA5_CDRH3,JE11_CDRH3,BH7.2_CDRH3,JA11.2_CDRH3,EE11_CDRH3,EB2.1_CDRH3,JE10_CDRH3,Ab12.2_CDRH3,CC7.1_CDRH3,JF11_CDRH3
BG9.1_CDRH3,100.00,20.00,20.00,25.00,20.00,20.00,10.00,18.18,9.09,50.00,50.00,66.67
FH4.1_CDRH3,20.00,100.00,100.00,14.29,22.22,11.11,0.00,20.00,10.00,0.00,0.00,22.22
LA5_CDRH3,20.00,100.00,100.00,14.29,22.22,11.11,0.00,20.00,10.00,0.00,0.00,22.22
JE11_CDRH3,25.00,14.29,14.29,100.00,87.50,75.00,28.57,37.50,37.50,25.00,25.00,33.33
BH7.2_CDRH3,20.00,22.22,22.22,87.50,100.00,80.00,22.22,40.00,40.00,25.00,25.00,50.00
JA11.2_CDRH3,20.00,11.11,11.11,75.00,80.00,100.00,22.22,50.00,50.00,25.00,25.00,25.00
EE11_CDRH3,10.00,0.00,0.00,28.57,22.22,22.22,100.00,50.00,50.00,33.33,33.33,12.50
EB2.1_CDRH3,18.18,20.00,20.00,37.50,40.00,50.00,50.00,100.00,90.91,25.00,25.00,22.22
JE10_CDRH3,9.09,10.00,10.00,37.50,40.00,50.00,50.00,90.91,100.00,25.00,25.00,11.11
Ab12.2_CDRH3,50.00,0.00,0.00,25.00,25.00,25.00,33.33,25.00,25.00,100.00,100.00,75.00
CC7.1_CDRH3,50.00,0.00,0.00,25.00,25.00,25.00,33.33,25.00,25.00,100.00,100.00,75.00
JF11_CDRH3,66.67,22.22,22.22,33.33,50.00,25.00,12.50,22.22,11.11,75.00,75.00,100.00
