Antibodies,JE11,Ab12.2,CC7.1,FH4.1,LA5,JF11,EE11,BG9.1,EB2.1,JE10,BH7.2,JA11.2
JE11,100.00,93.75,94.64,64.35,64.35,70.69,69.83,68.97,72.41,70.69,70.43,72.17
Ab12.2,93.75,100.00,97.32,64.86,64.86,73.21,71.43,69.64,75.00,73.21,71.43,73.21
CC7.1,94.64,97.32,100.00,64.86,64.86,73.21,71.43,69.64,75.00,73.21,71.43,73.21
FH4.1,64.35,64.86,64.86,100.00,98.32,73.50,72.65,72.88,73.73,72.88,73.50,74.36
LA5,64.35,64.86,64.86,98.32,100.00,74.36,73.50,72.88,74.58,73.73,73.50,75.21
JF11,70.69,73.21,73.21,73.50,74.36,100.00,89.83,88.98,90.68,92.37,89.74,90.60
EE11,69.83,71.43,71.43,72.65,73.50,89.83,100.00,88.14,91.53,91.53,89.74,90.60
BG9.1,68.97,69.64,69.64,72.88,72.88,88.98,88.14,100.00,86.55,86.55,93.22,89.83
EB2.1,72.41,75.00,75.00,73.73,74.58,90.68,91.53,86.55,100.00,97.48,90.68,93.22
JE10,70.69,73.21,73.21,72.88,73.73,92.37,91.53,86.55,97.48,100.00,90.68,93.22
BH7.2,70.43,71.43,71.43,73.50,73.50,89.74,89.74,93.22,90.68,90.68,100.00,94.92
JA11.2,72.17,73.21,73.21,74.36,75.21,90.60,90.60,89.83,93.22,93.22,94.92,100.00
