,JE10_CDRL2,Ab12.2_CDRL2,CC7.1_CDRL2,EB2.1_CDRL2,EE11_CDRL2,FH4.1_CDRL2,LA5_CDRL2,BH7.2_CDRL2,JE11_CDRL2,BG9.1_CDRL2,JA11.2_CDRL2,JF11_CDRL2
JE10_CDRL2,100.00,33.33,33.33,33.33,33.33,33.33,33.33,66.67,66.67,66.67,66.67,66.67
Ab12.2_CDRL2,33.33,100.00,100.00,57.14,57.14,57.14,57.14,42.86,57.14,42.86,42.86,42.86
CC7.1_CDRL2,33.33,100.00,100.00,57.14,57.14,57.14,57.14,42.86,57.14,42.86,42.86,42.86
EB2.1_CDRL2,33.33,57.14,57.14,100.00,85.71,85.71,85.71,57.14,85.71,71.43,71.43,71.43
EE11_CDRL2,33.33,57.14,57.14,85.71,100.00,100.00,100.00,57.14,85.71,71.43,71.43,71.43
FH4.1_CDRL2,33.33,57.14,57.14,85.71,100.00,100.00,100.00,57.14,85.71,71.43,71.43,71.43
LA5_CDRL2,33.33,57.14,57.14,85.71,100.00,100.00,100.00,57.14,85.71,71.43,71.43,71.43
BH7.2_CDRL2,66.67,42.86,42.86,57.14,57.14,57.14,57.14,100.00,71.43,85.71,85.71,85.71
JE11_CDRL2,66.67,57.14,57.14,85.71,85.71,85.71,85.71,71.43,100.00,85.71,85.71,85.71
BG9.1_CDRL2,66.67,42.86,42.86,71.43,71.43,71.43,71.43,85.71,85.71,100.00,100.00,100.00
JA11.2_CDRL2,66.67,42.86,42.86,71.43,71.43,71.43,71.43,85.71,85.71,100.00,100.00,100.00
JF11_CDRL2,66.67,42.86,42.86,71.43,71.43,71.43,71.43,85.71,85.71,100.00,100.00,100.00
